resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,weekDay 6,alignC,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,extraTxt 14,extraTxt 15
GGR,Geography of Canada,GGR246H1-S,,,,"Social and economic differences have been, and continue to be, a prominent feature of Canada’s geography. In this course these differences are examined at a regional and local scale. The course adopts a thematic approach and considers issues such as historical development, urbanization, industrialization, immigration and population change, Canada’s cultural mosaic and native issues. Emphasis will be placed on the evolution of social and economic policies and Canada’s incorporation into a global economy.",GGR202H5,Exclusion:,"GGR107H1, GGR124H1",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,13:00,15:00,SS 2102,https://map.utoronto.ca/?id=1809#!m/494510,,55,180,Yes: 0 student,In Person,,—,,,,,,,,Society and its Institutions (3),Breadth Requirement:
GGR,Geography of Innovation,GGR251H1-F,,,,"Explores how new technologies and industries are generated and sustained, or failed to be. Focuses on the dynamics of leading technological sectors such as electronics, automobiles and biotechnology in their geographical and historical contexts. We critically scrutinise the iconic Silicon Valley along with other major innovative regions/nations, and investigate the key role of universities and finance in driving innovation and entrepreneurship.",GGR300H1 (2014-15),Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,16:00,18:00,LM 162,https://map.utoronto.ca/?id=1809#!m/494502,"Zhang, J.",79,125,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Marketing Geography,GGR252H1-F,,,,Geography matters in the success of both public and private sector organisations. Using mostly retail examples contemporary location problems are addressed. The geographies of demand and supply are analysed and trade area and site selection techniques are applied. The relevance of the planning context and utility of geovisualisation techniques such as GIS are also briefly considered.,GGR252H5,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC9901,2.0 hours / week,,,,—,,"Swales, S.",6,250,Yes: 0 student,Asynchronous,—,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Marketing Geography,GGR252H1-S,,,,Geography matters in the success of both public and private sector organisations. Using mostly retail examples contemporary location problems are addressed. The geographies of demand and supply are analysed and trade area and site selection techniques are applied. The relevance of the planning context and utility of geovisualisation techniques such as GIS are also briefly considered.,GGR252H5,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC2501,Tuesday,—,17:00,19:00,MC 102,https://map.utoronto.ca/?id=1809#!m/494474,"Swales, S.",40,78,Yes: 0 student,In Person,,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ2207 MA URBAN STUDIES,,
GGR,Geography USA,GGR254H1-S,,,,"After a short historical overview of the making of America, this course focuses on contemporary issues in American society, economy, politics, race, regional distinctions and disparities, urban development.","Humanities, Social Science",Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Thursday,—,09:00,11:00,SS 2135,https://map.utoronto.ca/?id=1809#!m/494510,"Bost, T.",42,95,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Introductory Analytical Methods,GGR270H1-F,,,,"Theory and practical application of elementary quantitative techniques in geography emphasizing descriptive, inferential and spatial statistical analysis, probability, and sampling.",ECO220Y1/ ECO227Y1/ EEB225H1/ GGR270Y1/ LIN305H1/ POL222H1/ POL242Y1/ PSY201H1/ SOC202H1/ STA220H1/ STA248H1/ STA250H1/ STA261H1,Exclusion:,0.5 FCE in Geography,Recommended Preparation:,"Science, Social Science",Distribution Requirement:,Room,LEC9901,Monday,—,16:00,18:00,—,,"Palm, M.",19,250,Yes: 0 student,Online - Synchronous,—,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,The Physical and Mathematical Universes (5),Breadth Requirement:
GGR,Social Research Methods,GGR271H1-S,,,,"Practical course on field methods designed to enable students to carry out their own research projects. Behavioural observation, interviewing, questionnaire design, sampling theory, content analysis of written and graphic material, data coding and focus groups.",SOC200H1/SOC204H1/CRI350H1/ENV223H1,Exclusion:,Social Science,Distribution Requirement:,,,Room,LEC0101,Thursday,—,13:00,15:00,MS 3154,https://map.utoronto.ca/?id=1809#!m/494491,"Stephens, L.",63,200,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
FRE,The French Language: A Linguistic Introduction,FRE272H1-F,Timetable instructions,Note:,"This is a 3-hour course (2-hr lecture, 1-hr tutorial). All students must enroll in both the lecture and the tutorial for a total of three hours per week. Students should check for any schedule conflict before enrolling in a tutorial. Changing or switching of lecture meeting or tutorial at mid-session is not permitted at the Department of French. Students who are not enrolled in the tutorial of their choice by the enrolment deadline will be placed by the Department of French in another section according to availability. The placement test  is mandatory for students who do not have the prerequisites.","A general introduction to the structure of French language, from a linguistic perspective. Students will become acquainted with the various components of the language (sound, meaning, word formation, sentence structure) through detailed description and basic analysis of Canadian and European varieties of French. Students will also be introduced to the study of French in the context of bilingualism (second language acquisition, sociolinguistics). .","FSL221Y1 or, upon first FRE/FSL enrolment, equivalent as determined by the French Placement Test",This course is mandatory in all specialist and major programs,Humanities,Prerequisite:,"Thought, Belief and Behaviour (2)",Distribution Requirement:,Room,LEC0101,Monday,—,13:00,15:00,AH 400,https://map.utoronto.ca/?id=1809#!m/494578,"Mekhaeil, C.",8,90,Yes: 0 student,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0120 MA FRENCH LANGUAGE LEARNING,ASMAJ0525 MA FRENCH LANG & FRENCH LING,ASMAJ1295 MA FRENCH LANGUAGE & LIT,ASMIN0556 MI PRACTICAL FRENCH,,Breadth Requirement:
GGR,Geographic Information and Mapping I,GGR272H1-F,Delivery instructions,Note:,This meeting section may require attendance at a specific time and location for the final exam or final assessment (subject to adjustments imposed by public health requirements). Online attendance required for some or all other activities,"Introduction to digital mapping and spatial analysis using geographic information systems (GIS). Students learn how to use GIS software to find, edit, analyze and map geographic data to create their own maps, analyze geographic problems and use techniques that can be applied to a variety of subject areas.","GGRB30H3, GGR272H5",Exclusion:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,2.0 hours / week,,,,,,"Boyes, D.",8,205,Yes: 0 student,Asynchronous (See Delivery Instructions.),—,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
GGR,Geographic Information and Mapping I,GGR272H1-S,,,,"Introduction to digital mapping and spatial analysis using geographic information systems (GIS). Students learn how to use GIS software to find, edit, analyze and map geographic data to create their own maps, analyze geographic problems and use techniques that can be applied to a variety of subject areas.","GGRB30H3, GGR272H5",Exclusion:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Monday,—,13:00,15:00,SS 2102,https://map.utoronto.ca/?id=1809#!m/494510,,91,180,Yes: 0 student,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Geography and Planning   (Faculty of Arts and Science),"Department of Geography and Planning   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
FRE,Introduction to the History of the French Language,FRE273H1-S,Timetable instructions,Note:,The placement test  is mandatory for students who do not have the prerequisites.,"A discovery of a long and fascinating history, stretching from the spoken Latin of the Gauls to the many varieties of French found today all over the world via the investigation of the social, political, and cultural causes of language change. Our focus includes topics such as medieval bilingualism, the regulation of language through the Académie française, the political use of the French language, the emergence of the Francophonie and modern Canadian French.","FSL221Y1 or, upon first FRE/FSL enrolment, equivalent as determined by the French Placement Test.",Prerequisite:,FRE272H1,Recommended Preparation:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,11:00,13:00,GB 221,https://map.utoronto.ca/?id=1809#!m/494473,"Kullmann, D.",39,90,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0120 MA FRENCH LANGUAGE LEARNING,ASMAJ0525 MA FRENCH LANG & FRENCH LING,ASSPE0525 SP FRENCH LANG & FRENCH LING,ASSPE1295 SP FRENCH LANGUAGE & LIT,"Thought, Belief and Behaviour (2)",Breadth Requirement:
GGR,Geographic Information and Mapping II,GGR273H1-S,,,,Builds on GGR272H1 by providing students with practical spatial analysis methods and the underlying theory needed to understand how to approach various geographic problems using geographic information system (GIS) software and a variety of data types and sources.,GGR272H1,Prerequisite:,GGRB32H3,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,16:00,18:00,SS 2102,https://map.utoronto.ca/?id=1809#!m/494510,,65,140,Yes: 0 student,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,The Physical and Mathematical Universes (5),Breadth Requirement:
FRE,Introduction to the Linguistic Analysis of French,FRE274H1-S,Timetable instructions,Note:,The placement test  is mandatory for students who do not have the prerequisites.,"An analytical study of contemporary French phonetics and phonology, morphology, syntax and semantics. This course is designed to prepare students for more advanced study of French linguistics at the 300 and 400 levels.",FRE272H1,Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Friday,—,13:00,16:00,CR 403,https://map.utoronto.ca/?id=1809#!m/494580,"Bello, S.",0,50,Yes: 1 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0525 MA FRENCH LANG & FRENCH LING,ASSPE0525 SP FRENCH LANG & FRENCH LING,,,,
GGR,Introductory Computation and Data Science for the Social Sciences,GGR274H1-S,,,,"Social scientists are increasingly working with big and complex datasets that contain spatial, group-level, and individual-level dimensions to answer questions about society. In this course, students will develop introductory programming knowledge and data acumen in order to create and run computer programs to explore where, when, and why social processes occur, drawing on theories from geography, linguistics, sociology, anthropology, economics, political science, and psychology. Instruction will focus on applying current data analysis libraries, communicating and translating data science methods to both researchers and the public, distinguishing causation from correlation and coincidence, and negotiating tradeoffs between different computational and statistical approaches.","CSC111H1, CSC148H1, STA130H1, STA238H1, STA248H1, STA261H1, EEB125H1",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,SS 2118,https://map.utoronto.ca/?id=1809#!m/494510,"Taback, N.",92,150,Yes: 0 student,In Person,LM 123,—,,,,,,,,,
FRE,Special Topics in French Cultural Studies I,FCS292H1-S,Timetable instructions,Note:,"For more information, see:",Various topics about the relation of French popular culture to society.,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC9901,2.0 hours / week,,,,,,"Visoi, M.",0,60,Yes: 6 students,Asynchronous,—,,,,,,,,,,
CERES,Advanced Modern Greek I,MGR300H1-F,,,,"This course builds on the Intermediate level background knowledge to prepare students as independent users of the Modern Greek language. In order to attain conversational fluency and communicate effectively and accurately with native Greek language speakers, students will practice on reading and interpreting magazine and newspaper articles on various topics as well as  applying more complex grammatical and syntax rules to write essays on assigned subjects.",Completion of MGR245Y1 or permission of instructor,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,13:00,15:00,UC 330,https://map.utoronto.ca/?id=1809#!m/494517,"Aravossitas, T.",19,30,Yes: 0 student,In Person,,,,,,,,,,,
GGR,Fluvial Geomorphology,GGR301H1-F,,,,"Elements of drainage basin morphology and hydrology, classification of rivers, stream patterns and hydraulic geometry. Elements of open channel flow, sediment transport and the paleohydrology of river systems. River channel adjustments to environmental change, human impact and the management/design of river habitats. Exercises include experimentation in a laboratory flume.",GGR270H1 (or equivalent); and GGR201H1 or permission of instructor,Usually offered every other year.,10.0 FCE's including JEG100H1/GGR100H1,Prerequisite:,Science,Recommended Preparation:,Room,LEC0101,Thursday,—,14:00,16:00,SS 1070,https://map.utoronto.ca/?id=1809#!m/494510,"Peirce, S.",28,40,Yes: 0 student,In Person,VC 211,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,The Physical and Mathematical Universes (5),Distribution Requirement:
CERES,Advanced Modern Greek II,MGR301H1-S,,,,The aim of this course is to facilitate fluency both in spoken and written Modern Greek.  Proficiency at this level will be attained through familiarization with various texts and genres including a Modern Greek literature anthology and selected academic articles. Emphasis will be placed on writing which will lead to the production of a short research paper in Modern Greek.,Completion of MGR300H1 or permission of instructor,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,13:00,15:00,UC 330,https://map.utoronto.ca/?id=1809#!m/494517,"Aravossitas, T.",20,30,Yes: 0 student,In Person,,,,,,,,,,,
GGR,Biogeography,GGR305H1-S,,,,"Identifies patterns in and explains processes behind plant and animal distributions through space and time. Topics covered include ecological and evolutionary dynamics, disturbance, dispersal, migration, continental drift, speciation, extinction, paleoenvironments and island biogeography. We also examine terrestrial and marine biomes, the meaning of biodiversity, conservation challenges, and recent biogeographic changes associated with human impact.",8.0 credits,Prerequisite:,GGR305H5,Exclusion:,"JEG100H1 or (BIO120H1, BIO130H1)",Recommended Preparation:,Room,LEC0101,Wednesday,—,14:00,16:00,WI 1016,https://map.utoronto.ca/?id=1809#!m/494503,"Peirce, S.",0,111,Yes: 13 students,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Science,Distribution Requirement:
GGR,Canadian Arctic and Subarctic Environments,GGR308H1-F,,,,"We will explore the climate geomorphology, soils, hydrology, biogeochemical cycling, limnology and food web structures of the Arctic and Subarctic. Current stresses of climate change and pollution are discussed along with scientific and political solutions.",8.0 credits,Prerequisite:,JEG100H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,SS 2108,https://map.utoronto.ca/?id=1809#!m/494510,"Peirce, S.",0,60,Yes: 0 student,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,The Physical and Mathematical Universes (5),Breadth Requirement:
FRE,Relations between Text and Other Media,FRE310H1-F,,,,"Literary texts and other forms of media (photographs, cinematographic images, paintings) have been associated in a fascinating relation in hundreds of works of French literature. An exploration of this inextricable weaving together of verbal and visual experiences as it pertains to literature through the study of interdisciplinary theoretical texts focused on photography, painting, and cinema.","FRE240H1/FRE245H1, FRE241H1/FRE246H1",Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,NF 113,https://map.utoronto.ca/?id=1809#!m/494600,"Saverino, R.",17,30,Yes: 0 student,In Person,,,,,,,,,,,
FRE,Writing French: the Language of the Media,FSL312H1-F,Timetable instructions,Note:,The placement test  is mandatory for students who do not have the prerequisites.,"Using current online French media, broaden your understanding of the French language; deepen your grammatical knowledge; expand your vocabulary (including idioms); review key aspects of French syntax; and fine-tune your reading skills in French. Weekly reading and writing workshops are an integral part of this course.","FSL221Y1 (63%) or, upon first FRE/FSL enrolment equivalent as determined by the French Placement Test.",Prerequisite:,FSL321Y1 and higher,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,13:00,CR 405,https://map.utoronto.ca/?id=1809#!m/494580,"Ballin, M.",16,35,Yes: 0 student,In Person,,,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:
FRE,French for the Workplace,FSL313H1-F,Timetable instructions,Note:,The placement test  is mandatory for students who do not have the prerequisites.,"This course is designed to enhance students’ existing knowledge of French by giving them a theoretical as well as a practical foundation in the use of French language in the workplace. Special emphasis will be placed on the appropriate vocabulary used within the context of communication in the Francophone workplace. Students will learn how to communicate in a variety of professional contexts as well as how to distinguish between the formal and informal styles of French suitable for diverse situations in the workplace. This course also aims to help students acquire intercultural skills needed in the Francophone workplace.The redesigned course will provide a hybrid alternative that delivers the same high quality content and high degree of interaction present in traditional in-class course delivery. The new format will consist of weekly one-hour online sessions and two-hour traditional in-class sessions. In this format, further preparation work and homework will continue to be carried on as in the traditional course, i.e. outside of the 3-hour class time.","FSL221Y1 (63%) or, upon first FRE/FSL, enrolment equivalent as determined by the French Placement Test",Prerequisite:,FSL321Y1 and higher,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,13:00,15:00,CR 403,https://map.utoronto.ca/?id=1809#!m/494580,"Beeharry Paray, G.",6,35,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:
FRE,Quebec and French-Canadian Literature,FRE314H1-F,,,,"Literature of the 20th and 21st centuries speaks of contesting social and literary figures of authority, of challenging traditional literary structures, and of accentuating creativity and subjectivity. An exploration of the thematic and formal structures that challenge traditional forms of thinking and writing in contemporary literature from Québec and other French-speaking parts of Canada.","FRE240H1/FRE245H1, FRE 241H1/FRE246H1",Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,"Taban, C.",19,30,Yes: 0 student,In Person,,,,,,,,,,,
GGR,Global Warming,GGR314H1-S,,,,"A comprehensive examination of the greenhouse warming problem, beginning with economic, carbon cycle, and climate model projections; impacts on and adaptive responses of agriculture, forests, fisheries, and water resources; options and policies to reduce greenhouse gas emissions.",GGR377H5,Exclusion:,8.0 FCE's,Recommended Preparation:,"Science, Social Science",Distribution Requirement:,Room,LEC5101,Monday,—,17:00,19:00,HS 610,https://map.utoronto.ca/?id=1809#!m/494459,"Harvey, D.",134,208,Yes: 0 student,In Person,Online Synchronous,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMIN1552 MI ENVIRONMENT & ENERGY,,The Physical and Mathematical Universes (5),Breadth Requirement:
FRE,French Oral Communication for Professional and Academic Contexts,FSL315H1-S,Timetable instructions,Note:,The placement test  is mandatory for students who do not have the prerequisites.,"This course is designed for students who wish to develop their oral communication skills in French in preparation for bilingual employment, community service, and academic activities in Canada and abroad. Emphasis is placed on the development of skills for accurate oral language use in professional and academic contexts: researched oral presentations, debates, interviews, and student-led discussions. Students will learn how to adapt their speaking style and register to different audiences and situations, use appropriate vocabulary, and self-correct.","FSL221Y1 (63%) or, upon first FRE/FSL, enrolment equivalent as determined by the French Placement Test",Prerequisite:,FSL321Y1 and higher. Not open to fluent and native speakers of French.,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,12:00,15:00,AH 107,https://map.utoronto.ca/?id=1809#!m/494578,"Visoi, M.",0,35,Yes: 2 students,In Person,,,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:
FRE,Medieval French Literature,FRE318H1-S,,,,"Religious fervour, chivalry, romance and ribald humour, heroic deeds, marvellous adventures, and exotic travels as found in selected texts from the French Middle Ages. Readings in modern French translations with appropriate reference to the original language.","FRE240H1/FRE245H1, FRE241H1/FRE246H1",Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,16:00,18:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,"Kullmann, D.",23,30,Yes: 0 student,In Person,,,,,,,,,,,
FRE,Laughter and Thought in French Renaissance Literature,FRE319H1-F,,,,"An overview of the fascinating literary diversity, prose, theatre and poetry essential to the changing humanistic discourse of the French Renaissance and Baroque periods. The underscoring of important historical events - Reformation, Great Discoveries, Printing - to explain the philosophical and literary values produced by such violent times.","FRE240H1/FRE245H1, FRE241H1/FRE246H1",Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,CR 404,https://map.utoronto.ca/?id=1809#!m/494580,"Abd-elrazak, L.",18,30,Yes: 0 student,In Person,,,,,,,,,,,
GGR,"Geographies of Transnationalism, Migration, and Gender",GGR320H1-S,,,,"This course examines recent changes in global migration processes. Specifically, the course addresses the transnationalization and feminization of migrant populations and various segments of the global labor force. The coursework focuses on analyzing classical paradigms in migration studies, as well as emerging theoretical approaches to gender and migration. In addition, it traces the shifting empirical trends in gendered employment and mobility patterns. It uses in-depth case study material to query the frameworks employed in migration studies and to understand the grounded implications of gendered migration. It pays particular attention to the interventions made by feminist geographers in debates about work, migration, place, and space.",8.0 FCE's,Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,SS 2125,https://map.utoronto.ca/?id=1809#!m/494510,"Silvey, R.",0,60,Yes: 10 students,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,
FRE,French Language III,FSL321Y1-Y,,,,"The course is intended for students who have already mastered the basic competences in French language proficiency. The textbook used in this course will follow the B1 level of the Common European Framework of Reference for Languages (CEFR) in its active approach which puts emphasis on the student being at the centre of the learning process. Students will learn the following intermediate-level language skills: writing, speaking as well as understanding written and spoken French.","FSL221Y1 (63%) or, upon first FRE/FSL enrolment, equivalent as determined by the French Placement Test",Prerequisite:,FSL375Y1 and higher. May not be taken concurrently with any FSL31*H1 series courses.,Exclusion:,Humanities,Distribution Requirement:,,LEC0101,Monday,—,10:00,12:00,CR 403,https://map.utoronto.ca/?id=1809#!m/494580,"Abd-elrazak, L.",7,50,Yes: 0 student,In Person,CR 403,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0120 MA FRENCH LANGUAGE LEARNING,ASMAJ0525 MA FRENCH LANG & FRENCH LING,ASMAJ1295 MA FRENCH LANGUAGE & LIT,ASMIN0120 MI FRENCH LANG  - Year 3,Creative and Cultural Representations (1),Breadth Requirement:
GGR,Multicultural Perspectives on Environmental Management,JGE321H1-S,,,,"Diverse approaches to environmental issues in a variety of multicultural settings are introduced, compared and analyzed, using case studies. Perspectives on environmental management will be discussed as they emerge from contexts such as Latin America, Asia, or Africa.",ENV221H1/ENV222H1/GGR222H1/GGR223H1,Prerequisite:,ENV321Y1,Exclusion:,8.0 credits,Recommended Preparation:,Room,LEC0101,Thursday,—,13:00,15:00,SS 2125,https://map.utoronto.ca/?id=1809#!m/494510,"Abizaid, C.",0,60,Yes: 33 students,In Person,,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ0296 MA ENVIRONMENTAL POLICY & PRAC,ASMAJ0365 MA HMB: ENVIRONMENT & HEALTH,Social Science,Distribution Requirement:
