resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,headerSect 8,weekDay 3,weekDay 4,alignC,weekDay 10,alignC 4,weekDay 18,extraTxt 11,extraTxt 12,weekDay href,extraTxt 13,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,dayInfo 28,dayInfo 29,dayInfo 30,weekDay href 4
SMC,The Celts in the Ancient and Medieval World,CLT240H1-F,,,,An introduction to the culture and literature of the Celtic peoples in pre-history and in the Middle Ages.,"SMC240Y1, SMC240H1",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,11:00,13:00,TF 201,"Miles, B.",of  available,5,30,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,
SMC,Mediaeval Mythologies and Methodologies,MST242H1-S,,,,"The idea of the ‘middle ages’ is pervasive in Western thought, but only some of what is ‘traditional’ actually happened. This course introduces various interpretations, constrictions, and re-creations. Our analysis will draw on literary texts and their various interdisciplinary interpretations and applications.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,11:00,13:00,CR 107,"More, A.",of  available,3,25,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
STAT,Financial Principles for Actuarial Science I,ACT245H1-S,Delivery instructions,Note:,"Lectures will be delivered online and tests,  tutorials and office hours will be offered in-person.  Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus. It is strongly recommended that students have a computer with a microphone and camera in order to participate in any online components of this course.","Term structure of interest rates, cashflow duration, convexity and immunization, forward and futures contracts, interest rate swaps, introduction to investment derivatives and hedging strategies.","ACT240H1, MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%)",Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,15:00,17:00,MS 3154,,of  available,19,160,Yes: 0 student,In Person (See Delivery Instructions.),,,,,SS 2118,—,Thursday,,,https://map.utoronto.ca/?id=1809#!m/494491,,,,,,,—,14:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510
STAT,Introductory Life Contingencies,ACT247H1-S,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus. It is strongly recommended that students have a computer with a microphone and camera in order to participate in any online components of this course.","Probability theory applied to survival and to costs and risks of life assurances, life annuities, and pensions; analysis of survival distributions; international actuarial notation. Course manuals fee: $35.",ACT240H1; MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%); STA257H1,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Thursday,—,11:00,13:00,HS 610,,of  available,36,160,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Tuesday,,—,,—,,,,https://map.utoronto.ca/?id=1809#!m/494459,,,,,,,,,,
STAT,Probability with Computer Applications,STA247H1-F,Delivery instructions,Note:,Lectures will be delivered online and lecture recordings will also be available for students to view asynchronously.,"An introduction to probability using simulation and mathematical frameworks, with emphasis on the probability needed for computer science applications and more advanced study in statistical practice. Topics covered include probability spaces, random variables, discrete and continuous probability distributions, probability mass, density, and distribution functions, expectation and variance, independence, conditional probability, the law of large numbers, the central limit theorem, sampling distributions. Computer simulation will be taught and used extensively for calculations and to guide the theoretical development.","(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1/(MATA30H3, MATA36H3)/(MATA31H3, MATA37H3)/(MAT135H5, MAT136H5)/MAT137Y5/MAT157Y5; CSC111H1/CSC148H1/CSCA48H3/CSC148H5",Prerequisite:,ECO227Y1/STA255H1/STA237H1/STA257H1/STAB52H3/STA256H5/ECO227Y5,Exclusion:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Monday,—,15:00,17:00,—,"Huynh Wong, K.",of  available,0,300,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Thursday,—,—,,—,,,,,"Tutorials will be offered in-person or online depending on the tutorial section in which you enrol, and are mandatory and cannot be done asynchronously.",Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Computer Science    (Faculty of Arts and Science),,,,,
STAT,Statistics for Computer Scientists,STA248H1-S,Delivery instructions,Note:,Lectures will be delivered online and tutorials will be offered in-person or online depending on the tutorial section in which you enrol.,"An introduction to statistical inference and practice needed for computer science applications. Statistical models and parameters, estimators of parameters and their statistical properties, methods of estimation, confidence intervals, hypothesis testing, likelihood function, the linear model. Use of statistical computation for data analysis and simulation.",STA237H1/STA247H1/STA257H1/STA256H5/STAB52H3; CSC111H1/CSC148H1/CSCA48H3/CSC148H5,Prerequisite:,ECO220Y1/ ECO227Y1/ GGR270H1/ PSY201H1/ SOC300H1/ SOC202H1/ SOC252H1/ STA220H1/ STA221H1/ STA255H1/ STA238H1/ STA261H1/ STA288H1/ EEB225H1/ STAB22H3/ STAB27H3/ STAB57H3/ STA220H5/ STA221H5/ STA258H5/ STA260H5/ ECO220Y5/ ECO227Y5,Exclusion:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,—,"Selvaratnam, S.",of  available,42,240,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Thursday,—,—,,—,,,,,All assessments will be completed online.,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Computer Science    (Faculty of Arts and Science),,,,,
SMC,Celtic Mythology,CLT250H1-F,,,,"This course covers the range of the Celtic mythological record from all the Celtic areas through an examination of the archaeological, inscriptional and textual sources. A critical evaluation is offered of various relevant mythic approaches.","SMC250Y1, SMC250H1",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,CR 405,"SHEEHAN, P.",of  available,6,50,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
SPA,Introduction to Lusophone Culture,PRT250H1-F,,,,"A survey of historical and cultural trends in the Portuguese-speaking world, from colonial past to the present. (Offered in alternate years; taught in English)",PRT252,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,VC 304,"de Almeida Graca, L.",of  available,15,20,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
SMC,Intermediate Irish Language I,CLT251H1-F,,,,"This course builds on CLT141Y1 Introduction to the Irish Language. It will provide further expansion of the four language skills: listening, speaking, reading and writing.",CLT141Y1,Prerequisite:,SMC251H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,CR 107,"O'DRISCOLL, G.",of  available,5,10,Yes: 0 student,In Person,Activity,Thursday,,—,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
SMC,Intermediate Irish Language II,CLT252H1-S,,,,"This course is a continuation of CLT251H1 Intermediate Irish Language I. It will provide further expansion of language skills. We will examine literary texts, both prose and poetry.",CLT251H1,Prerequisite:,SMC252H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,CR 106,"O'DRISCOLL, G.",of  available,5,10,Yes: 0 student,In Person,Activity,Thursday,,—,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,
SPA,Cervantes and Modern Fiction,SPA254H1-S,,,,"Critical reading of Don Quixote as a canonical text for the novel and other narrative forms, including historical metafiction, the short story, and fictional autobiography. Comparative discussion of Quixotic fictions by modern authors, such as Machado de Assis, Borges, Nabokov, García Márquez, Junot Díaz. Lectures and readings in English.",None,Prerequisite:,None,Recommended Preparation:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC5101,Tuesday,—,18:00,20:00,VC 211,"Rupp, S.",of  available,17,30,Yes: 0 student,In Person,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
STAT,Statistical Theory,STA255H1-S,Delivery instructions,Note:,"Lectures will be delivered online and tutorials will be offered in-person or online depending on the tutorial section in which you enrol.  Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.","This courses deals with the mathematical aspects of some of the topics discussed in STA220H1. Topics include discrete and continuous probability distributions, conditional probability, expectation, sampling distributions, estimation and testing, the linear model (Note: STA255H1 does not count as a distribution requirement course).","STA220H1/STA221H1/ECO220Y1 (note: ECO220Y1 may be taken as a co-requisite)/STAB22H3/STA220H5/ECO220Y5; MAT133Y1 (70%)/(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1/(MATA32H3 (70%); MATA33H3 (70%))/(MATA29H3 (70%); MATA35H3 (70%))/(MATA30H3, MATA36H3)/(MATA31H3, MATA37H3)/MAT133Y5 (70%)/(MAT132H5 (70%); MAT134H5 (70%))/(MAT135H5,MAT136H5)/MAT137Y5/MAT157Y5",Prerequisite:,ECO227Y1/STA237H1/STA238H1/STA257H1/STA261H1/STA247H1/STA248H1/STAB52H3/STAB57H3/STA256H5/STA260H5,Exclusion:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,MP 203,"Khan, M.",of  available,53,180,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Thursday,—,—,KP 108,—,Tuesday,,,https://map.utoronto.ca/?id=1809#!m/494490,All assessments will be completed online.,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2289 MI STATISTICS,ASMIN2289 MI STATISTICS,—,15:00,17:00,https://map.utoronto.ca/?id=1809#!m/494488
STAT,Probability and Statistics I,STA257H1-F,Delivery instructions,Note:,Lectures will be delivered online and tutorials will be offered in-person or online depending on the tutorial section in which you enrol.,"A mathematically rigorous introduction to probability, with applications chosen to introduce concepts of statistical inference. Probability and expectation, discrete and continuous random variables and vectors, distribution and density functions, the law of large numbers. The binomial, geometric, Poisson, and normal distributions. The Central Limit Theorem. (Note: STA257H1 does not count as a distribution requirement course).","(MAT135H1 (70%); MAT136H1(70%))/MAT137Y1/MAT157Y1 (MAT137Y1/MAT157Y1 is strongly recommended)/(MATA30H3(70%); MATA36H3(70%))/(MATA31H3, MATA37H3)/(MAT135H5(70%); MAT136H5(70%))/MAT137Y5/MAT157Y5",Prerequisite:,MAT235Y1/MAT237Y1/MAT257Y1 (MAT237Y1/MAT257Y1 is strongly recommended)/MATB41H3/MAT232H5/MAT233H5; MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5,Corequisite:,"ECO227Y1, STA237H1, STA247H1, MAT377H1, STAB52H3, STA256H5, ECO227Y5",Exclusion:,Room,LEC0101,Monday,—,15:00,17:00,—,"Nadarajah, T.",of  available,0,300,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Wednesday,—,—,—,—,Wednesday,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494470,All assessments will be completed online.,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0608 MA ACTUARIAL SCIENCE,ASMAJ2289 MA STATISTICS,—,15:00,16:00,https://map.utoronto.ca/?id=1809#!m/494470
SPA,Introduction to Lusophone Literature,PRT258H1-S,,,,"Introduction to literary studies in Portuguese and information literacy. Representative selection of Lusophone prose, poetry, and drama, with a focus on critical terminology and methods of literary analysis. Required for a program degree.",First semester PRT220Y1,Prerequisite:,PRT258Y1,Exclusion:,PRT219Y1/PRT220Y1/PRT120Y1,Recommended Preparation:,Room,LEC0101,Thursday,—,14:00,16:00,NF 332,"Sa Carvalho Pereira, C.",of  available,14,20,Yes: 0 student,In Person,,,,,,,,Humanities,Distribution Requirement:,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,
SPA,Introduction to Hispanic Literary Studies,SPA258H1-F,Delivery instructions,Note:,It is recommended that students have a computer with a microphone and camera in order to participate in online activities.,"Introduction to university literary studies in Spanish and information literacy. Representative selection of Spanish and Spanish American prose, poetry, and drama, with focus on critical terminology and methods of literary analysis. Required for a program degree.",First semester SPA220Y1,Prerequisite:,SPA120Y1 or SPA220Y1 or SPA219Y1,Corequisite:,Humanities,Distribution Requirement:,Room,LEC9901,Monday,—,15:00,18:00,—,"Munjic, S.",of  available,14,30,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,,,,,
SPA,Introduction to Hispanic Literary Studies,SPA258H1-S,,,,"Introduction to university literary studies in Spanish and information literacy. Representative selection of Spanish and Spanish American prose, poetry, and drama, with focus on critical terminology and methods of literary analysis. Required for a program degree.",First semester SPA220Y1,Prerequisite:,SPA120Y1 or SPA220Y1 or SPA219Y1,Corequisite:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,14:00,17:00,NF 004,"Munjic, S.",of  available,4,30,Yes: 0 student,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,
SPA,Introduction to Hispanic Cultural Studies,SPA259H1-F,,,,"Forms of cultural expression in Spain, Latin America and Spanish-speaking North America, with study of representative media, including literature, journalism, film, visual art, and the urban environment. Introduction to methods of cultural analysis. (Offered in alternate years).",Minimum 1st semester of SPA220Y1,Prerequisite:,SPA120Y1 or SPA220Y1 or SPA219Y1,Corequisite:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,VC 211,"Ene, P.",of  available,17,30,Yes: 0 student,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,
STAT,Probability and Statistics II,STA261H1-S,Delivery instructions,Note:,Lectures will be delivered online and tutorials will be offered in-person or online depending on the tutorial section in which you enrol.,"A rigorous introduction to the theory of statistical inference and to statistical practice. Statistical models, parameters, and samples. Estimators for parameters, sampling distributions for estimators, and the properties of consistency, bias, and variance. The likelihood function and the maximum likelihood estimator. Hypothesis tests and confidence regions. Examples illustrating statistical theory and its limitations. Introduction to the use of a computer environment for statistical analysis. (Note: STA261H1 does not count as a distribution requirement course).",STA257H1/STAB52H3/STA256H5,Prerequisite:,MAT235Y1/MAT237Y1/MAT257Y1/MATB42H3/MAT236H5; MAT223H1/MAT240H1/MATA22H3/MATA23H3/MAT223H5/MAT240H5,Corequisite:,ECO227Y1/STA238H1/STA248H1/STAB57H3/STA260H5/ECO227Y5,Exclusion:,Room,LEC0101,Monday,—,15:00,17:00,—,"Khan, M.",of  available,0,300,Yes: 4 students,Online - Synchronous (See Delivery Instructions.),Activity,Wednesday,—,—,—,—,Wednesday,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494470,All assessments will be completed online.,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0608 MA ACTUARIAL SCIENCE,ASMAJ2289 MA STATISTICS,—,17:00,19:00,https://map.utoronto.ca/?id=1809#!m/494470
STAT,Data Science I,JSC270H1-S,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.","This course is restricted to students in the Data Science Specialist program. Data exploration and preparation; data visualization and presentation; and computing with data will be introduced. Professional skills, such as oral and written communication, and ethical skills for data science will be introduced. Data science workflows will be integrated throughout the course. These topics will be explored through case studies and collaboration with researchers in other fields.","STA257H1, CSC207H1",Prerequisite:,"STA261H1, MAT237Y1/MAT257Y1, CSC236H1/CSC240H1",Corequisite:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Monday,—,12:00,14:00,ES 4000,"Gronsbell, J.",of  available,14,40,Yes: 0 student,In Person (See Delivery Instructions.),,,,,ES 4000,,Wednesday,,,https://map.utoronto.ca/?id=1809#!m/494499,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASSPE1687 SP DATA SCI,,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494499
STAT,Statistics and Scientific Inquiry in the Life Sciences,STA288H1-S,Delivery instructions,Note:,"Some of the scheduled in-person lectures may be offered online depending on current public health and institutional guidelines. Details about the course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.","Introduction to statistics and its connection to all stages of the scientific inquiry process. Issues around data collection, analysis and interpretation are emphasized to inform study design and critical assessment of published research. Statistical software is used to conduct descriptive and inferential statistics to address basic life sciences research questions.",BIO230H1/BIO255H1,Prerequisite:,"STA220H1, PSY201H1, GGR270H1, ECO220Y1, ECO227Y1, SOC202H1, EEB225H1, HMB325H1, STA238H1, STA248H1, STA261H1, PCL376H1, STA215H5, STA220H5, STAB22H3",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,11:00,13:00,ES 1050,"Daignault, K.",of  available,48,120,Yes: 0 student,In Person (See Delivery Instructions.),,ES 1050,ES 1050,,ES 1050,,Thursday,The Physical and Mathematical Universes (5),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494499,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1002 MA IMMUNOLOGY,ASMAJ2675 MA PHARM & BIOMED TOX(GENERAL),—,11:00,13:00,https://map.utoronto.ca/?id=1809#!m/494499
SMC,Special Topics in Book & Media Theories,BMS300H1-S,Timetable instructions,Note:,"LEC0101This course will examine book history and print culture through the lens of the development of modern bibliographic scholarship, library science and textual studies. Special attention will be given to the pre-computer era of letterpress printing technologies, the rise of industrial printing, and the material aspects of book production. Students will examine the ideas of textual transfer and the sociology of print, and engage with the editorial and the bibliographic processes manifested in the material stages of composition and publication through both hands on workshops, physical texts and critical engagement with key scholars. This course was offered in 20191 as SMC300H1 Bibliographical and Textual Studies: Print Culture in Practice and cannot be repeated.LEC0201This course presents an advanced introduction to Media Ecology, an interdisciplinary field of inquiry which examines how media environments affect human perception, understanding, feelings, and values. The course is grounded in intensive discussions of the assigned readings, focusing on both historical and contemporary discourses of environmental, structural, and systematic approaches in media theory.","This course offers students the opportunity to explore key issues and questions in the theory of books and media. The exact topic will change depending on the instructor. Possible topics include but are not limited to: specific theorists, theoretical schools, or traditions; theories of particular aspects or forms of media; theoretical debates or comparative approaches; interdisciplinary theory.","(BMS100H1, BMS200Y1, BMS201H1) or SMC219Y1",Prerequisite:,Humanities,Distribution Requirement:,,,Room,LEC0101,Monday,—,12:00,14:00,TF 201,"ROGERS, S.",of  available,15,40,Yes: 0 student,In Person,Subtitle,,,,AH 107,,Tuesday,,,https://map.utoronto.ca/?id=1809#!m/494581,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1300 MA BOOK & MEDIA STUDIES,ASMIN1300 MI BOOK & MEDIA STUDIES,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494578
SPA,Topics in the Social Sciences,LAS300H1-F,,,,"The goal of this course is to critically analyze the current economic, social, and political realities of Latin America, based on an insightful knowledge of its past and present. Topics of the course vary depending on the needs of the program and the interests of students.","IAS200Y1/LAS200Y1/(LAS200H1, 201H1)/POL305Y1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,SS 1078,"Kingsbury, D.",of  available,12,25,Yes: 0 student,In Person,Subtitle,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,
SMC,Special Topics in Book & Media Cultures,BMS301H1-F,Timetable instructions,Note:,"An exploration of diverse media narratives including film, books, music and social media to address cultural approaches to trauma theory in contemporary anti-oppressive and decolonizing frameworksThis course was offered in 20209 and 20215 as SMC317H1 and cannot be repeated.","This course offers students the opportunity to explore cultural questions and issues related to books and media. The exact topic will change depending on the instructor. Possible topics include but are not limited to: cultural studies approaches; issues of identity and representation; media and ideology; national, regional, or sub-cultural media; cross-cultural analysis; media genres, styles, and conventions.","(BMS100H1, BMS200Y1, BMS201H1) or SMC219Y1",Prerequisite:,Humanities,Distribution Requirement:,.,,Room,LEC9901,2.0 hours / week,,,,—,"Gildea, I.",of  available,4,68,Yes: 0 student,Asynchronous (See Delivery Instructions.),Subtitle,,,,,,,,,,"Lectures will be pre-recorded and delivered online asynchronously, learning is self-paced and not reliant on a meeting schedule. Opportunities for class discussions via live webinars will be made available and are optional. Students need the ability to use power point and BB Collaborate.",Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1300 MA BOOK & MEDIA STUDIES,ASMIN1300 MI BOOK & MEDIA STUDIES,,,,
SMC,Special Topics in Book & Media Cultures,BMS301H1-S,Timetable instructions,Note:,"There are two parts to this course. The first explores the place of music in the ecology of media from orality to digital culture—taking in issues such as the invention of musical notation, music and printing, the development of instruments, and technologies of recording and playback. The second part examines the relationship between music and other arts in a variety of contexts—such as songwriting, music video, and film scores. Some knowledge of musical notation would be an asset but is not required.","This course offers students the opportunity to explore cultural questions and issues related to books and media. The exact topic will change depending on the instructor. Possible topics include but are not limited to: cultural studies approaches; issues of identity and representation; media and ideology; national, regional, or sub-cultural media; cross-cultural analysis; media genres, styles, and conventions.","(BMS100H1, BMS200Y1, BMS201H1) or SMC219Y1",Prerequisite:,Humanities,Distribution Requirement:,,,Room,LEC0101,Tuesday,—,14:00,16:00,TF 101,"O'Connor, M.",of  available,0,50,Yes: 3 students,In Person,Subtitle,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494581,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1300 MA BOOK & MEDIA STUDIES,ASMIN1300 MI BOOK & MEDIA STUDIES,,,,
SMC,Special Topics in Mediaeval Studies,MST301H1-F,Timetable instructions,Note:,"In this course, students will examine the writings of Anselm of Canterbury (1033-1109), an eleventh-century Italian thinker who became a monk, prior, archbishop and ultimately a leading theologian of his day. Scholars often treat Anselm as the first scholastic theologian, which to some degree is true. In this course, however, we will seek to understand Anselm the theologian as a constituent of the eleventh century, and of eleventh-century Anglo-Norman monasticism in particular. The focus of the seminars will be mainly on a close reading of the Cur Deus homo, a text that Anselm completed by 1098, after he had become archbishop in 1093. We will therefore explore two major contexts: (1) the world of eleventh-century monasticism of Normandy and (2) the world of the archiepiscopacy of Canterbury at the end of this same century. We will seek the read this text in light of the broad tradition of pre-modern treatments of Soteriology and the Incarnation, but also within the two more immediate contexts.",A senior-level special topics seminar in Mediaeval Studies as determined by the instructor.,Completion of 9.0 credits,Prerequisite:,"MST210H1, MST212H1",Recommended Preparation:,Humanities,Distribution Requirement:,Room,LEC5101,Tuesday,—,17:00,19:00,Contact DEPT,"Ginther, J.",of  available,2,6,Yes: 0 student,In Person,Subtitle,,,,,,,,,,,,,,,,,,,
SMC,Special Topics in Book & Media Histories,BMS302H1-F,Timetable instructions,Note:,"Through lectures and encounters with major personalities in the print media industry, this course examines the past, present and future of Canadian newspapers at a time when the survival of the industry is at stake. Research projects will focus on the enormous influence of newspapers in Canada's formation, how newspapers are adapting to today's on-line, social media and revenue challenges and how the future might lie with the past.",This course offers students the opportunity to explore book and media history and historical research. The exact topic will change depending on the instructor. Possible topics include but are not limited to: particular periods or areas in book and media history; histories of specific media forms or styles; histories of media representation; historical research methods and approaches; industrial histories; comparative histories.,"(BMS100H1, BMS200Y1, BMS201H1) or SMC219Y1",Prerequisite:,Humanities,Distribution Requirement:,,,Room,LEC0101,Monday,—,12:00,14:00,CR 405,"Valpy, M.",of  available,27,68,Yes: 0 student,In Person,Subtitle,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494580,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1300 MA BOOK & MEDIA STUDIES,ASMIN1300 MI BOOK & MEDIA STUDIES,,,,
AST,The Bible and the Big Bang,JCA302H1-S,,,,"The origin of the Universe is addressed both by current physical cosmology and by religious interpretations of the Bible. This course explores how these approaches to the cosmos’s origins differ and how they might be mutually informative. Core concepts in each domain will be examined and definitions carefully distinguished (e.g., ‘nothing’, ‘cause’, ‘matter’): topics will include the question of temporal beginnings (scientific theories of spontaneous creation or an eternal universe vis-à-vis the doctrine of creation from nothing) and the problem of cosmic fine tuning (the multiverse vis-à-vis the idea of divine intervention).",Completion of 4.0 credits,Prerequisite:,"AST101H1/ AST201H1/ AST121H1/ AST221H1/ AST222H1, SMC232H1/ CHC232H1",Recommended Preparation:,"Humanities, Science",Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,BA 2159,"Hincks, A.",of  available,0,20,Yes: 2 students,In Person,,,,,,,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494470,,,,,,,,,,
