resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,weekDay 3,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,extraTxt 11,extraTxt 12,extraTxt 13,alignC
CRIM,Origins of Criminal Justice,CRI386H1-S,"Criminal justice practice, as well as political debate concerning crime and criminal justice, are often influenced by ideas that are initially developed outside the criminal justice arena. This course examines the history, current influence and efficacy of a range of such ideas, such as: the role of religious practice in rehabilitating offenders; military service and participation in sports as preventive of delinquency; the influence of environmental pollution on crime rates; the concept of the ‘problem family’; intelligence based policing and the use of management theories in criminal justice organizations.","Note: The course may include an optional Service Learning component. If offered, additional information will be provided in the Faculty of Arts and Science's .",Prerequisite:,"CRI205H1, CRI210H1",Exclusion:,Room,LEC0101,Monday,—,15:00,18:00,UC 52,https://map.utoronto.ca/?id=1809#!m/494517,"Watson, W.",of  available,0,60,Yes: 11 students,In Person,,Society and its Institutions (3),,CRI390H1 Roots of Criminal Justice Policy taken in 20141/20151/20161.,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Social Science,Breadth Requirement:,timetable,
ASI,Special Topics,CAS390H1-S,Course content varies in accordance with the interest of the instructor. Check  for an updated description.,Minimum of 6 FCEs,Prerequisite:,0.5 FCE in 200 level CAS courses,Recommended Preparation:,Room,LEC0101,Wednesday,—,10:00,12:00,UC D301,https://map.utoronto.ca/?id=1809#!m/494517,,of  available,25,25,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,,,http://munkschool.utoronto.ca/ai/cas,—
CRIM,Topics in Criminology and Sociolegal Studies,CRI390H1-S,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1 FCE from CRI205H1, CRI210H1, CRI225H1",Prerequisite:,WDW390H1,Exclusion:,Room,LEC0101,Monday,—,10:00,13:00,VC 323,https://map.utoronto.ca/?id=1809#!m/494602,"Laniyonu, A.",of  available,35,120,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
DTS,Independent Study,DTS390H1-F,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult with the Diaspora and Transnational Studies Program Office for more information. Not eligible for CR/NCR option.",DTS200Y1,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,,—,,,,,,of  available,9997,9999,No,In Person,,,,,,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—
DTS,Independent Study,DTS390H1-S,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult with the Diaspora and Transnational Studies Program Office for more information. Not eligible for CR/NCR option.",DTS200Y1,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,,,,,,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—
DTS,Independent Study,DTS390Y1-Y,"A scholarly project chosen by the student, approved by the Department, and supervised by one of its instructors. Consult with the Diaspora and Transnational Studies Program Office for more information. Not eligible for CR/NCR option.",DTS200Y1,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,,,,,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—
CRIM,Topics in Criminology and Sociolegal Studies,CRI392H1-F,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1 FCE from CRI205H1, CRI210H1, CRI225H1",Prerequisite:,WDW392H1,Exclusion:,Room,LEC9901,3.0 hours / week,,,,,,"Light, M.",of  available,1,60,Yes: 0 student,Asynchronous (See Delivery Instructions.),Delivery instructions,Note:,"Lectures will be given in online asynchronous format, meaning that they will be pre-recorded and available on the course Quercus page for students to watch at their own pace.  There will be weekly online discussion sections/instructor office hours one hour in length at a time to be announced.  These will take place on Zoom at a time to be announced.",Social Science,Distribution Requirement:,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
ASI,Independent Research,CAS393Y1-Y,"Supervised independent research on a topic agreed on by the student and supervisor before enrolment in the course. Open to advanced students with a strong background in contemporary Asian studies. A maximum of one year of Independent Research courses is allowed per program. Contact hours with the supervisor may vary, but typically comprise of one hour per week. Not eligible for CR/NCR option.","At least 10 FCEs, permission from Program Director",Prerequisite:,Social Science,Distribution Requirement:,,LEC0101,,—,,,,,,of  available,9998,9999,No,In Person,,,,,,,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—
CRIM,Topics in Criminology and Sociolegal Studies,CRI394H1-S,"The objective of the course is to explore emerging issues in Criminology, and their social, legal, ethical and political implications. Topics vary from year to year.","1 FCE from CRI205H1, CRI210H1, CRI225H1",Prerequisite:,WDW394H1,Exclusion:,Room,LEC0101,Friday,—,13:00,16:00,BL 313,https://map.utoronto.ca/?id=1809#!m/494536,"Mitchell, M.",of  available,13,60,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,Independent Study,CRI395H1-F,Independent study under the direction of a faculty member. Open only when a faculty member is willing and available to supervise. Consult the program  for additional information. Not eligible for CR/NCR option.,"CRI205H1, CRI210H1, CRI225H1 and 2 CRI 300 half-credit lecture/seminar courses, approval of the Program Coordinator",Prerequisite:,"CRI395Y1, WDW395H1 Criminology",Exclusion:,Room,LEC0101,,—,,,,,,of  available,9998,9999,No,In Person,Timetable instructions,Note:,Please visit https://uoft.me/CRI395H1-IndependentStudy for information about requesting enrolment in this course,Social Science,Distribution Requirement:,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,Society and its Institutions (3),Breadth Requirement:,website,—
CRIM,Independent Study,CRI395H1-S,Independent study under the direction of a faculty member. Open only when a faculty member is willing and available to supervise. Consult the program  for additional information. Not eligible for CR/NCR option.,"CRI205H1, CRI210H1, CRI225H1 and 2 CRI 300 half-credit lecture/seminar courses, approval of the Program Coordinator",Prerequisite:,"CRI395Y1, WDW395H1 Criminology",Exclusion:,Room,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,Timetable instructions,Note:,Please visit https://uoft.me/CRI395H1-IndependentStudy for information about requesting enrolment in this course.,Social Science,Distribution Requirement:,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,Society and its Institutions (3),Breadth Requirement:,website,—
CRIM,Research Participation,CRI396H1-F,Credit course for supervised participation in a faculty research project. Offered only when a full-time faculty member from the Centre for Criminology & Sociolegal Studies is willing and available to supervise. Consult the program website for additional information. Not eligible for CR/NCR option.,9 FCEs. A CGPA of at least 3.0 is recommended. Approval of the Program Coordinator.,Prerequisite:,"CRI397Y1, WDW396H1 Criminology",Exclusion:,Room,LEC0101,,—,,,,,,of  available,9998,9999,No,In Person,Timetable instructions,Note:,Please visit https://uoft.me/CRI396H1-ResearchParticipation for information about requesting enrolment in this course.,Society and its Institutions (3),Breadth Requirement:,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—
CRIM,Research Participation,CRI396H1-S,Credit course for supervised participation in a faculty research project. Offered only when a full-time faculty member from the Centre for Criminology & Sociolegal Studies is willing and available to supervise. Consult the program website for additional information. Not eligible for CR/NCR option.,9 FCEs. A CGPA of at least 3.0 is recommended. Approval of the Program Coordinator.,Prerequisite:,"CRI397Y1, WDW396H1 Criminology",Exclusion:,Room,LEC0101,,—,,,,,,of  available,9999,9999,No,In Person,Timetable instructions,Note:,Please visit https://uoft.me/CRI396H1-ResearchParticipation for information about requesting enrolment in this course.,Society and its Institutions (3),Breadth Requirement:,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—
ASI,Interdisciplinary Research in Methods in Contemporary Asian Studies,CAS400H1-F,"This seminar addresses Asian worlds – In Asia, transnationally, and locally – to cultivate new approaches to global processes and problems. The course explores key Asian sites that open new configurations for studying interactions between economic/environmental development, political change, and migration and cultural politics. It provides an advanced and systematic overview of the research methodologies that students have been exposed to throughout the CAS program. These include historical-archival, ethnographic, visual/media, and statistical/quantitative methods that allow us to map Asian political, economic, and cultural formations, and through them, global challenges. The seminar builds interdisciplinary conversations attentive to both critical problematizing and problem-solving, to qualitative and applied projects. It is the required capstone to the Contemporary Asian Studies major.",1.0 FCE in 200 level CAS courses; 1.0 FCE in 300 level CAS courses,Prerequisite:,CAS400Y1,Exclusion:,Room,LEC0101,Friday,—,10:00,12:00,LA 340,https://map.utoronto.ca/?id=1809#!m/494544,"McQuade, J.",of  available,5,22,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,,Society and its Institutions (3),Breadth Requirement:,,
DTS,Advanced Topics in Diaspora and Transnationalism,DTS402H1-S,An in-depth investigation of topics in Diaspora and Transnationalism. Content in any given year depends on instructor. Refer to the Centre for Diaspora and Transnational Studies website () for more information.,DTS200Y1 or equivalent and a minimum of 14.0 credits,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Monday,—,14:00,16:00,SS 2101,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,0,10,No,In Person,Timetable instructions,Note:,"After the priority enrolment period ends on ACORN, please email the Department to enroll at cdts@utoronto.ca.2020/21 saw mass protests of unprecedented size against police brutality and racism, anti-worker policies or top-down COVID measures from the United States to India – including renditions by Jews. But what makes a protest Jewish? Is there something like specifically Jewish protest cultures? This course investigates an array of protests organized by Jews and for “Jewish causes” in modern times attending to the ways protests aren’t specifically Jewish and how they become agents of change. Rooted in the anti-lachrymose tradition of Jewish Studies, students will study protests with a view towards how Jewish traditions get mobilized across the Jewish diasporas and the ways in which they take a cue from and/or contribute to, purposefully cross-fertilize with or distant themselves from nonJewish protest movements transnationally. This class interweaves Jewish Studies with diaspora, subaltern, protest and performance studies.",Society and its Institutions (3),Breadth Requirement:,,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1407 MA DIASPORA & TRANSNAT STUDIES,ASMIN1407 MI DIASPORA & TRANSNAT STUDIES,,,http://cdts.utoronto.ca/index.php/undergraduate/courses/,—
DTS,Advanced Topics in Diaspora and Transnationalism,DTS404H1-S,An in-depth investigation of topics in Diaspora and Transnationalism. Content in any given year depends on instructor. Refer to the Centre for Diaspora and Transnational Studies website () for more information.,"DTS200Y1 or equivalent, or CJS200H1/CJS201H1 and a minimum of 14.0 credits",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,SK 100,https://map.utoronto.ca/?id=1809#!m/494564,,of  available,6,20,No,In Person,Timetable instructions,Note:,"After the priority enrolment period ends on ACORN, please email the Department to enrol at cdts@utoronto.ca.",Society and its Institutions (3),Breadth Requirement:,,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1407 MA DIASPORA & TRANSNAT STUDIES,ASMIN1407 MI DIASPORA & TRANSNAT STUDIES,,,http://cdts.utoronto.ca/index.php/undergraduate/courses/,—
DTS,Advanced Topics in Diaspora and Transnationalism,DTS405H1-F,An in-depth investigation of topics in Diaspora and Transnationalism. Content in any given year depends on instructor. Refer to the Centre for Diaspora and Transnational Studies website () for more information.,DTS200Y1 or equivalent and a minimum of 14.0 credits,Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,IN 209,https://map.utoronto.ca/?id=1809#!m/494541,"Seidman, N.",of  available,3,20,No,In Person,Timetable instructions,Note:,"After the priority enrolment period ends on ACORN, please email the Department to enroll at cdts@utoronto.ca.The discourse of and very term translation, like metaphor, borrow from the language of travel and migration, not surprisingly: moving between languages and crossing geographical borders are parallel and often simultaneous activities. This course will explore this intersection between the circulation of texts and languages and the movements of people, using translation to illuminate the experience of migration and migration to understand the trajectories of translation. Topics of the course include: the Bible in its worldwide dispersion; the metaphorics of movement in the translation theories of Schleiermacher, Steiner and Derrida; and the transnational/translational effects of imperialism, colonialism, and globalization. Moving from the global to the local, we will also explore the linguistic contours of the multilingual city. Finally, we will dive into the deeply individual linguistic terrain of the immigrant, studying the psychological and affective dimensions of movement from one language to another in both autobiographical and theoretical works.",Society and its Institutions (3),Breadth Requirement:,,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1407 MA DIASPORA & TRANSNAT STUDIES,ASMIN1407 MI DIASPORA & TRANSNAT STUDIES,,,http://cdts.utoronto.ca/index.php/undergraduate/courses/,
DTS,Diasporic Foodways,DTS410H1-S,"Food links people across space and time. As it spirals outward from parochial sites of origin to articulate with new sites, actors and scales, it assumes new substance and meaning in new locales. This movement of food gives rise to new ‘foodways’ t help us to understand the past in terms of temporally connected sites of intense interaction. Food also plays a strong role in shaping translocal identities. As peoples have moved in the world, food has played a central role in (re)defining who they are, reproducing myth and ritual, and bounding diasporic communities. This course seeks to address questions surrounding the dynamics of the food ‘we’ eat, the ways in which ‘we’ eat, the meaning ‘we’ give to eating, and the effect of eating in a transnational world. Recognizing that culinary culture is central to diasporic identifications, the focus is on the place of food in the enduring habits, rituals, and everyday practices that are collectively used to produce and sustain a shared sense of diasporic cultural identity.","14 FCE, including DTS200Y1",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC5101,Wednesday,—,17:00,19:00,JH 100A,https://map.utoronto.ca/?id=1809#!m/494560,"MacDonald, K.",of  available,0,20,No,In Person (See Delivery Instructions.),Timetable instructions,Note:,"After the priority enrolment period ends on ACORN, please email the Department to enrol at cdts@utoronto.ca.",Society and its Institutions (3),Breadth Requirement:,,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1407 MA DIASPORA & TRANSNAT STUDIES,ASMIN1407 MI DIASPORA & TRANSNAT STUDIES,,,Note:,
DTS,The Diasporic Imagination,DTS412H1-S,"This course focuses on echoes of diasporic and transnational life in artistic work, and on the significance of aesthetic production to the formation of diasporic and transnational worlds. How have practices, producers, and works of art illuminated the particularities of diasporic life? How do conventions of genre, performance, and tradition shape experiences of borders and crossings? Areas of emphasis will vary but may spotlight particular historical and geographic contexts, and may foreground one or more form, including film, poetry, fiction, music, and dance.","14 FCE, including DTS200Y1",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,SK 100,https://map.utoronto.ca/?id=1809#!m/494564,"Sammons, E.",of  available,0,20,No,In Person,Timetable instructions,Note:,"After the priority enrolment period ends on ACORN, please email the Department to enrol at cdts@utoronto.ca.",Creative and Cultural Representations (1),Breadth Requirement:,,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1407 MA DIASPORA & TRANSNAT STUDIES,ASMIN1407 MI DIASPORA & TRANSNAT STUDIES,,,,
DTS,Global Sexualities,DTS413H1-F,"Sexuality is a complex interplay of desires, attractions, interests, and modes of behavior and has diverse meanings in different societies and cultures. In this course, we will examine the notion of sexuality as well as gender identity and expression from an interdisciplinary perspective that is rooted in ethnography. A cross-cultural study of sexuality and gender identity within global and transnational contexts will provide students with an understanding of how the intersections of culture, community, as well as social and political factors affect individuals’ sexual choices and understandings of gender. A particular focus in this course will be experiences of sexuality and gender within diasporic communities.","14 FCE, including DTS200Y1 or SDS380H1",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,Room,LEC9901,Tuesday,—,10:00,12:00,,,"Atluri, T.",of  available,0,20,No,Online - Synchronous (See Delivery Instructions.),Timetable instructions,Note:,"After the priority enrolment period ends on ACORN, please email the Department to enrol at cdts@utoronto.ca.",Society and its Institutions (3),Breadth Requirement:,—,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",ASMAJ1407 MA DIASPORA & TRANSNAT STUDIES,ASMIN1407 MI DIASPORA & TRANSNAT STUDIES,,,Note:,
ASI,The Public Event in Asia,CAS414H1-S,"This upper-level seminar will introduce students to the interdisciplinary study of popular culture in Asia through a focus on public events. Readings about all kinds of performances, including ritual, popular protest, festivals, sports, cinema, television, digital media events, and the performing arts will help students learn methodological tools to interpret the politics and meanings of public culture as it articulates with class, ethnicity, religious community, gender and caste. The course will furthermore familiarize students with a range of theoretical lenses for conceptualizing the different meanings of the “event” and the “public” from a perspective grounded in the histories of South Asia, Southeast Asia, East Asia, and their diasporas.",At least 14.0 credits,Prerequisite:,"NEW414H1, SAS414H1",Exclusion:,Room,LEC0101,Monday,—,14:00,16:00,LA 213,https://map.utoronto.ca/?id=1809#!m/494544,"Emmrich, C.",of  available,0,10,Yes: 0 student,In Person,,Creative and Cultural Representations (1),Breadth Requirement:,1.0 credit in 200 level CAS courses; 1.0 credit in 300 level CAS courses,Recommended Preparation:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,Social Science,Distribution Requirement:,,
CRIM,The Prosecution Process,CRI425H1-S,"A critical examination of the process by which certain conduct is identified, prosecuted and punished as “crime”, and the process by which individuals become “criminals”. The evolution of the modern prosecution system, including the exercise of prosecutorial discretion, rules of evidence, socially constructed defences, disparity in sentencing, and wrongful convictions.","CRI205H1, CRI210H1, CRI225H1, 0.5 CRI 300 level  course",Prerequisite:,"WDW320H1, WDW425H1",Exclusion:,Room,LEC5101,Thursday,—,18:00,20:00,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,"Weaver, A.",of  available,0,80,Yes: 16 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,Organized Crime and Corruption,CRI427H1-S,An advanced seminar exploring the history and characteristics of organized crime and corruption.,2 CRI 300 half-credit lecture/seminar courses,Prerequisite:,WDW427H1,Exclusion:,Room,LEC0101,Tuesday,—,13:00,15:00,WW 126,https://map.utoronto.ca/?id=1809#!m/494547,"Light, M.",of  available,0,60,Yes: 20 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,Neighbourhoods and Crime,CRI428H1-S,"An advanced seminar exploring the connection between neighbourhoods and the perpetuation of poverty, social marginalization, segregation and crime. The course may include an optional Service Learning component. Check the timetable for details.",2 CRI 300 half-credit lecture/seminar courses,Prerequisite:,WDW428H1,Exclusion:,Room,LEC0101,Tuesday,—,16:00,19:00,WW 126,https://map.utoronto.ca/?id=1809#!m/494547,"Laniyonu, A.",of  available,0,60,Yes: 3 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,"Youth Culture, Racialization and Crime in the Global Context",CRI429H1-F,An advanced seminar exploring youth culture and its possible connection to criminality from an international perspective.,2 CRI 300 half-credit lecture/seminar courses (0.5 may be substituted by a 300+ level HIS/PHL/PSY/SOC course),Prerequisite:,WDW429H1,Exclusion:,Room,LEC0101,Tuesday,—,11:00,13:00,SS 2105,https://map.utoronto.ca/?id=1809#!m/494510,"Wortley, N.",of  available,0,30,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
ASI,Nationalism and Revolution in Asia,CAS430H1-F,"This course explores the far-reaching social, political, and cultural transformations in modern East, Southeast, and South Asia, focusing on the twentieth-century revolutionary histories and struggles to establish modern nation-states. The course adopts a topical approach within a chronological and comparative framework to highlight major historical movements and theoretical issues significant to the Asian experience.",At least 14 FCEs,Prerequisite:,"HIS382H1, ASI430H1",Exclusion:,Room,LEC0101,Monday,—,14:00,16:00,LA 213,https://map.utoronto.ca/?id=1809#!m/494544,"Wu, Y.",of  available,4,13,Yes: 0 student,In Person,,Society and its Institutions (3),Breadth Requirement:,1.0 FCE in 200 level CAS courses; 1.0 FCE in 300 level CAS courses,Recommended Preparation:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,"Humanities, Social Science",Distribution Requirement:,,
CRIM,"Mental Health, Morality & Legal Controls",CRI431H1-F,"A critical exploration of contemporary debates in criminology, and legal and moral philosophy concerning the diagnostic and criminal justice labeling of mental disorders such as psychopathy and paedophilia, and their representation in popular culture.",2 CRI 300 half-credit lecture/seminar courses,Prerequisite:,WDW431H1,Exclusion:,Room,LEC0101,Monday,—,10:00,12:00,MP 118,https://map.utoronto.ca/?id=1809#!m/494490,"Watson, W.",of  available,2,30,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
POL,Authoritarianism in Comparative Perspective,JPA453H1-F,"This course examines the politics of authoritarianism in theory and practice. It covers major theories in authoritarian politics, ranging from selectorate theory, authoritarian institutions, impact of institutions on political outcome, ways of measuring authoritarian state power, democracy and development, to social movement and state repression in authoritarian regime, and political transitions. On empirical application, we will draw on cases from around the world, with some emphasis on Asian authoritarian states.",2.0 POL credits/2.0 CAS credits,Prerequisite:,POL453H1,Exclusion:,Room,LEC0101,Monday,—,12:00,14:00,LA 211,https://map.utoronto.ca/?id=1809#!m/494544,"Ong, L.",of  available,0,15,Yes: 0 student,In Person (See Delivery Instructions.),Timetable instructions,Note:,Delivery Method:  IN PERSON,Social Science,Distribution Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES  - Year 4,ASMAJ2015 MA POLITICAL SCIENCE  - Year 4,Society and its Institutions (3),Breadth Requirement:,Note:,
CRIM,Interpersonal Violence,CRI480H1-S,"The meaning, purposes and sources of interpersonal violence, including an examination of debates over defining and documenting violence, and a review of the research on the relationships between illegitimate, interpersonal violence and state-approved or state-initiated violence. Cultural, social and individual correlates of interpersonal violence; the violence of the law; and how violence is justified and denied.",2 CRI 300 half-credit lecture/seminar courses,Prerequisite:,"WDW400H1 in 2004-2006, WDW480H1",Exclusion:,Room,LEC0101,Monday,—,13:00,15:00,BL 112,https://map.utoronto.ca/?id=1809#!m/494536,"McGeer, C.",of  available,0,30,Yes: 13 students,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
