resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 13,alignC,headerSect 91,weekDay href,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14
ANT,Ancient Cultures of the Andes,ANT320H1-F,,,,"This class offers intensive study of the archaeology and culture history of the Andean region prior to the Spanish conquest.  The complexity and distinctiveness of Andean social organization, political institutions, religious ideologies, and economic practices have long fascinated anthropologists.  Ultimately, the course will explore Andean cultures over a 10,000 year period, highlighting key debates, current research projects, and innovative theoretical approaches shaping contemporary archeological scholarship in South America and beyond.",ANT100Y1 or ANT200Y1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,12:00,14:00,UC 179,,"Swenson, E.",of  available,29,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Society and its Institutions (3),Breadth Requirement:,,
LIN,Writing Systems,JAL328H1-S,,,,"Introduction to writing systems; their historical development, their relationship to language, and their role in culture and society. (Given by the Departments of Anthropology and Linguistics) (Not offered every year)",ANT100Y1/LIN101H1/LIN200H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Monday,—,10:00,13:00,RW 117,,"Nara, K.",of  available,38,125,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",LINGUISTICS    Major (Faculty of Arts and Science),LINGUISTICS    Specialist (Faculty of Arts and Science),"LINGUISTICS    Major (John H. Daniels Faculty of Architecture, Landscape, & Design)","LINGUISTICS    Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Room,https://map.utoronto.ca/?id=1809#!m/494515,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ANT,Language & Power Structure,ANT329H1-S,,,,"The role of language and symbolism in the representation and manipulation of ideology and power structure. Case materials drawn from the study of verbal arts, gender, law, advertising, and politics with a focus on North America.",ANT204H1 or ANT207H1 or ANT253H1 or MCS223H1 or 0.5 credit at the 200+ level in SOC or POL or LIN or Women's Studies,Prerequisite:,ANT329Y1,Exclusion:,LEC0101,Thursday,—,12:00,14:00,BL 313,,"Yeung, S.",of  available,0,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494536,Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:
ANT,Human Skeletal Biology,ANT334H1-F,,,,"Exploration of the development and maintenance of the human skeleton and dentition, with emphasis on application to archaeological, forensic and biomedical sciences.",ANT203Y1,Prerequisite:,ANT334Y1,Exclusion:,LEC0101,Wednesday,—,10:00,12:00,—,AP 130,"Cameron, M.",of  available,22,60,Yes: 0 student,Online - Synchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494472,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:
ANT,Human Evolution,ANT335Y1-F,,,,"This course takes the student on a survey of human evolution from our ape ancestors to modern humans.  Students will learn to identify skulls, teeth and limb bones, explore hundreds of casts, and learn how researchers understand human origins and trends in the development of human anatomy and behavior.",ANT203Y1,Prerequisite:,"ANT429H1, ANT332H5, ANT333H5, ANT434H5, ANTC17H3",Exclusion:,LEC0101,Monday,—,10:00,12:00,BL 325,AP 412,"Begun, D.",of  available,4,30,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494536,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:
ANT,Evolutionary Anthropology Theory,ANT336H1-S,,Homo sapiens,,"This course will explore the foundational and leading concepts in evolutionary anthropology. Historically important readings and current concepts will be presented and discussed in the context of research, especially in areas of human population biology, ecology and the evolution of . Topics will include behavioral ecology and life history theory, as well as a critique of the adaptationist program.",ANT203Y1,Prerequisite:,Science,Distribution Requirement:,LEC0101,Thursday,—,14:00,16:00,ES B142,,"Ramsay, M.",of  available,29,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494499,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,Human Movement,ANT337H1-S,,,,"This course will investigate human movement and physical activity patterns through the lens of evolutionary anthropology. The evolution of hominin physical behaviours, such as bipedalism and tool use, will be explored alongside the morphological traits associated with these behaviours. We will also examine social and cultural factors that may moderate physical activities among diverse human groups, including subsistence strategy variation and contemporary views on activity and exercise.",ANT203Y1,Prerequisite:,Science,Distribution Requirement:,LEC0101,Wednesday,—,10:00,12:00,AP 130,AP 130,"Cameron, M.",of  available,24,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494472,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,China in Transition,ANT341H1-F,,,,"This course offers a general introduction to transformations in modern and contemporary China from an anthropological perspective. This course covers major aspects of Chinese culture, history, and society in a global context.",ANT207H1,Prerequisite:,ANT341Y1,Exclusion:,LEC0101,Thursday,—,10:00,12:00,SS 2106,,"Sung, W.",of  available,29,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
ANT,Social Anthropology of Gender,ANT343H1-S,,,,"Social anthropological perspectives on variations in gender roles and systems. Examines, through comparison of ethnography, the relationship of gender to social organization, economic and political processes, belief systems and social change.",ANT207H1,Prerequisite:,ANT343Y1,Exclusion:,LEC0101,Monday,—,16:00,18:00,BL 205,,"Cook, J.",of  available,0,60,Yes: 7 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494536,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
ANT,Global Health: Anthropological Perspectives,ANT345H1-F,,,,"This course examines medical anthropologys contributions to, and critiques of, global health policies and programs. Topics covered include: colonialism and health, the political ecology of disease, indigenous constructions of illness and healing, medical pluralism, the politics of primary health care, population policies, reproductive health, and AIDS.",ANT207H1 or permission of the instructor,Prerequisite:,ANT348H1,Recommended Preparation:,LEC0101,Monday,—,16:00,18:00,LA 211,,"Sikstrom, L.",of  available,2,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494544,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
ANT,Metropolis: Global Cities,ANT347H1-S,,,,"The role of culture, cultural diversity, space and performance in urban institutions and settings. The cultural context and consequence of urbanization.",ANT207H1,Prerequisite:,ANT347Y1,Exclusion:,LEC0101,Thursday,—,14:00,16:00,SS 2106,,"Sammons, E.",of  available,53,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
LIN,Language and Gender,JAL355H1-F,,,,"An introduction to some of the principal questions of feminist theory, as viewed from sociolinguistics. Topics include: socialization into gendered discourse patterns, cultural and ethnic differences in gendered interactions; the role of language and gender in legal, medical and labour settings; multilingualism, migration, imperialism and nationalism; sexuality, desire and queer linguistics, language, gender and globalization.",One FCE at the 200-level in LIN/ANT/JAL/SOC/WGS,Prerequisite:,ANT204H1/ANT253H1/SOC200H1/SOC214H1,Recommended Preparation:,LEC5101,Wednesday,—,18:00,20:00,SS 2105,,"Konnelly, L.",of  available,1,45,Yes: 0 student,In Person,,,,,,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
ANT,Anthropology of Religion,ANT356H1-S,,,,"This course introduces anthropological definitions of religion; debates on rituals and rites of passage; rationality, religion and modernity; belief and body; religion and the media. It also engages with studies in the anthropology of popular and transnational religion, and the politics of religious movements.",ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Monday,—,10:00,12:00,SS 1083,,"Napolitano, V.",of  available,14,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494510,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,
ANT,Field Archaeology,ARH361H1-F,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","Opportunity for students participating in non-degree credit archaeological digs to submit reports, field notes and term papers for degree credit. Not eligible for CR/NCR option.",Permission of Undergraduate Co-ordinator and Supervisor,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Field Archaeology,ARH361H1-S,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","Opportunity for students participating in non-degree credit archaeological digs to submit reports, field notes and term papers for degree credit. Not eligible for CR/NCR option.",Permission of Undergraduate Co-ordinator and Supervisor,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Field Archaeology,ARH361H1-Y,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","Opportunity for students participating in non-degree credit archaeological digs to submit reports, field notes and term papers for degree credit. Not eligible for CR/NCR option.",Permission of Undergraduate Co-ordinator and Supervisor,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,—,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,
ANT,Field Archaeology,ARH361Y1-F,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","Opportunity for students participating in non-degree credit archaeological digs to submit reports, field notes and term papers for degree credit. Not eligible for CR/NCR option.",Permission of Undergraduate Co-ordinator and Supervisor,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Field Archaeology,ARH361Y1-S,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","Opportunity for students participating in non-degree credit archaeological digs to submit reports, field notes and term papers for degree credit. Not eligible for CR/NCR option.",Permission of Undergraduate Co-ordinator and Supervisor,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,,,,
ANT,Field Archaeology,ARH361Y1-Y,Timetable instructions,Note:,"For further information about this course and the application form, please contact Josie Alaimo, the Undergraduate Administrator, at josie.alaimo@utoronto.ca","Opportunity for students participating in non-degree credit archaeological digs to submit reports, field notes and term papers for degree credit. Not eligible for CR/NCR option.",Permission of Undergraduate Co-ordinator and Supervisor,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,—,,,—,—,,of  available,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,
ANT,Sports and Play,ANT362H1-S,,,,"We tend to think of sports as unserious. This course shows that much serious cultural work is conducted through sports, but also that sports are indeed not always serious. This anthropology of sports engages with sports as both work and play, considering issues like gender, bodies, competition, and pleasure.",ANT204H1 or ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,16:00,18:00,UC 52,,"Dave, N.",of  available,2,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Creative and Cultural Representations (1),Breadth Requirement:,,
ANT,Anthropology of Activism and Social Justice,ANT366H1-S,,,,"Explores how anthropologists have traditionally studied social movements and how new social movements have challenged anthropologists to rethink some of their ethnographic methods and approaches. Some specific movements covered include those related to indigenous rights, environmentalism, refugees, gay and lesbian issues, biotechnology, new religions, and globalization.",ANT207H1,Prerequisite:,ANT366Y1,Exclusion:,LEC0101,Thursday,—,10:00,12:00,SS 2106,,"Song, J.",of  available,6,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
ANT,Introduction to Social Anthropological Theory,ANT370H1-S,,,,"An in-depth critical review of foundational ideas in the development of the practice of Anthropology. Topics may include questioning fieldwork, origins and legacies of functionalism, cultural materialism, politics of culture, power and political economy, globalization and post modernism, gender and post-structuralism.",ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,10:00,12:00,CR 403,,"Napolitano, V.",of  available,6,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2112 MA ANTHROPOLOGY(SCTY/CULT/LNG),ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,,,Room,https://map.utoronto.ca/?id=1809#!m/494580,Society and its Institutions (3),Breadth Requirement:,,
ANT,"Gift, Money, and Finance",ANT378H1-S,,,,"This course introduces dialogue between anthropological literature and other disciplinary studies in regards to the economy and culture of gift and money transaction as a key aspect of human society. Studying the history of gift and money economy from agricultural societies and diverse developments of finance market culture in recent era through various perspectives (e.g., ethnographic, sociological, politico-economic, and historical views); this course aims to train students developing a critical understanding of capitalism.",ANT204H1 or ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Thursday,—,16:00,18:00,RW 140,,"Song, J.",of  available,30,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,Room,https://map.utoronto.ca/?id=1809#!m/494515,Society and its Institutions (3),Breadth Requirement:,,
ANT,Craft of Social/Cultural Anthropology,ANT380H1-S,,,,"This course introduces students to the skills they need to conduct ethnographic research, in particular, participant observation, in-depth interview, as well as writing fieldnotes and research proposals. The emphasis is on interactive, workshop-style small group learning.",ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Monday,—,13:00,16:00,UC 67,,"Satsuka, S.",of  available,0,30,Yes: 4 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASSPE2112 SP ANTHROPOLOGY(SCTY/CULT/LNG),,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Society and its Institutions (3),Breadth Requirement:,,
ANT,"Special Topics in Society, Culture and Language",ANT384H1-F,,,,"This lecture-format course focuses on a relatively broad topic in socio-cultural and/or linguistic anthropology. Topics change from year to year. For the 2015-16 academic year, the title of this course is ""Nature, Culture, Human"".",ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Monday,—,10:00,12:00,RW 140,,"Napolitano, V.",of  available,30,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494515,Society and its Institutions (3),Breadth Requirement:,,
ANT,"Special Topics in Society, Culture and Language",ANT384H1-S,,,,"This lecture-format course focuses on a relatively broad topic in socio-cultural and/or linguistic anthropology. Topics change from year to year. For the 2015-16 academic year, the title of this course is ""Nature, Culture, Human"".",ANT207H1,Prerequisite:,Social Science,Distribution Requirement:,LEC0101,,,,,,,,,,,,,,,,,,,,Subtitle,—,Room,,Society and its Institutions (3),Breadth Requirement:,,
ANT,Special Topics in Anthropology,ANT390H1-F,,,,This lecture-format course focuses on a relatively broad topic anthropology. Topics change from year to year. See Anthropology website for more details.,"9.0 FCEs. Further prerequisites vary from year to year, consult the department.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Monday,—,12:00,14:00,OI 5150,,"Ozcan, O.",of  available,31,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494563,,,,
ANT,Special Topics in Anthropology,ANT390H1-S,,,,This lecture-format course focuses on a relatively broad topic anthropology. Topics change from year to year. See Anthropology website for more details.,"9.0 FCEs. Further prerequisites vary from year to year, consult the department.",Prerequisite:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,12:00,14:00,SS 1070,,"Chazan, M.",of  available,34,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494510,,,,
ANA,Anatomy Dissection,ANA400H1-S,Timetable instructions,Note:,"To enroll in this course, please check the application instructions found at http://surgery.utoronto.ca/division-anatomy-arts-science-undergraduate-courses. Contact the Course Director to submit applications at kristina.lisk@utoronto.ca.","A focussed series of Anatomical dissections will be made and the surgical implications of the findings will be the subject of seminars. Attitudes to dissection of the human body, complications of surgery and other relevant issues will be discussed.","ANA300Y1 and permission of department. Normally a ""B+"" standing will be required",Prerequisite:,Science,Distribution Requirement:,LEC0101,Tuesday,—,09:00,11:00,—,Contact DEPT,"Lisk, K.",of  available,0,15,No,Online - Synchronous (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,Room,,Living Things and Their Environment (4),Breadth Requirement:,,
CSUS,Topics in American Studies,AMS401H1-S,Timetable instructions,Note:,"The Environmental Protection Agency recently announced that climate change is threatening several of its 2,000 Superfund sites – America’s worst toxic waste dumps – and they’re now in danger of leaking.  As the nation grapples with the long emergency of climate change, this class will examine American landscapes, from post-industrial disasters to iconic vistas like the Grand Canyon.  We’ll consider Thomas Jefferson’s beloved farmers – “the chosen people of God” – and Amazon warehouse workers, as we think about how the republic has celebrated, misused and even benignly ignored its ecosystems.  From suburban lawns to California’s Central Valley – which produces of half of America’s fruits and vegetables – and Frederick Law Olmsted’s grand vision for the nation’s urban parks, we’ll examine the republic’s past environments and future landscapes.",In-depth examination of specific themes relating to American Studies.,"2.0 credits chosen from courses with the AMS/USA designator or from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,LEC0101,Thursday,—,13:00,15:00,UC 51,,"Rahr, A.",of  available,11,20,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494517,Creative and Cultural Representations (1),Breadth Requirement:,,
LIN,Field Linguistics,JAL401H1-S,,,,"Field Linguistics provides practice in language analysis based on elicited data from a native speaker of an indigenous or foreign language, emphasizing procedures and techniques. (Given by the Departments of Anthropology and Linguistics)",Completion of LIN322H1 and LIN331H1 or permission of the instructor,Prerequisite:,LIND46H3,Exclusion:,LEC5101,Tuesday,—,18:00,20:00,WW 119,WW 119,"Oliveira de Lima, S.",of  available,0,17,Yes: 8 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: ASSPE0506 SP LINGUISTICS,Group 2: ASMAJ0506 MA LINGUISTICS,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494547,Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:
CSUS,Topics in American Studies,AMS403H1-S,,,,In-depth examination of specific themes relating to American Studies.,"2.0 credits chosen from courses with the AMS/USA designator or from the four American Studies Program disciplinary/thematic clusters (Politics and Economics, Society, Culture, and History) as published in the American Studies section of the Calendar.",Prerequisite:,"Humanities, Social Science",Distribution Requirement:,LEC0101,Tuesday,—,14:00,16:00,OI 3312,,"Maile, U.",of  available,4,5,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,Subtitle,,Room,https://map.utoronto.ca/?id=1809#!m/494563,Society and its Institutions (3),Breadth Requirement:,,
