resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt href,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,extraTxt 14,extraTxt 15,legendControl 5,extraTxt 16,weekDay 3,enConList 3,enConList 4,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay href 2,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,extraTxt 17,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 2
GLAF,Service Learning,PCJ362H1-S,,,,,,"Students are given a service learning placement in the GTA in partnership with local, national, or international not-for-profits or governmental organizations. Students work in teams of 2-7 students, and help partner organizations solve important problems. Student teams mostly work independently of the organization, while receiving some mentoring, critique, and advice from the organizations. Students are expected to invest 5-7 hours per week in course projects, in addition to class time. In this non-competitive course, students are asked to engage in deep personal reflection, help teammates, advise other teams, and contribute their skills and talents to their community partners. The course will emphasize how groups work to achieve community goals, how grassroots politics works, the power of social capital, and how these topics link to questions of conflict resolution, brokering piece, and achieving justice.",PCJ260Y1,Prerequisite:,"PCJ361H1, PCJ363H1",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Friday,—,12:00,14:00,OI 5150,https://map.utoronto.ca/?id=1809#!m/494563,"Clark, D.",18,50,No,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:","ASMAJ1228 MA PEACE, CONFLICT & JUSTICE","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE",,,,,,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",,,,,,,,,,,,,,,,,,,,,
PCL,Introductory Toxicology,PCL362H1-F,Timetable instructions,Note:,Student inquiries should be directed to the department: . Please do not contact the listed instructors for course-related questions.,undergrad.pharmtox@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/undergrad.pharmtox@utoronto.ca,Toxicological problems encountered in animals and humans; biochemical mechanisms and clinical factors of toxicological significance; models of drug-related diseases.,"BIO130H1/BIOA01H3/BIO152H5, PCL201H1 or Permission of the Department",Prerequisite:,"Recommended Co-requisite: PCL302H1, BCH311H1/CSB349H1",Corequisite:,"BCH210H1, CHM247H1",Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,15:00,17:00,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,"Kalabis, G.",8,64,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2573 MA BIOMEDICAL TOXICOLOGY  - Year 3,ASMAJ2573 MA BIOMEDICAL TOXICOLOGY  - Year 4,Living Things and Their Environment (4),,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494476,,,,,,,Breadth Requirement:,Friday,—,13:00,14:00,"Laposa, R."
PCL,Drug Development Pipeline I: In vitro,PCL367H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Anita Hamadani, .",anita.hamadanizadeh@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/anita.hamadanizadeh@utoronto.ca,"This course will provide a learning experience that simulates the process, techniques, analysis and evaluation methods used for early-stage  drug development. Modules will build on the student’s fundamental knowledge and will simulate and illustrate the thought processes and techniques that are used during new drug development in academic research institutes, clinical research organizations and pharmaceutical and biotechnology companies worldwide. Modules include target screening, cytotoxicity assays, transcriptional activation testing and metabolizing enzyme identification experiments. This experience will allow students to leverage their learned knowledge to improve their employability in this area, while honing their critical thinking and analytical skills.","PSL300H1, PSL301H1",Prerequisite:,PCL302H1,Corequisite:,PCL201H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Thursday,—,09:00,13:00,,,"Hamadanizadeh, A.",0,30,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 3 PHARMACOLOGY    Specialist (Faculty of Arts and Science),Group 1: Year 4 PHARMACOLOGY    Specialist (Faculty of Arts and Science),Living Things and Their Environment (4),Note:,Delivery instructions,This is an in-person laboratory course.,Contact DEPT,Group 1: Year 3 TOXICOLOGY    Specialist (Faculty of Arts and Science),Group 1: Year 4 TOXICOLOGY    Specialist (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,,,of  available,0,30,Yes: 0 student,In Person (See Delivery Instructions.),Breadth Requirement:,Thursday,—,13:30,17:30,"Kerrebijn, I."
PCL,Drug Development Pipeline II: In vivo,PCL368H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Anita Hamadani, .",anita.hamadanizadeh@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/anita.hamadanizadeh@utoronto.ca,"This course will provide a learning experience that parallels and simulates the process, protocols, methods and evaluation tools used for later-stage  drug development. Modules will build on the student’s fundamental knowledge and simulate the thought processes and techniques used during drug development in research institutes, clinical research organizations and pharmaceutical and biotechnology companies worldwide. Modules will include pharmacokinetic and pharmacodynamic analyses and pharmacogenetic screening approaches in model systems and humans. This experience will allow students to leverage their learned skills and knowledge to improve their comprehension and employability in this area, while honing critical thinking and analytical skills.","PSL300H1, PSL301H1, PCL201H1, PCL302H1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Thursday,—,09:00,13:00,,,"Hamadanizadeh, A.",5,30,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 3 PHARMACOLOGY    Specialist (Faculty of Arts and Science),Group 1: Year 4 PHARMACOLOGY    Specialist (Faculty of Arts and Science),,Note:,Delivery instructions,This is an in-person laboratory course.,Contact DEPT,Group 1: Year 3 TOXICOLOGY    Specialist (Faculty of Arts and Science),Group 1: Year 4 TOXICOLOGY    Specialist (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,,,of  available,0,30,Yes: 1 student,In Person (See Delivery Instructions.),,Thursday,—,13:00,17:00,"Kerrebijn, I."
NUSCI,Vitamin and Mineral Metabolism Throughout the Life Cycle,NFS382H1-S,,,,,,"Micronutrients are essential for health throughout the life cycle. This course examines the role of micronutrients during development and ageing with some emphasis on disease prevention and pathogenesis. Students develop critical appraisal skills, an understanding of the principles of study design and learn to write in a scientific style.",NFS284H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Monday,—,09:00,10:00,HS 610,https://map.utoronto.ca/?id=1809#!m/494459,,61,140,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494459,—,,,,,,,Wednesday,—,09:00,11:00,
NUSCI,Food Chemistry,NFS386H1-F,,,,,,"Structure, composition and chemical and biochemical reactions in foods during postharvest/postmortem, processing, storage and utilisation. Implications for organoleptic properties, nutritional value, toxicity and human health.",CHM138H1/CHM139H1/CHM135H1/CHM136H1,Prerequisite:,NFS284H1,Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,09:00,12:00,MP 202,https://map.utoronto.ca/?id=1809#!m/494490,"Taibi, A.",108,196,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCL,Pharmacology of Cancer Signaling,PCL386H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Leonardo Salmena, . Please do not contact the listed instructors for course-related questions.",leonardo.salmena@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/leonardo.salmena@utoronto.ca,This course will expand on both classical and cutting edge pharmacological strategies proposed to mitigate the consequences of altered signal transduction in cancer. Students will have the opportunity to develop knowledge on these molecular events and how they can be targeted to improve clinical outcomes. Students will integrate lecture material with assigned readings and assignments.,"BCH210H1/BCH242Y1, and completion of at least 10.0 credits, or Permission of the Department",Prerequisite:,PCL486H1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,12:00,14:00,MC 254,https://map.utoronto.ca/?id=1809#!m/494474,"Salmena, L.",32,120,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),,,,,,ASSPE1211 SP PHARMACEUTICAL CHEMISTRY  - Year 3,ASSPE1211 SP PHARMACEUTICAL CHEMISTRY  - Year 4,,,,,,,,,,,,,,,,,,,,
PCL,Understanding the Role of Pharmacology and Toxicology in Society,PCL389H1-F,Timetable instructions,Note:,Student inquiries should be directed to: .,undergrad.pharmtox@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/undergrad.pharmtox@utoronto.ca,"This service learning course explores issues surrounding the effects that pharmaceuticals and chemicals have in society. Specifically, it integrates pharmacology and toxicology with social, health and political issues as they relate to drug abuse and addiction. Students are required to interact and work with community partners during the semester (approx 20hrs). Classroom discussions will integrate community experiences with lecture material.",PCL201H1,Prerequisite:,"PCL302H1; (PSL300H1, PSL301H1)",Corequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:30,MY 440,https://map.utoronto.ca/?id=1809#!m/494495,"Arnot, M.",2,30,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),,,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,,,,,,,,,,,,,"Bianchi, A."
NUSCI,Research Course in Nutritional Science,NFS394Y1-Y,,,,,,Research experience under the supervision of a Departmental staff member. The course entails designing and carrying out a small research project and the preparation and presentation of both a research proposal and a final report. Note that the research project NFS394Y1 requires the prior consent of a staff member who will supervise the project and departmental approval before enrolment. The student is responsible for locating a supervisor. Not eligible for CR/NCR option.,"NFS284H1, Permission of Department and Project Supervisor",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,,LEC0101,—,—,,,—,,"L'Abbe, M.",9995,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCL,Biomedical Incubator Capstone Project,JPM400Y1-Y,Timetable instructions,Note:,Students enroll in this course through the Department. Please contact Dr. Rebecca Laposa at:,rebecca.laposa@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/rebecca.laposa@utoronto.ca,"Discover what it is like to be part of a biomedical innovation team. Develop and engage in biomedical research in a simulated small business/incubator setting under the guidance of a faculty mentor. Bring your proposed JPM300H1 project to life, while acquiring budget management, research, business and communication workplace skills for future careers. Enrolment is application-based. Proposals will be reviewed by committee and successful proposals will be matched to a mentor. Not eligible for CR/NCR option.",A minimum of 75% in JPM300H1; completion of any of PCL367H1/PCL368H1/PSL372H1/BCH370H1/BCH377H1. Application required; see department for more information.,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,"1. Faculty led concept requiring further development and testing, which would not normally be funded grants and would be tangential to ongoing research in the lab.",2. Student developed innovative idea that requires further development and testing. This should be a project that is not being investigated in a UofT research lab.,,LEC0101,—,—,,,—,,"Lam, V.",13,30,Yes: 0 student,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,Note:,Delivery instructions,Learning for this course is self-paced and not reliant on a meeting schedule. There are no formal lecture meetings as part of this course. Tutorials will be delivered per the meeting schedule/syllabus.,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,,—,of  available,13,30,No,In Person (See Delivery Instructions.),,SF 3201,,,,"Laposa, R."
NUSCI,Functional Foods and Nutraceuticals in Human Nutrition,NFS400H1-S,,,,,,"This course will demonstrate the rationale, including health benefits, development and marketing of functional foods and nutraceuticals.","BCH210H1, NFS284H1, (PSL300H1, PSL301H1)/PSL302Y1",Prerequisite:,"CSB349H1/PSL350H1/BCH311H1, NFS386H1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,14:00,17:00,MC 252,https://map.utoronto.ca/?id=1809#!m/494474,,24,80,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES,,,,,,,,,,,,,,,,,—,,,,,,,,,,,
GLAF,The Role of Government,PPG401H1-S,,,,,,"This course explores the government’s role in promoting efficiency and equity in both the financing and delivery of public policy goals. It explores the conditions when government involvement is important, the policy levers available to government in promoting social policy, market failures, and conditions for efficiency. It examines the role of government in many of the major areas of social policy such as health care, education, redistribution, the environment, financial regulations and other important issues.",PPG301H1,Corequisite:,ECO200Y1/ECO204Y1/ECO206Y1/PPG200H1,Recommended Preparation:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,09:30,12:00,CG 160,https://map.utoronto.ca/?id=1809#!m/494505,"Cappe, M.",0,20,Yes: 6 students,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCL,Pharmacology and Toxicology in Drug Development,PCL402H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Rebecca Laposa, . Please do not contact the listed instructors for course-related questions.",rebecca.laposa@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/rebecca.laposa@utoronto.ca,"This course provides the basic principles of drug development, with a primary focus on the application of fundamental principles of pharmacology and toxicology to the design and conduct of early phase clinical trials. This is the phase of the drug development process where much of the innovation and science occurs.","PCL201H1, PCL302H1",Prerequisite:,PCL470H1 or PCL482H1,Corequisite:,"PSL300H1, PSL301H1",Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,15:00,17:00,MY 360,https://map.utoronto.ca/?id=1809#!m/494495,"Al-awar, R.",15,80,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASSPE2082 SP PHARMACOLOGY  - Year 4,ASSPE2340 SP PHARM & BIOMED TOXICOLOGY  - Year 4,Living Things and Their Environment (4),,,,,ASSPE2573 SP BIOMEDICAL TOXICOLOGY  - Year 4,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,https://map.utoronto.ca/?id=1809#!m/494495,—,of  available,14,40,No,In Person,Breadth Requirement:,,,,,"Higgins, G."
GLAF,"Advanced Topics in Peace, Conflict and Justice",PCJ460H1-S,,"Trudeau Centre for Peace, Conflict and Justice website",,,https://munkschool.utoronto.ca/trudeaucentre/program/,"This course explores selected issues in the field of peace, conflict and justice. Topics may vary from year to year. Through a suite of recent readings, students will strive to critically examine implications and challenges of, and solutions to the issues being studied. This course is restricted to students enrolled in the Peace, Conflict and Justice Major or Specialist programs. Please visit the  for current offering information.","PCJ360H1 and PCJ362H1, or permission of the Program Director",Prerequisite:,"PCS460H1, PCS460Y1, UNI460H1",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,12:00,14:00,OI 2214,https://map.utoronto.ca/?id=1809#!m/494563,"Jung, C.",17,50,No,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:","ASMAJ1228 MA PEACE, CONFLICT & JUSTICE","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE",,,,,,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,https://map.utoronto.ca/?id=1809#!m/494576,—,of  available,20,50,No,In Person,,,,,,
GLAF,"Research Methods in Peace, Conflict and Justice",PCJ461H1-S,,,,,,"This course guides each student through their own individual research project, embedded in an interactive group learning process, in order to offer an applied introduction to research methods for peace, conflict and justice studies. Students work through the full research process, including: identifying a research question, learning how to conduct effective literature reviews, developing a rigorous research design, and applying quantitative and qualitative methods to answering questions. Rather than conducting research independently or studying research methods in isolation, the course combines the two: students learn collectively about the different steps in the research process while simultaneously applying those steps to their own research project. This is then complemented by presenting that research and discussing different research projects in class, so as to receive continuous feedback and be exposed to a variety of research methods and approaches.","Enrolment restricted to students enrolled in the Peace, Conflict and Justice Specialist program",Prerequisite:,PCJ460H1,Corequisite:,"PCS460Y1, PCS461H1",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,09:00,11:00,SK 114,https://map.utoronto.ca/?id=1809#!m/494564,"Salardi, P.",23,25,No,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE","ASSPE1228 SP PEACE, CONFLICT & JUSTICE",Society and its Institutions (3),,,,,,,,,,,,,,,,,,,,,Breadth Requirement:,,,,,
PCL,Systems Pharmacology I,PCL469H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Michelle Arnot, . Please do not contact the listed instructors for course-related questions.",michelle.arnot@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/michelle.arnot@utoronto.ca,"A culmination of pharmacological principles discussing concepts of drug properties and their interactions within the body. The mechanism of action, pharmacological properties including clinical use and adverse effects of drugs acting on the autonomic nervous systems, cardiovascular, renal, respiratory, gastrointestinal and endocrine systems will be examined. Critical evaluation of primary literature and examination of clinical problem-based case studies will be integrated with lecture material through small group sessions.","PCL201H1, PCL302H1, (PSL300H1, PSL301H1)",Prerequisite:,PCL470Y1,Exclusion:,BCH210H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,14:00,16:00,WB 116,https://map.utoronto.ca/?id=1809#!m/494460,"Arnot, M.",40,140,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3   Department of Pharmacology   (Faculty of Arts and Science),Year 4   Department of Pharmacology   (Faculty of Arts and Science),Living Things and Their Environment (4),,,,,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 3,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494460,,,,,,,Breadth Requirement:,Wednesday,—,10:00,12:00,"Edgar, L."
PCL,Systems Pharmacology II,PCL470H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Martin Beaulieu, . Please do not contact the listed instructors for course-related questions.",martin.beaulieu@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/martin.beaulieu@utoronto.ca,"A culmination of pharmacological principles discussing concepts of drug properties and their interactions within the body. The mechanism of action, pharmacological properties including clinical use and adverse effects of drugs acting on the central nervous systems and immunological system; antimicrobial and cancer chemotherapeutic agents as well as the potential therapeutic use of endogenous/herbal compounds will be examined. Critical evaluation of primary literature and examination of clinical problem-based case studies will be integrated with lecture material through small group sessions.","PCL201H1, PCL302H1, (PSL300H1, PSL301H1); a minimum of 14 FCE or Permission of the Department.",Prerequisite:,PCL470Y1,Exclusion:,BCH210H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,14:00,16:00,MS 2172,https://map.utoronto.ca/?id=1809#!m/494491,"Beaulieu, M.",12,120,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 4   Department of Pharmacology   (Faculty of Arts and Science),ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,Living Things and Their Environment (4),,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,,,,,,,Breadth Requirement:,Wednesday,—,11:00,13:00,"Edgar, L."
PCL,Project in Pharmacology,PCL472Y1-Y,Timetable instructions,Note:,Students enroll in this course through the Department. Please contact Dr. Laposa at,pharmtox.research.project@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/pharmtox.research.project@utoronto.ca,This course affords students an opportunity for hands-on research experience in a laboratory or applied pharmacology setting. Students will work under the supervision of a faculty member and will submit a final written report and oral presentation. Enrollment is limited and requires permission from the Department of Pharmacology and Toxicology. It is the student’s responsibility to secure a placement with an approved supervisor before the course begins (a list of potential supervisors can be obtained from the Department of Pharmacology and Toxicology). Students will be registered in the course once their ballot form (obtained from the Department of Pharmacology and Toxicology) is signed by an approved supervisor and approved by the Department of Pharmacology and Toxicology. Students are expected to spend approximately 200 hours towards this project but this will be project/supervisor dependent. Not eligible for CR/NCR option.,"PCL201H1, PCL302H1, PCL366H1/PCL367H1/PCL368H1, STA288H1/PCL376H1/STA220H1/PSY201H1, and permission of Department",Prerequisite:,PCL474Y1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,LEC0101,—,—,,,—,,"Laposa, R.",10,40,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,ASSPE2082 SP PHARMACOLOGY  - Year 4,,Note:,Delivery instructions,Learning for this course is self-paced and not reliant on a meeting schedule. There are no formal lecture meetings as part of this course. Tutorials will be delivered per the meeting schedule/syllabus.,,ASSPE2340 SP PHARM & BIOMED TOXICOLOGY  - Year 4,ASSPE2573 SP BIOMEDICAL TOXICOLOGY  - Year 4,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,,—,of  available,10,40,No,In Person (See Delivery Instructions.),,MY 330,,,,
PCL,Project in Toxicology,PCL474Y1-Y,Timetable instructions,Note:,Students enroll in this course through the Department. Please contact Dr. Laposa at,pharmtox.research.project@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/pharmtox.research.project@utoronto.ca,This course affords students an opportunity for hands-on research experience in a laboratory or applied toxicology setting. Students will work under the supervision of a staff member and will submit a final written report and oral presentation. Enrollment is limited and requires permission from the Department of Pharmacology and Toxicology. It is the student’s responsibility to secure a placement with an approved supervisor before the course begins (a list of potential supervisors can be obtained from the Department of Pharmacology and Toxicology). Students will be registered in the course once their ballot form (obtained from the Department of Pharmacology) is signed by an approved supervisor and approved by the Department of Pharmacology and Toxicology. Students are expected to spend approximately 200 hours towards this project but this will be project/supervisor dependent. Not eligible for CR/NCR option.,"PCL201H1, PCL302H1, PCL366H1/PCL367H1/PCL368H1, STA288H1/PCL376H1/STA220H1/PSY201H1, and permission of Department",Prerequisite:,PCL472Y1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,LEC0101,—,—,,,—,,"Laposa, R.",26,30,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASSPE0605 SP ENVIRONMENT & TOXICOLOGY  - Year 4,ASSPE2082 SP PHARMACOLOGY  - Year 4,,Note:,Delivery instructions,Learning for this course is self-paced and not reliant on a meeting schedule. There are no formal lecture meetings as part of this course. Tutorials will be delivered per the meeting schedule/syllabus.,,ASSPE2340 SP PHARM & BIOMED TOXICOLOGY  - Year 4,ASSPE2573 SP BIOMEDICAL TOXICOLOGY  - Year 4,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,,—,of  available,26,30,No,In Person (See Delivery Instructions.),,MY 330,,,,
