resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,extraTxt 15,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,weekDay href,weekDay 4,weekDay href 2,weekDay 5,weekDay href 3,weekDay 6,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,weekDay 7,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 8,dayInfo 10,dayInfo 11,dayInfo 12,weekDay 9,weekDay 10,weekDay 11,headerSect 13,headerSect 14,headerSect 15,headerSect 16,headerSect 17,headerSect 18,colCode 3,weekDay 13,dayInfo 13,dayInfo 14,dayInfo 15,dayInfo 16,dayInfo 17,dayInfo 18,weekDay href 9,weekDay href 10,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,headerSect 19,headerSect 20,headerSect 21,headerSect 22,headerSect 23,headerSect 24,colCode 4,weekDay 22,colAvail 4,numCurr 4,numTot 4,numWait 4,onlineMeeting 4,headerSect 25,headerSect 26,headerSect 27,headerSect 28,headerSect 29,headerSect 30,colCode 5,colAvail 5,numCurr 5,numTot 5,numWait 5,onlineMeeting 5,headerSect 31,headerSect 32,headerSect 33,headerSect 34,headerSect 35,colCode 6,colAvail 6,numCurr 6,numTot 6,numWait 6,onlineMeeting 6,headerSect 37,headerSect 38,headerSect 39,headerSect 40,headerSect 49,alignC,alignC 2,alignC 3,alignC 5,extraTxt 16
HIS,Immigration to Canada,HIS312H1-F,,,,"From the colonial settlement to 21st century, immigration has been a key experience and much debated in Canadian life. Drawing on primary sources, as well as historical and contemporary scholarship, this course will discuss migration, citizenship and belonging as central features in Canada’s experience of immigration. This course focuses on the individuals, groups, and collectives who built, defined, contested, and reimagined this country, to help make and remake Canada through immigration.",HIS263Y1/HIS264H1,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Thursday,—,10:00,12:00,,,,,,,,,"Mar, L.",of  available,0,42,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494460,,,,,,,,,,,,,,WB 219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,Animal History,HIS313H1-F,,,,"What happens to history when we take the category of the animal as the subject? This course pursues the history of people and other animals since the early modern period, with a thematic focus located in the Atlantic world.",HIS218H1,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Friday,—,10:00,12:00,,,,,,,,,"Hawkins, S.",of  available,5,100,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494503,,,,,,,,,,,,,,WI 1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,"Language, Empire, and Encounter in Francophone Canada",HIS314H1-S,,,,"This course will explore the history of Francophone Canada from the late 19th century until today. In addition to looking at more traditional themes focused on nationalism and constitutional politics, we will also look at the history of encounter between groups of different backgrounds and origins. As such, we will place a large emphasis on colonialism and Indigenous history, and the politics of language, race, and immigration. Themes will include, among others, the history of francophone Canada in an era of British imperialism, jazz, the art world, literature, the Oka Crisis, and Quebec’s ties to Haiti and other parts of the non-Western world. For 2021, we will explore these histories through a focus on the city of Montreal.",HIS314Y1,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Wednesday,—,13:00,15:00,,,,,,,,,"Mills, S.",of  available,2,45,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494495,,,,,,,,,,,,,,MY 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,Vietnamese Histories,HIS315H1-S,,,,"This course introduces students to the narratives that diverse actors have used to talk about Vietnamese histories. We will focus on the histories and perspectives of the indigenous peoples of the peninsula, ethnic minority groups, as well as that of the majority ""Kinh people."" We'll explore themes which have been central to shaping the geographic space, the socio-political regimes, and the cultural entity we now call ""Viet Nam,"" while examining how varying types of historical method and archival strategies can influence the telling of histories. This course may fulfil the methodology requirement portion of the major.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Monday,—,10:00,12:00,,,,,,,,,"Tran, N.",of  available,41,100,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
IHPST,History of Medicine I,HPS318H1-S,Delivery instructions,Note:,Recordings of online-synchronous lectures will be available for students to view asynchronously. Tutorials will be available only as either online synchronous or in person at their scheduled times. Students will not be expected to watch asynchronous lecture videos prior to class meetings. It is recommended for students to have a computer with a microphone and camera in order to participate in online activities.,"This course explores how medicine was practiced, taught and theorized from ancient Greece to the early modern period. It focuses on the historical development of western medicine in relation to societies, politics and culture, and considers topics such as the creation of medical traditions, the tranmission and communication of medical knowledge, the pluralistic world of healers, the role of religion, magic and natural philosophy, the cultural meaning of disease, and the emergence of institutions such as the hospital.",First-year students must have instructors approval,HPS314Y1,Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,12:00,14:00,Tuesday,—,https://map.utoronto.ca/?id=1809#!m/494463,EM 119,https://map.utoronto.ca/?id=1809#!m/494463,,https://map.utoronto.ca/?id=1809#!m/494463,EM 119,"Dacome, L.",of  available,54,110,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),Tuesday,—,15:00,16:00,Tuesday,—,16:00,17:00,Thursday,,EM 119,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,10:00,11:00,,,,,,of  available,12,38,No,In Person (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,,of  available,30,39,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,18,39,No,In Person (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,,,,,,,,,,,,,Room,—,—,—,,Breadth Requirement:
IHPST,History of Medicine II,HPS319H1-F,Delivery instructions,Note:,Recordings of online-synchronous lectures will be available for students to view asynchronously. Tutorials will be available only as either online synchronous or in person at their scheduled times. Students will not be expected to watch asynchronous lecture videos prior to class meetings. It is recommended for students to have a computer with a microphone and camera in order to participate in online activities.,"This course examines the development of medicine from the seventeenth to the twentieth century. It focuses on the historical development of western medicine in relation to societies, politics and culture and considers topics such as changing views of the body, the development of medical institutions such as hospitals, asylums and laboratories, the diversifies world of healing and the place of visual and material culture in the production and dissemination of medical knowledge.",First-year students must have instructors approval,HPS314Y1; HPS315H1,Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,12:00,14:00,Tuesday,—,https://map.utoronto.ca/?id=1809#!m/494463,EM 119,https://map.utoronto.ca/?id=1809#!m/494463,,https://map.utoronto.ca/?id=1809#!m/494463,EM 302,"Dacome, L.",of  available,54,109,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),Tuesday,—,16:00,17:00,Thursday,—,13:00,14:00,Thursday,,EM 302,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,14:00,15:00,,,,,,of  available,18,38,No,In Person (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,,of  available,12,38,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,29,39,No,In Person (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,,,,,,,,,,,,,Room,—,—,—,,Breadth Requirement:
IHPST,Understanding Engineering Practice: From Design to Entrepreneurship,HPS321H1-F,Delivery instructions,Note:,"Lectures delivered synchronously online, without recordings.  Tutorials delivered in person, also without recordings.","This course seeks to understand the nature of engineering practice, which comprises complex social, intellectual, and technical actions at various stages from design to entrepreneurship. Building upon the history and social studies of technology, philosophy of engineering, business history, and management science, we introduce ways to analyze such complex actions.","Three half-courses (1.5 FCE) with any combination of engineering, natural sciences, medical sciences, or commerce.",Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,10:00,12:00,,—,https://map.utoronto.ca/?id=1809#!m/494463,EM 108,https://map.utoronto.ca/?id=1809#!m/494463,,https://map.utoronto.ca/?id=1809#!m/494463,EM 108,"Yeang, C.",of  available,86,100,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,Monday,—,13:00,14:00,Monday,—,14:00,15:00,Tuesday,,EM 119,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,14:00,15:00,,,,,,of  available,27,33,No,In Person (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,,of  available,29,33,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,31,34,No,In Person (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,,,,,,,,,,,,,Room,—,—,—,,
IHPST,"Complexity, Order, and Emergence",HPS322H1-F,,,,"A survey of the history of and recent developments in the scientific study of complex systems and emergent order. There will be particular emphasis on the biological and cognitive sciences. Topics covered may include: mechanism and teleology in the history of science, 19th and 20th century emergentism, complex systems dynamics, order and adaptiveness, self-organisation in biology and congitive development.",Humanities,"Thought, Belief and Behaviour (2)",Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Thursday,—,12:00,14:00,,,,,,,,,"Winning, J.",of  available,45,70,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,,,,,VC 212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
IHPST,Natural Science and Social Issues,HPS324H1-S,Delivery instructions,Note:,"In person, no recorded lectures, but lectures slides will be available after each class.","Historical examination of the interactions of science (both as body of knowledge and as enterprise) with ideological, political and social issues. The impact of science; attacks on and critiques of scientific expertise as background to contemporary conflicts. Subjects may vary according to students interests. (offered irregularly)",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,10:00,12:00,,,,,,,,,"Fehige, Y.",of  available,2,60,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494463,,,,,,,,,,,,,,EM 119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
GER,Writing Memory: Post 1945,GER326H1-S,Timetable instructions,Note:,This course is taught in German.,An examination of post-World War II German literature and culture from Zero Hour through to present-day debates about the Holocaust and its memorialization within a German context.,GER205H1,Humanities,Prerequisite:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Wednesday,—,12:00,14:00,,,,,,,,,,of  available,24,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,,,,,TF 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,
HIS,Rome: The City in History,HIS327H1-F,,,,"This course investigates the development of Rome from its mythical foundations, through the Empire, the Middle Ages, Renaissance and Baroque to the modern city, illustrating the shift from the pagan to the papal city and its emergence as the capital of a united Italy after 1870 and a modern European metropolis.",At least 1.0 credit European History course(s),"VIC348Y1 (offered in Fall/Winter 2012-2013, 2013-2014, 2014-2015 and 2015-2016) and VIC162H1 (offered in Fall 2016, Fall 2017 and Fall 2018)",Prerequisite:,Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Monday,—,14:00,16:00,,,,,,,,,"Bartlett, K.",of  available,28,140,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494463,,,,,,,,,,,,,,EM 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,Modern China,HIS328H1-S,,,,"An examination of political, social and economic developments in modern Chinese history to the present day. Main topics may include the decline of the Imperial order and the challenge of Western imperialism; the Republican period; the rise of the Communist movement; the Peoples Republic of China.",HIS280Y1/EAS102Y1,"JMC201Y1, HIS328Y1",Prerequisite:,HIS380H1,Exclusion:,Humanities,Recommended Preparation:,LEC0101,Thursday,—,10:00,12:00,,,,,,,,,,of  available,0,45,Yes: 20 students,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 1085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,Distribution Requirement:
HIS,Central Middle Ages (900-1200),HIS329H1-F,,,,"A chronological survey from 900, with the foundation of Cluny by the Duke of Aquitaine, the last waves of Vikings, and the decline and end of the Carolingian Empire, up to 1200, with the Battle of Bouvines, the more formal organization of the first universities and the construction of the Gothic cathedrals. The main question will be: what happens when there is no real central power? Why did the term “Feudalism,” now nicknamed the F word by medievalists, was judged inappropriate to describe the situation?",9.0 FCE including 1.0 FCE in HIS courses,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Thursday,—,14:00,16:00,,,,,,,,,"Cochelin, I.",of  available,6,45,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,Crime in English Society,HIS332H1-S,,,,"The changing nature of crime and criminal justice in early-modern England; the emergence of modern forms of policing, trial and punishment.","9.0 credits, including 1.0 HIS credit",Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,16:00,17:00,Thursday,,,,,SS 2127,,,"Mori, J.",of  available,0,45,Yes: 21 students,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,SS 2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
GER,Transnational Literatures,GER334H1-F,Timetable instructions,Note:,This course is taught in German.,"This course investigates contemporary German culture by paying attention to its other or alternate voices and perspectives, i.e. those not usually prevalent in mainstream cultural and sociopolitical discourses.",GER205H1,GER423H1,Prerequisite:,Humanities,Exclusion:,Creative and Cultural Representations (1),Distribution Requirement:,LEC0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,—,Breadth Requirement:
GER,Focus On Berlin,GER336H1-F,Timetable instructions,Note:,This course is taught in German.,"This course offers an exploration of the cultural developments of one of the most exciting capitals of the world, from the Bismarckian era to German reunification and beyond.",GER205H1,Humanities,Prerequisite:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Thursday,—,10:00,12:00,,,,,,,,,"Boran, E.",of  available,27,40,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,,,,,TF 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,"The Holocaust, to 1942",HIS338H1-F,,,,"German state policy towards the Jews in the context of racist ideology, bureaucratic structures, and varying conditions in German-occupied Europe. Second Term considers responses of Jews, European populations and governments, the Allies, churches, and political movements.",Completion of 6.0 credits,HIS388Y1/HIS398Y1/HIS338H5,Prerequisite:,A course in modern European history,Exclusion:,Humanities,Recommended Preparation:,LEC0101,Friday,—,10:00,12:00,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 2101,https://map.utoronto.ca/?id=1809#!m/494510,,https://map.utoronto.ca/?id=1809#!m/494510,SS 1080,"Mitter, A.",of  available,0,95,Yes: 0 student,In Person,,,,,Monday,—,10:00,11:00,Friday,—,12:00,13:00,Friday,Friday,SS 2101,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,SS 2111,—,12:00,13:00,—,13:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,,of  available,1,19,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,SS 1087,of  available,0,19,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0202,of  available,0,19,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0301,of  available,0,19,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,,Distribution Requirement:
GER,German Theater Production,GER340H1-S,Timetable instructions,Note:,This course is taught in German.,"The course offers close reading, rehearsing and staging of a play. Students will become familiar with the different steps of a theater production, be introduced to basic acting and staging techniques and get acquainted to leading theories of theater.",GER200Y1,Humanities,Prerequisite:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,10:00,12:00,Thursday,,,,,TF 101,,,"Boran, E.",of  available,10,20,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494581,https://map.utoronto.ca/?id=1809#!m/494581,,,,,,,,,,,,,TF 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,The Global Cold War,HIS344H1-S,,,,"An examination of the conduct and consequences of international politics in an atomic/nuclear age when the stakes of the Great Game were not just the fates of states and nations, but the survival of humanity itself. The diplomatic, strategic and economic aspects of international relations will all receive appropriate elucidation.",HIS344Y1,"EUR200Y1/HIS103Y1/HIS241H1, HIS242H1",Exclusion:,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,15:00,17:00,,,,,,,,,"Ewing, C.",of  available,0,150,Yes: 15 students,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494490,,,,,,,,,,,,,,MP 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
IHPST,Quantifying the World: the Debates on the Ethical and Epistemic Implications of AI and Automation,HPS345H1-F,,,,"The effects of automation, computing, and information technology have had a great impact on our society. The rise of automation and computing the almost cult-like trust in mechanization have transformed our society both at the material and the epistemological level. This course will examine the epistemological and ethical debates that AI and automation have produced in all sectors of society. It will consider a variety of media and instruments from data visualization and mapping, to the use of AI and robotics, contextualizing them within popular and hotly contested examples in the military field and in cybersecurity, in medical diagnostics and epidemiology, in the automotive industry, and in the personal realm.",Completion of 4.0 credits,Humanities,Prerequisite:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Monday,—,14:00,16:00,Monday,,,,,MS 4171,,,"Buiani, R.",of  available,0,52,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,https://map.utoronto.ca/?id=1809#!m/494491,,,,,,,,,,,,,MS 4171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,"Rice, Sugar, and Spice in Southeast Asia: a History of Food in the Region",HIS346H1-S,,,,"This course examines the importance of food products in the livelihoods of the inhabitants of Southeast and in the world economy. It traces the circulation of these products within the Southeast Asian region in the pre-modern period, into the spice trade of the early modern era, and the establishment of coffee and sugar plantations in the late colonial period, and the role of these exports in the contemporary global economy.",1.0 FCE Asian or European history,Humanities,Recommended Preparation:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Wednesday,—,13:00,15:00,,,,,,,,,"Tran, N.",of  available,23,150,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494488,,,,,,,,,,,,,,KP 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
HIS,The Country House in England 1837-1939,HIS347H1-F,,,,"This course examines class, distinction and community through the lens of the English country house from 1837 to 1939.  Topics include owners, servants, houses, collections, gardens and rituals such as fox hunting.",A course in British or European history,HIS349H1/HIS302H1,Prerequisite:,Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Tuesday,—,10:00,11:00,Thursday,,,,,VC 206,,,"Loeb, L.",of  available,0,53,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,https://map.utoronto.ca/?id=1809#!m/494602,,,,,,,,,,,,,VC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,Breadth Requirement:
HIS,History of Britain: Struggle for Power,HIS349H1-S,,,,"An introduction to the history of modern England with emphasis on the search for identity with reference to the nation, the crown, class, gender, age, political parties, race and ethnicity.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,10:00,11:00,Thursday,,,,,EM 001,,,"Loeb, L.",of  available,4,100,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494463,https://map.utoronto.ca/?id=1809#!m/494463,,,,,,,,,,,,,EM 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
IHPST,Life Sciences and Society,HPS351H1-S,,,,"This course examines how the contemporary life sciences intersect with global geopolitics through an introduction to the field of science and technology studies (STS). Using interdisciplinary methodologies and global perspectives, the course addresses key questions including: Who benefits from the development of new biotechnologies, and who is exploited in the process? Who sets the international norms of bioethics and medical market regulation? How are biologists and medical practitioners redefining life for different societies and their diverse constituencies? The course predominantly focuses on humans, but also introduces new scholarship on animal studies and synthetic life forms. It has significant coverage of the Middle East, Africa, and East and South Asia.",Humanities,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,11:00,12:00,Thursday,,https://map.utoronto.ca/?id=1809#!m/494580,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,EM 001,https://map.utoronto.ca/?id=1809#!m/494602,CR 103,"Burton, E.",of  available,87,100,Yes: 0 student,In Person,,,,,Tuesday,—,13:00,14:00,Tuesday,—,14:00,15:00,Thursday,,VC 206,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,14:00,15:00,,,,https://map.utoronto.ca/?id=1809#!m/494463,https://map.utoronto.ca/?id=1809#!m/494463,of  available,26,33,No,In Person,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,EM 001,of  available,32,33,No,In Person,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,29,34,No,In Person,Space Availability,Wait List,Status / Notes,,,,,,,,,,,,,Room,—,—,—,,
HIS,A History of Women in Pre-colonial East Africa,HIS352H1-S,,,,"This course examines the lived experience of women in societies, communities and polities of varying sizes across territories that cover eight contemporary East African states. It encompasses the period from 1000 B.C to the end of the nineteenth century. Topics covered are clustered under four broad themes: a) Ecology, work in commodity production, wealth and exchange relations; b) “Institutional” power, ideology and structures; c) “Creative” power particularly in the areas of healing, resistance/contestation and transformation; and d) Violence, war and vulnerability.","The course challenges present day gender and identity categories applied to Africa’s deep past and highlights critical nuances of gender, identity and power dynamics in Africa.",AFR150Y1 or any course in African History,Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC0101,Tuesday,—,16:00,18:00,,,,,,,,,"Musisi, N.",of  available,7,45,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,,,,,,,SS 1084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
IHPST,History of Evolutionary Biology,JHE353H1-S,,,,"An examination of major ideas about biological evolution from the 18th century to the 1930s and of their impact on scientific and social thought. Topics include the diversity of life and its classification, the adaptation of organisms to their environment, Wallace’s and Darwin’s views on evolution by natural selection, sexual selection, inheritance from Mendel to T.H. Morgan, eugenics, and the implications of evolution for religion, gender roles, and the organization of society. Offered by the Institute for the History and Philosophy of Science and Technology.",6.0 credits,EEB353H1/HPS323H1/HPS353H1,Prerequisite:,"Humanities, Science",Exclusion:,Society and its Institutions (3),Distribution Requirement:,LEC0101,Thursday,—,13:00,15:00,,,,,,—,,,"Ilerbaig-Adell, J.",of  available,60,135,Yes: 0 student,In Person,,,,,Thursday,—,16:00,17:00,Thursday,—,16:00,17:00,Thursday,Thursday,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,17:00,18:00,—,17:00,18:00,https://map.utoronto.ca/?id=1809#!m/494515,,of  available,1,34,No,Online - Synchronous,Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0102,RW 110,of  available,21,34,No,Online - Synchronous,Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT5101,of  available,17,34,No,Online - Synchronous,Space Availability,Wait List,Status / Notes,Activity,Time,TUT5102,of  available,26,33,No,Online - Synchronous,Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,,Breadth Requirement:
IHPST,History of Medicine and Public Health in the Middle East,HPS354H1-F,Delivery instructions,Note:,Lectures and tutorials will be available only in-person or online synchronous at their scheduled times. It is recommended that students enrolled in online tutorials have a computer with a microphone and camera in order to participate in online activities.,"This course provides a broad thematic overview of the history of medicine and public health in the Middle East. Focusing on the modern period, the course highlights the region as a contact zone of medical traditions and a key site in the emergence of colonial medicine and international public health. Students examine the social and cultural effects of new developments in medical thought and practice, including ideas about contagion and disease prevention, the notion of public health and hygiene, and the construction of colonial and postcolonial medical schools and hospitals.","A prior course in HPS, HIS, or NMC",Humanities,Recommended Preparation:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Monday,—,13:00,15:00,,,https://map.utoronto.ca/?id=1809#!m/494600,NF 119,https://map.utoronto.ca/?id=1809#!m/494600,,,NF 119,"Burton, E.",of  available,32,60,Yes: 0 student,In Person (See Delivery Instructions.),,,,,Tuesday,—,10:00,11:00,Tuesday,—,11:00,12:00,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494602,,of  available,16,30,No,In Person (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,VC 212,of  available,16,30,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,,,,,,,,,,,,,,,,,,,,,,,,,,Room,—,—,,,
