resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,legendControl 4,extraTxt 9,extraTxt 10,extraTxt 14,alignC 3,enConList 2,enConList 3,enConList 4,extraTxt 15
IRE,Organizational Behaviour,IRE260H1-F,"Introduction to the nature of organizations and the behaviour of individuals and groups within organizations, including topics such as culture and diversity, reward systems, motivation, leadership, politics, communication, decision-making, conflict and group processes. Not recommended for students in Commerce programs.",Enrolment in the Industrial Relations & Human Resources program (ASSPE1536/ASMAJ1536) or 4.0 or more FCEs and a minimum cgpa of 2.3,Prerequisite:,"MGT262H1, RSM260H1, WDW260H1, WDW260Y1",Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,—,17:00,20:00,BL 205,https://map.utoronto.ca/?id=1809#!m/494536,"Wang, H.",of  available,0,60,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
IRE,Organizational Behaviour,IRE260H1-S,"Introduction to the nature of organizations and the behaviour of individuals and groups within organizations, including topics such as culture and diversity, reward systems, motivation, leadership, politics, communication, decision-making, conflict and group processes. Not recommended for students in Commerce programs.",Enrolment in the Industrial Relations & Human Resources program (ASSPE1536/ASMAJ1536) or 4.0 or more FCEs and a minimum cgpa of 2.3,Prerequisite:,"MGT262H1, RSM260H1, WDW260H1, WDW260Y1",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,13:00,16:00,ES B149,https://map.utoronto.ca/?id=1809#!m/494499,"Eads, A.",of  available,0,60,Yes: 17 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
INNIS,Strategic Writing in Business and the Professions: Theory and Practice,WRR300H1-F,"Aims to teach students to recognize the rhetoric of the professional workplace and to communicate strategically and ethically using written and oral discourse appropriate to business, government, and not-for-profit organizations. Case study analysis using ethical reasoning models is a central component of the course.",Completion of 4.0 credits,Prerequisite:,"INI300H1, INI302H1, WRR302H1",Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,LEC9901,Thursday,—,14:00,17:00,—,,"Jovanovic-Krstic, V.",of  available,0,40,Yes: 0 student,Online - Synchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Writing in Business and the Professions for Rotman Commerce Students,WRR302H1-F,"Designed for and restricted to undergraduates in Rotman Commerce. Assignments and course aims reflect the learning goals of the Rotman Commerce program. This course focuses on critical thinking, ethical reasoning, and the rhetoric of the world of business. The theory and practice of written and oral communication are also central. Case study analysis using ethical reasoning models is a central pedagogical tool.",Completion of 4.0 credits,Prerequisite:,"INI300H1, INI302H1, WRR300H1",Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,LEC9901,Monday,—,15:00,17:00,—,,"Jovanovic-Krstic, V.",of  available,13,55,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Writing in Business and the Professions for Rotman Commerce Students,WRR302H1-S,"Designed for and restricted to undergraduates in Rotman Commerce. Assignments and course aims reflect the learning goals of the Rotman Commerce program. This course focuses on critical thinking, ethical reasoning, and the rhetoric of the world of business. The theory and practice of written and oral communication are also central. Case study analysis using ethical reasoning models is a central pedagogical tool.",Completion of 4.0 credits,Prerequisite:,"INI300H1, INI302H1, WRR300H1",Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Monday,—,15:00,17:00,RW 143,https://map.utoronto.ca/?id=1809#!m/494515,"Jovanovic-Krstic, V.",of  available,34,55,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Digital Rhetoric,WRR303H1-F,"Examines the profound impact of digital media on contemporary culture and discourse. Students will explore recent currents in rhetoric and digital media. Students will investigate the rhetorical operation of digital media in domains ranging from academia to politics to popular culture. The class will analyze the role of rhetorical principles, such as persuasion and identification, in a diverse array of online discourse such as discussion forums, social media, and the blogosphere.",Completion of 4.0 credits,Prerequisite:,INI303H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,13:00,16:00,FE 326,https://map.utoronto.ca/?id=1809#!m/494550,"Adleman, D.",of  available,2,30,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Digital Rhetoric,WRR303H1-S,"Examines the profound impact of digital media on contemporary culture and discourse. Students will explore recent currents in rhetoric and digital media. Students will investigate the rhetorical operation of digital media in domains ranging from academia to politics to popular culture. The class will analyze the role of rhetorical principles, such as persuasion and identification, in a diverse array of online discourse such as discussion forums, social media, and the blogosphere.",Completion of 4.0 credits,Prerequisite:,INI303H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,13:00,16:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Adleman, D.",of  available,0,25,Yes: 4 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Word and Image in Modern Writing,WRR305H1-F,"The rhetorical term Ekphrasis, which refers to writing that is about visual art, is central in the examination of the persuasive power of the conversation or discourse that is produced when the written word attempts the evocation of visual images. Course readings will include ekphrastic texts drawn from several disciplines and genres: journalism, informal essays, poetry, and scholarly writing.",Completion of 4.0 credits,Prerequisite:,INI305H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,13:00,16:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Messenger, C.",of  available,21,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Selected Topics in Writing and Rhetoric,WRR308H1-S,Courses on selected topics in Writing and Rhetoric.,Completion of 4.0 credits,Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,—,15:00,18:00,UC D301,https://map.utoronto.ca/?id=1809#!m/494517,"Adleman, D.",of  available,6,25,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,Timetable instructions,Note:,"This course brings rhetorical thought into important dialogue with health research and medical practices. Since its inception, rhetoric has been concerned with persuasion and its relationship to human flourishing. With this in mind, contemporary rhetorical scholars have interrogated the role rhetoric plays in matters pertaining to health and wellness.  Medicalized phenomena—like hypochondria, depression, sexual dysfunction, and death & dying—are all bound up with influence. A rhetorical perspective on health and wellness tracks this influence through the networks of individuals, institutions, texts, media forms, genres, narratives, opinions, and identifications that constitute the interpenetrating worlds of health care consumers, medical practitioners, and researchers.",,,,,,
INNIS,Stylistic Editing and Copy Editing,WRR310H1-S,"This course introduces students to professional editorial conventions at two later stages of the editorial process. Both stages require analytical skills and sentence expertise. Through stylistic editing, students learn how to improve a writer’s literary style; through copy editing, they learn how to ensure both accuracy and consistency (editorial style).",Completion of 4.0 credits,Prerequisite:,INI310H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,15:00,18:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Vogan, R.",of  available,0,35,Yes: 8 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Seminar in Creative Writing,WRR311Y1-Y,"This workshop course examines methodological approaches to literary fiction from the perspective of the creator. Through course readings, discussion, and creative writing assignments, student writers will learn how prose writers combine stylistic techniques, point-of-view, setting, character, scenes, and structure to produce literary effects.",Completion of 4.0 credits.,Prerequisite:,INI311Y1,Exclusion:,Experience or strong interest in writing fiction.,Recommended Preparation:,,LEC9901,Friday,—,13:00,16:00,,,"English, S.",of  available,0,27,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,Delivery instructions,Note:,Recordings of lecture will be available for students to view asynchronously. Most class activities will occur synchronously in person at the scheduled course time. Students will not be expected to screen lectures before class. A microphone and webcam are required for every class.,Humanities,,,,,Distribution Requirement:
ITA,"Italian Design: Fashion, Artistry, Genius",ITA314H1-F,"“Made in Italy” is a global standard for creativity and excellence in fashion, architecture, and industrial design. This course will explore how art, imagination, and craft have intersected in different areas of Italian culture over time. Based on an individual instructor’s area of expertise, themes explored may include studies of the Italian fashion industry, food culture, commercial art, and industrial design. Primary materials will include artworks, literary texts, material objects, and mixed media that demonstrate the importance of design culture in Italy and the impact of Italian design culture in the world. This course includes a component designed to enhance students’ research experience.",4.0 credits,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,CR 406,https://map.utoronto.ca/?id=1809#!m/494580,"Gaspari, S.",of  available,0,45,Yes: 0 student,In Person,,,,,Timetable instructions,Note:,"Like spoken languages, the food system contains and conveys the culture of its practitioner; it is the repository of traditions and of collective identity.” (Massimo Montanari, Food is Culture). This course will explore a broad range of topics related to food, including a socio-historical analysis of the movement of food trends in Italy, the contribution of Italian immigration to other cultures’ cuisines, the popularity of Italian gastronomical standbys such as the aperitivo, and what modern culinary phenomena such as Starbucks and Eataly take from authentic Italian culinary traditions, as well as what they leave out. This course will include an interdisciplinary component, examining Italian food culture in its various artistic forms, through cinema, literature, lanuage and television. Buon appetito!",,,,,,
ITA,Sex and Gender in Contemporary Italy,ITA315H1-F,"This course will focus on theoretical and cultural productions that deal with issues of sexuality and gender in (contemporary) Italy. Based on an individual instructor’s area of expertise, themes explored may include feminism and women’s rights, sexual liberation and LGBTQ+ rights, Queer-of-Colour critique, and other topics within the study of sexual and gender diversity. Primary materials will include manifestos, theoretical essays, novels, short stories, and films that deal with gender and sexual diversity in the Italian-speaking world and from a transnational perspective. Linguistic issues will also be discussed. This course includes a component designed to enhance students’ research experience.",4.0 credits,Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,"Frasca, P.",of  available,27,50,Yes: 0 student,In Person,,,,,,,,,,,,,
INNIS,Developmental and Substantive Editing,WRR316H1-F,"This course introduces professional editorial conventions at two early stages of the editorial process. Both stages require editors to think critically and creatively as they assess content, organization, and argument. Students learn how to analyze and evaluate these elements, envision possible improvements, and explain these suggestions persuasively.",Completion of 4.0 credits,Prerequisite:,INI316H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,15:00,18:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Vogan, R.",of  available,5,35,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMIN2137 MI WRITING & RHETORIC,,,,Creative and Cultural Representations (1),,,,,Breadth Requirement:
INNIS,Critical Approaches in Urban Studies,URB333H1-S,"How do power and dominance consolidate in urban settings? How do individuals and communities contest this consolidation, and claim spaces and rights in the city? These questions will be taken up through a range of critical approaches, including Indigenous, critical race feminist, political economy, queer, and anarchist perspectives. Students will have the opportunity to carry out interview-based research on an issue of equality and social justice that matters to them.",URB235H1 and URB236H1,Prerequisite:,INI333H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,13:00,15:00,OI 8180,https://map.utoronto.ca/?id=1809#!m/494563,,of  available,28,40,Yes: 0 student,In Person,,,,,,,,Society and its Institutions (3),—,,,,Breadth Requirement:
INNIS,Creative Cities,URB336H1-S,A prominent thesis in the fields of planning and economic geography is that the presence of creative occupations in a city correlates positively with the overall health of urban regions. This course will investigate the nature of this link from theoretical and empirical perspectives and examine its potential usefulness in a planning/policy context.,"INI336H1, INI336Y1",Exclusion:,URB235H1/URB236H1/GGR124H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,—,19:00,21:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Galambos, P.",of  available,7,30,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2207 MA URBAN STUDIES,,,,Society and its Institutions (3),,ASMIN2207 MI URBAN STUDIES,ASSPE2207 SP URBAN STUDIES,,Breadth Requirement:
INNIS,Studies in Contemporary Urban Problems,URB337H1-S,"This course will focus on an examination of the immediate difficulties facing Toronto and by extension all Canadian cities. Instruction will consist of a combination of lectures by the instructor and by noted experts/practitioners in a range of topic areas including urban governance, finance, planning, environmental sustainability and social welfare.",INI337H1,Exclusion:,"GGR124H1/ (URB235H1, URB236H1)",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC9901,Tuesday,—,16:00,18:00,—,,"Whitzman, C.",of  available,0,40,Yes: 4 students,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2207 MA URBAN STUDIES,Delivery instructions,Note:,Lectures are live-streamed and recorded. Students will not be expected to view videos prior to class time. It is recommended that students have a computer with a microphone and webcam in order to participate in online activities.,Society and its Institutions (3),,ASMIN2207 MI URBAN STUDIES,ASSPE2207 SP URBAN STUDIES,,Breadth Requirement:
INNIS,Advanced Topics in Urban Studies I,URB338H1-F,"This course will expose students to a range of contemporary theoretical, analytical, and policy oriented debates in Urban Studies. The emphasis will be on establishing a broad knowledge base in the multifaceted field of urban studies. The exact topics to be covered will fall broadly under the banner of urban socioeconomic change, and specific syllabi, year to year, will follow contemporary and emerging debates. This will be expanded upon in this course’s 400 level counterpart.",GGR347H1,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Friday,—,09:00,12:00,IN 312,https://map.utoronto.ca/?id=1809#!m/494541,"Roberts, D.",of  available,4,35,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2207 MA URBAN STUDIES,Timetable instructions,Note:,": This course will be offered in partnership with the City of Toronto and a number of Toronto-area universities and colleges. Half the classes will be offered off campus at Toronto City Hall with presentations by senior city hall urban policy makers. Students from other universities and colleges will be part of the classes at Toronto City Hall. The other six classes will be in a classroom setting at the University of Toronto with fellow UofT students. This mix of classes is intended to enhance students’ knowledge of urban issues facing Toronto and many global cities, while contributing to students’ professional development.",,,ASMIN2207 MI URBAN STUDIES,ASSPE2207 SP URBAN STUDIES,,
IRE,Labour Markets and Public Policy,IRE339H1-F,"This course is designed to provide students in the Employment Relations program with knowledge of how the labour market affects the employment relationship. The basic tools of labour economics are developed and applied to various issues of organizational and government policy such as: the incentive effects of compensation arrangements, government income support programs, and minimum wage policy; the determinants of preferences for hours of work including job-sharing, overtime and retirement; the impacts of unions on compensation and productivity; public-sector employment and alternatives to the right to strike; discrimination in employment on the basis of gender and race as well as related government policies such as pay and employment equity.Note: IRE339H1 will not count towards an ECO program.",ECO100Y1/ECO105Y1,Prerequisite:,"ECO239Y1, ECO339Y1, ECO339H1, WDW339H1, ECO261H5",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,14:00,17:00,HS 108,https://map.utoronto.ca/?id=1809#!m/494459,"Reid, F.",of  available,0,45,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
INNIS,Divided City / United City,URB339H1-S,"Focus on the impact of increased economic inequality and economic polarization trends that are reshaping Canada's metropolitan areas, changing neighbourhoods, and affecting the lives of our diverse urban population. Using the Toronto area as an example, students explore the consequences of these trends and the implications for public policy.",Completion of 8.0 credits,Prerequisite:,INI339H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,"Hulchanski, J.",of  available,146,180,Yes: 0 student,In Person,,,,,,,,Society and its Institutions (3),,,,,Breadth Requirement:
ITA,Italian Neorealist Cinema,ITA340H1-S,"The focus of this course is the films of Italian Neorealism, one of the most influential, artistic, and intellectual movements in the history of world cinema. While emphasis will be placed primarily on the work of Roberto Rossellini, Vittorio De Sica, and Luchino Visconti, the course will also offer a detailed discussion of the historical context and of the sociopolitical issues of postwar Italy. This course includes a component designed to enhance students' research experience. (Given in English)",ITA240Y1,Recommended Preparation:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,15:00,19:00,RL 3025,https://map.utoronto.ca/?id=1809#!m/494531,"Whitehead, J.",of  available,24,45,Yes: 0 student,In Person,,,,,,,,,,,,,
IRE,Finance and Accounting for HR/IR Professionals,IRE342H1-F,"This course introduces Employment Relations students to accounting and finance procedures and concepts used by Human Resources managers and Industrial Relations experts in organizations such as government, trade unions and companies. The course covers both managerial and financial accounting with an applied focus to the employment relations function within organizations. It is geared specifically to students who aspire to become HR/Labour Relations professionals where essential knowledge in finance and accounting is required. Note: Course will not count towards Rotman Commerce program requirements.",1.0 FCE from IRE240H1/IRE242H1/IRE244H1/IRE260H1,Prerequisite:,"MGT201H1, RSM222H1",Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,—,18:00,21:00,BL 313,https://map.utoronto.ca/?id=1809#!m/494536,"Khesroof, R.",of  available,9,65,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
INNIS,Qualitative Research in Urban Studies,URB342H1-F,"This course provides students an opportunity to craft and initiate an Urban Studies capstone research project. Students will gain knowledge, experience and insight in utilizing qualitative research methods including interviewing, focus groups, observational analysis and other techniques. Seminars and assignments focus on the application of qualitative methods to each student’s selected urban research question.",URB235H1,Prerequisite:,INI342H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,SK 720,https://map.utoronto.ca/?id=1809#!m/494564,"Minaei, N.",of  available,32,40,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2207 MA URBAN STUDIES,Timetable instructions,Note:,"Course Description for Fall 2021: This course provides students an opportunity to craft and initiate an Urban Studies capstone research project. Students will gain knowledge, experience and insight in utilizing some common qualitative research methods, field data collection and analysis in urban studies. They learn to design the required data collection tools for interviewing, focus groups, observation, documentation, and mapping behavioural patterns. To decrease the chances of being exposed to COVID19, students choose an open public urban space as their site and study people’s perceptions and attitudes through social media tools and document peoples’ behaviours to find their behavioural patterns by different observation techniques and mappings. After data collection and analysis, they present their findings with simple visualization techniques such as maps, timetable of activities and photographs. As the final product, they propose solutions to improve the quality of the urban space and people’s experience based on users’ feedback. Methods of effective presentation and seminar will be taught. Students will present their work in progress to the class and submit their presentation files as their assignments monthly.",Society and its Institutions (3),,ASMIN2207 MI URBAN STUDIES,ASSPE2207 SP URBAN STUDIES,,Breadth Requirement:
IRE,HR Planning & Strategy,IRE346H1-S,"An understanding is developed of how essential elements of the human resource planning process support organizational goals and strategies. Topics such as environmental influences, job analysis, forecasting human resource needs and ascertaining supply, succession planning, downsizing and restructuring, mergers and acquisitions, outsourcing, and strategic international issues are examined.",IRE240H1/IRE244H1/IRE260H1,Prerequisite:,WDW346H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,16:00,19:00,SS 1087,https://map.utoronto.ca/?id=1809#!m/494510,"Campero Molina, S.",of  available,0,75,Yes: 14 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
GGR,The Urban Planning Process,JGU346H1-F,"Overview of how planning tools and practice shape the built form of cities. This course introduces twentieth century physical planning within its historical, social, legal, and political contexts. Community and urban design issues are addressed at local and regional scales and in both central cities and suburbs. The focus is on Toronto and the Canadian experience, with comparative examples from other countries, primarily the United States. Transportation costs: $20.","JGI346H1, GGR361H5",Exclusion:,"8.0 credits including GGR124H1, URB235H1, URB236H1",Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,13:00,SS 2110,https://map.utoronto.ca/?id=1809#!m/494510,"Hess, P.",of  available,3,70,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",GEOGRAPHY     (Faculty of Arts and Science),,,,Society and its Institutions (3),,"GEOGRAPHY     (John H. Daniels Faculty of Architecture, Landscape, & Design)",ASMAJ2207 MA URBAN STUDIES,ASSPE2207 SP URBAN STUDIES,Breadth Requirement:
IRE,Training & Development,IRE347H1-S,"The role of training and development initiatives in organizations. Students acquire the knowledge and skills to conduct a training needs assessment, identify training objectives, explore strategies to increase the transfer of training, design and deliver a training activity using various training methodologies, and evaluate its effectiveness.",IRE260H1,Prerequisite:,WDW347H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,—,18:00,21:00,BL 313,https://map.utoronto.ca/?id=1809#!m/494536,"Fong, A.",of  available,0,65,Yes: 13 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
IRE,Recruitment & Selection,IRE348H1-F,"The principles, legal issues, and emerging trends affecting the recruitment process and selection of staff in organizations.  Development of recruitment strategies, assessment of applications for employment, interviewing candidates, and the role of testing and measurement of competencies in making hiring decisions.",IRE240H1/IRE244H1/IRE260H1,Prerequisite:,WDW348H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Wednesday,—,17:00,20:00,BL 325,https://map.utoronto.ca/?id=1809#!m/494536,"Talukder, A.",of  available,2,65,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1535 MA EMPLOYMENT RELATIONS,,,,Society and its Institutions (3),,ASMAJ1536 MA IND REL & HUM RES,ASSPE1535 SP EMPLOYMENT RELATIONS,ASSPE1536 SP IND REL & HUM RES,Breadth Requirement:
ITA,Language Practice,ITA350Y1-Y,"For students who have completed ITA250Y1/ITA251Y1. Discussion of problems of grammar, style, and composition. Language analysis based on readings of Italian authors. One hour a week of oral practice. This course includes a component designed to enhance students' research experience.",Students without the prerequisite(s) will be asked to fill out a questionnaire on their knowledge of and background in Italian.,Prerequisite:,ITA250Y1/ITA251Y1,Exclusion:,ITA351Y1,Distribution Requirement:,,LEC5101,Wednesday,—,18:00,21:00,CR 103,https://map.utoronto.ca/?id=1809#!m/494580,"Morra, E.",of  available,21,30,Yes: 0 student,In Person (See Delivery Instructions.),,,,,Timetable instructions,Note:,This course features the flipped classroom method.,Humanities,,,,,Breadth Requirement:
