resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt 5,extraTxt 6,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colInst 2,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay 3,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,enConList 6,weekDay 5,weekDay 6,enConList 7,enConList 8,enConList 9,enConList 10,alignC,weekDay href,weekDay href 2
CSB,Advanced Cell Biology,CSB331H1-S,,,,,,,The development of multicellular organisms is dependent on complex cell-cell and cell-matrix dynamics. The course examines the molecules and mechanisms involved and how they act in concert to regulate distinct developmental and physiological events. Emphasis is placed on the experimental approaches and technology used to study the molecular interactions and dynamics that alter structure-function relationships in cells and organisms.,BIO230H1/BIO255H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,14:00,15:00,RW 117,"Harris, T.","Plotnikov, S.",40,156,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1003 MA CELL & MOLECULAR BIOLOGY,ASMAJ1003A MAJ MOLEC NETWORKS OF CELL,ASMAJ1003B MAJ PLANT GEN & BIOTECH,ASMAJ1003C MAJ STEM CELLS & DEV BIO,ASSPE1003 SP CELL & MOLECULAR BIOLOGY,,,,,,,,Wednesday,—,14:00,16:00,RW 117,,,,,,ASSPE1003A SPE MOLEC NETWORKS OF CELL,,,ASSPE1003B SPE PLANT GEN & BIOTECH,ASSPE1003C SPE STEM CELLS & DEV BIO,ASSPE1305 SP DEVELOPMENTAL BIOLOGY,,,https://map.utoronto.ca/?id=1809#!m/494515,https://map.utoronto.ca/?id=1809#!m/494515
HMB,Cellular and Molecular Neurobiology of the Synapse,CJH332H1-S,,,,,Living Things and Their Environment (4),Breadth Requirement:,"Examination of all aspects of the synapse in both the peripheral and central nervous systems of invertebrates and vertebrates. Topics include: neuroplasticity, synapse formation, synaptic transmission, synaptic modulation, and the molecular biological basis of neurodegenerative disorders.",BIO271H1/PSL300H1,Prerequisite:,CSB332H1,Exclusion:,Science,Distribution Requirement:,Room,LEC9901,3.0 hours / week,,,,—,"Fraigne, J.","Garand, D.",160,500,Yes: 0 student,Asynchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 3 CELL AND SYSTEMS BIOLOGY Department of Cell and Systems Biology    (Faculty of Arts and Science),Year 4 CELL AND SYSTEMS BIOLOGY     (Faculty of Arts and Science),Year 3 NEUROSCIENCE Human Biology Program   Program (Faculty of Arts and Science),Year 4 NEUROSCIENCE Human Biology Program   Program (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCH,Proteins: From Structure to Function,BCH340H1-S,Timetable instructions,Note:,"For more information on how to enrol in this course, please send an email with your student ID number to jennifer.haughton@utoronto.ca",,,,"Proteins are the main functional units in the cell. In this course, a detailed overview of protein structure and function will be given with strong emphasis on the basic principles in the field. Students will be introduced to folded and intrinsically disordered proteins. Biophysical methods to study protein stability and folding will be discussed, as well as experimental approaches to determine protein structure and function. Students will be introduced to catalysis, kinetics, and the mechanisms that regulate enzyme activity. Finally, proteomic methods to studying protein networks in cells will be presented. The course will offer a solid basis in protein biochemistry. It is recommended for those interested in pursuing graduate studies or professional degrees in health or medicine.",BCH210H1/BCH242Y1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,13:00,14:00,MS 4171,"Forman-Kay, J.","Prive, G.",20,80,No,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",Year 3      (Faculty of Arts and Science),,,,,,,,,,,,Wednesday,—,13:00,14:00,MS 4171,,,,,,,Friday,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,https://map.utoronto.ca/?id=1809#!m/494491
CSB,Plant Development,CSB340H1-F,,,,,,,"Plant developmental genetics at the molecular, cellular and organismal level, generation and use of genomic resourses in plant model organisms. Questions address the genetic dissection of plant embryo and meristem development, plant stem cell specification and tissue patterning. Genomic approaches applicable to plant biotechnology are also covered.","BIO230H1/BIO255H1, BIO260H1/(HMB265H1 with a minimum grade of 73%)",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,13:00,14:00,ES B149,"Berleth, T.",,47,80,Yes: 0 student,In Person,,,,,,,,,,,,,,,,Thursday,—,13:00,14:00,ES B149,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494499
CSB,Animal Energetics,CSB343H1-F,,,,,Living Things and Their Environment (4),Breadth Requirement:,"Animal structure and function, at all levels from molecule to whole animal, are dependent on energy. This course describes how the supply, consumption, transformation, exchange and storage of energy can facilitate, constrain and limit animal function. Emphasis is placed on systems level physiological function and whole animal performance.","(BIO270H1, BIO271H1)/(PSL300H1, PSL301H1)",Prerequisite:,BCH210H1/BCH242Y1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,15:00,16:00,RW 117,"Buck, L.","Yang, A.",108,156,Yes: 0 student,In Person,,,,,,,,,,,,,,,,Thursday,—,15:00,16:00,PB B250,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494515,https://map.utoronto.ca/?id=1809#!m/494476
CSB,Neurobiology of Respiration,CSB346H1-S,,,,,,,"This course examines how the central and peripheral nervous system controls breathing in mammals. Topics include how the brain generates rhythmic breathing movements, how sleep impacts breathing control and how abnormal breathing contributes to disorders such as sleep apnea.","(BIO270H1, BIO271H1)/(PSL300H1, PSL301H1)",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,15:00,17:00,MC 102,"Fraigne, J.",,169,300,Yes: 0 student,In Person,,,,,,,,,,,,,,,,Thursday,—,17:00,18:00,MC 102,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494474,https://map.utoronto.ca/?id=1809#!m/494474
CSB,Laboratory in Comparative Animal Physiology,CSB348H1-S,,,,Breadth Requirement:,Science,Distribution Requirement:,"Laboratory exercises will include traditional and guided inquiry approaches to investigate and gain an understanding of the regulation of physiological systems in vertebrates and invertebrates. Students will experience the nature of physiological investigation while being exposed to a range of the current experimental approaches animal physiologists use to design, test and evaluate hypotheses, and communicate their findings. This course will emphasize the fundamental characteristics humans share with all animal life and the physiological adaptations that have permitted species to exploit alternative environmental niches. This course requires participation and includes group work, written assignments, and oral presentations. (Lab Materials Fee: $50). Lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these items (approximate cost is $25).",BIO230H1,Prerequisite:,PSL372H1,Exclusion:,"BIO270H1, BIO271H1",Recommended Preparation:,Room,LEC0101,Thursday,—,13:00,14:00,Contact DEPT,"Garside, C.",,0,24,Yes: 4 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1538 MA ANIMAL PHYSIOLOGY,,,,,,,,,,,,Thursday,—,14:00,17:00,Contact DEPT,,,,,,,,,,,,,,,
CSB,Eukaryotic Gene Expression,CSB349H1-F,Timetable instructions,Note:,"Enrolment in a tutorial section is done on ACORN until the evening of Monday, September 13th. Late tutorial enrolment or changes must be done by contacting the  CSB349H1 Office at csb349.csb@utoronto.ca from September 14th to September 17th.",Breadth Requirement:,Science,Distribution Requirement:,"Genome structure and the regulation of gene expression in eukaryotic cells. Topics include transcription, gene silencing and regulation, expression profiling, non-coding RNAs, and translational control. Tutorials emphasize problem based learning exercises that relate to recent advances in the broad field of eukaryotic gene expression.","BIO230H1/BIO255H1, BIO260H1/HMB265H1",Prerequisite:,"MGY311Y1, MGY420H1",Exclusion:,BCH210H1,Recommended Preparation:,Room,LEC0101,Tuesday,—,10:00,12:00,ES 1050,"Calarco, J.","Sarpal, R.",91,360,Yes: 0 student,In Person,,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,12:00,13:00,ES 1050,of  available,2,20,No,In Person,,Tuesday,Tuesday,,,,,—,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494499
CSB,Laboratory in Molecular Plant Biology,CSB350H1-S,,,,,Living Things and Their Environment (4),Breadth Requirement:,"Laboratory methods used in plant molecular biology research. Topics include vector construction, plant transformations, PCR, DNA blots, high-throughput screens, genetic mapping, and bioinformatic analyses. (Lab Materials Fee: $50). Lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these items (approximate cost is $25).",BIO230H1/BIO255H1,Prerequisite:,BIO251H1 or higher level plant biology course; BCH311H1/CSB349H1/MGY311Y1 concurrently,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,ES B149,"Christendat, D.","Nambara, E.",0,52,Yes: 1 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1003 MA CELL & MOLECULAR BIOLOGY,ASMAJ1003A MAJ MOLEC NETWORKS OF CELL,ASMAJ1003B MAJ PLANT GEN & BIOTECH,ASMAJ1003C MAJ STEM CELLS & DEV BIO,ASMAJ2655 MA GENOME BIOLOGY,,,,,,,,ES 3088,,,,,,,,,,ASSPE1003 SP CELL & MOLECULAR BIOLOGY,,,ASSPE1003A SPE MOLEC NETWORKS OF CELL,ASSPE1003B SPE PLANT GEN & BIOTECH,ASSPE1003C SPE STEM CELLS & DEV BIO,ASSPE1305 SP DEVELOPMENTAL BIOLOGY,—,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494499
CSB,Introductory Virology,CSB351Y1-Y,Delivery instructions,Note:,,"The lectures will be delivered online on Tuesdays and Thursdays, 2-3pm EST.  There is an optional online tutorial following the lectures at 3-4pm EST. Details will be provided on the CSB351Y1 Quercus site.",,,An introduction to basic and medical virology. What you should know about viruses and the diseases they cause. Tutorials are optional.,BIO230H1/BIO255H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,LEC9901,Tuesday,—,14:00,15:00,—,"AbouHaidar, M.",,25,150,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,,Thursday,—,14:00,15:00,—,,,,,,,—,—,,,,,,,
CSB,Bioinformatic Methods,CSB352H1-S,Delivery instructions,Note:,"In-class activities, including pre-lab talk and practicals of the course, will be available only as online synchronous via Zoom (U of T Zoom accounts only) with no recording. Students must have the ability to access and use Zoom (U of T Zoom accounts only), Quercus and Coursera. Students must be able to attend classes live via Zoom (U of T Zoom accounts only) and write quizzes on Quercus during scheduled times (Eastern Standard Time) with stable internet connections. It is strongly recommended to have multiple different routes/sources of lined high speed broadband internet connection in order to prevent disconnections. Please note that we do not manually add non-registered students (including students on the waiting list or students with non-U of T Zoom accounts) to any course platforms (including but not limited to Quercus, Zoom and any guest access). Students must register a U of T Zoom account (https://utoronto.zoom.us) using their UTORid and password. The course instructor will provide details.",,,,"Use of available programs for analyzing biological data. This is an introductory course with a strong emphasis on hands-on methods. Some theory is introduced, but the main focus is on using extant bioinformatics tools to analyze data and generate biological hypotheses.","BIO230H1/BIO255H1, BIO260H1/HMB265H1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC9901,0.5 hours / week,,,,—,"Yang, A.",,0,120,Yes: 28 students,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1003 MA CELL & MOLECULAR BIOLOGY,ASMAJ1003A MAJ MOLEC NETWORKS OF CELL,ASMAJ1003B MAJ PLANT GEN & BIOTECH,ASMAJ1003C MAJ STEM CELLS & DEV BIO,ASMAJ2655 MA GENOME BIOLOGY,,,,,,,,,,,,,,,,,,ASSPE1003 SP CELL & MOLECULAR BIOLOGY,,,ASSPE1003A SPE MOLEC NETWORKS OF CELL,ASSPE1003B SPE PLANT GEN & BIOTECH,ASSPE1003C SPE STEM CELLS & DEV BIO,ASSPE1050 SP FUNDMNTL GENETICS & ITS APP,—,,
CSB,Plant-Microorganism Interactions and Plant Immunity,CSB353H1-S,,,,,Living Things and Their Environment (4),Breadth Requirement:,"Plants have co-evolved with microbes ever since their first appearance on land, resulting in sophisticated strategies of pathogenicity, symbiosis, commensalisms and mutualism by microorganisms. This course presents an overview of the strategies by both plant hosts and microorganisms for their survival.  The lecture content includes the basic concepts of plant-microbe interactions and plant immunity as well as signal transduction in plant immunity.",BIO230H1/BIO255H1,Prerequisite:,BIO251H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Thursday,—,15:00,17:00,SS 2118,"Yoshioka, K.",,46,150,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,
BCH,Laboratory Course in Biochemical Techniques,BCH370H1-F,Delivery instructions,Note:,In-person labs will be held if possible following institutional and public health guidance for physical distancing. Access to Quercus and Zoom is required. In-person labs will be modified to accommodate for physical distancing and other measures. The detailed course schedule will be provided on Quercus.,Breadth Requirement:,Living Things and Their Environment (4),Distribution Requirement:,"This course is designed to provide hands-on experience at an introductory level, employing a variety of biochemical techniques commonly used in research and clinical diagnostic laboratories. This course is intended for students who are not proceeding further in biochemistry. It is highly recommended that students take this course in their third year as space is limited and priority will go to third-year students. This course will be offered in the FALL & WINTER terms. Attendance in the first week of class is mandatory in order to receive safety information and laboratory protocols. (Enrolment limited.)",BCH210H1.,(Lab fees: $50),"BCH377H1, CHM379H1",Prerequisite:,Science,Exclusion:,Room,LEC0101,Monday,—,09:00,13:00,Contact DEPT,"Khan-Trottier, A.","Khan-Trottier, A.",0,10,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Department of Laboratory Medicine and Pathobiology   (Faculty of Arts and Science),Year 3   Department of Nutritional Sciences   (Faculty of Arts and Science),Year 4   Department of Laboratory Medicine and Pathobiology   (Faculty of Arts and Science),Year 4   Department of Nutritional Sciences   (Faculty of Arts and Science),Year 3 BIOCHEMISTRY  Department of Biochemistry  Major (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0102,Monday,—,09:00,13:00,Contact DEPT,of  available,0,10,Yes: 0 student,In Person (See Delivery Instructions.),Year 4 BIOCHEMISTRY  Department of Biochemistry  Major (Faculty of Arts and Science),Monday,Contact DEPT,ASFOC1540O FOC BIOCHEMISTRY  - Year 4,ASFOC1540O FOC BIOCHEMISTRY  - Year 3,ASSPE0482 SP PHYSIOLOGY  - Year 3,ASSPE0482 SP PHYSIOLOGY  - Year 4,,,
BCH,Laboratory Course in Biochemical Techniques,BCH370H1-S,Delivery instructions,Note:,In-person labs will be held if possible following institutional and public health guidance for physical distancing. Access to Quercus and Zoom is required. In-person labs will be modified to accommodate for physical distancing and other measures. The detailed course schedule will be provided on Quercus.,Breadth Requirement:,Living Things and Their Environment (4),Distribution Requirement:,"This course is designed to provide hands-on experience at an introductory level, employing a variety of biochemical techniques commonly used in research and clinical diagnostic laboratories. This course is intended for students who are not proceeding further in biochemistry. It is highly recommended that students take this course in their third year as space is limited and priority will go to third-year students. This course will be offered in the FALL & WINTER terms. Attendance in the first week of class is mandatory in order to receive safety information and laboratory protocols. (Enrolment limited.)",BCH210H1.,(Lab fees: $50),"BCH377H1, CHM379H1",Prerequisite:,Science,Exclusion:,Room,LEC0101,Monday,—,09:00,13:00,Contact DEPT,"Khan-Trottier, A.","Khan-Trottier, A.",0,10,Yes: 6 students,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Department of Laboratory Medicine and Pathobiology   (Faculty of Arts and Science),Year 3   Department of Nutritional Sciences   (Faculty of Arts and Science),Year 4   Department of Laboratory Medicine and Pathobiology   (Faculty of Arts and Science),Year 4   Department of Nutritional Sciences   (Faculty of Arts and Science),Year 3 BIOCHEMISTRY  Department of Biochemistry  Major (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0102,Monday,—,09:00,13:00,Contact DEPT,of  available,0,10,Yes: 5 students,In Person (See Delivery Instructions.),Year 4 BIOCHEMISTRY  Department of Biochemistry  Major (Faculty of Arts and Science),Monday,Contact DEPT,ASFOC1540O FOC BIOCHEMISTRY  - Year 4,ASFOC1540O FOC BIOCHEMISTRY  - Year 3,ASSPE0482 SP PHYSIOLOGY  - Year 3,ASSPE0482 SP PHYSIOLOGY  - Year 4,,,
BCH,Summer Research in Biochemistry,BCH372Y1-Y,Timetable instructions,Note:,"To enrol in this course, please send an email with your student ID number to jennifer.haughton@utoronto.ca",,,,Real-world opportunity to apply theoretical knowledge and hone technical skills through full-time research in an active research laboratory for students who have completed second year. Students are responsible for arranging for supervision by a Department of Biochemistry faculty member in advance of the academic year-end. Not eligible for CR/NCR option.,A final grade of 75% or higher in BCH242Y1 and approval of the course coordinator.,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,LEC0101,,—,,,—,,,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,ASSPE1762 SP BIOCHEMISTRY  - Year 3,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,—,,
BCH,Research Project in Biochemistry,BCH374Y1-Y,Timetable instructions,Note:,"To enrol in this course, please send an email with your student ID number, to jennifer.haughton@utoronto.ca",,,,This course provides an opportunity to perform specialized research in biochemistry under the direct supervision of Biochemistry Department Faculty. Not eligible for CR/NCR option.,"For Specialist: BCH242Y1 (75% or higher); BIO230H1; CHM247H1/CHM249H1, and approval of the course coordinator. For Major: BCH210H1 (80% or higher); BIO230H1; CHM247H1/CHM249H1, and approval of the course coordinator.",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,LEC0101,Contact DEPT,—,,,—,"Chan, H.",,6,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Year 3 MOLECULAR GENETICS AND MICROBIOLOGY  Department of Molecular Genetics  Specialist (Faculty of Arts and Science),ASSPE1762 SP BIOCHEMISTRY  - Year 3,ASSPE1762 SP BIOCHEMISTRY  - Year 3,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Contact DEPT,,,,—,of  available,6,30,No,In Person,,,Thursday,,,,,—,,
BCH,Biochemistry Laboratory I,BCH377H1-F,Delivery instructions,Note:,In-person labs will be held if possible following institutional and public health guidance for physical distancing. Access to Quercus and Zoom is required. In-person labs will be modified to accommodate for physical distancing and other measures. The detailed course schedule will be provided on Quercus.,(Lab fees: $25),Living Things and Their Environment (4),Breadth Requirement:,"An introduction to fundamental laboratory techniques in modern biochemistry. Experiments illustrate and develop the concepts described in lecture courses and serve as a foundation for more advanced training in biochemistry laboratory courses. Enrollment in this course is generally restricted to students enrolled in the Biochemistry, Immunology, and Molecular Genetics & Microbiology (Genetics Stream) Specialist programs.",BCH242Y1,Prerequisite:,"BCH370H1, CHM379H1",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,09:00,13:00,Contact DEPT,"Zaman, M.","Zaman, M.",0,9,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASSPE1002 SP IMMUNOLOGY  - Year 3,ASSPE1002 SP IMMUNOLOGY  - Year 4,ASSPE1387 SP MOLEC GENETICS & MICROBIOL  - Year 3,ASSPE1387 SP MOLEC GENETICS & MICROBIOL  - Year 4,ASSPE1388 SP MOL GEN&MICROBIO: GENETICS  - Year 3,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0102,Thursday,—,09:00,10:00,Contact DEPT,of  available,1,9,Yes: 0 student,In Person (See Delivery Instructions.),ASSPE1388 SP MOL GEN&MICROBIO: GENETICS  - Year 4,Tuesday,Contact DEPT,ASSPE1762 SP BIOCHEMISTRY  - Year 4,ASSPE1762 SP BIOCHEMISTRY  - Year 3,ASSPE1865 SP MOLEC GENET & MOLEC BIOL  - Year 3,ASSPE1865 SP MOLEC GENET & MOLEC BIOL  - Year 4,,,
CITA,Research Topic,CTA395Y1-Y,,,,,,,Course credit for research under the supervision of a faculty member. Not eligible for CR/NCR option.,"Completed at least 8.5 FCEs and no more than 14.0 FCEs including courses in AST, CTA200H1, or permission",Prerequisite:,Science,Distribution Requirement:,,,,LEC0101,,—,,,—,,,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,—,,
BCH,Research Opportunity Program,BCH399Y1-Y,Timetable instructions,Note:,"Enrolment for the Research Opportunity Program is done by Arts and Science. For more information, please see: https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program",https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program,,,Credit course for supervised participation in faculty research project. Details at . Not eligible for CR/NCR option.,,,,,,,,LEC0101,,—,,,—,"Lee, W.",,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,,—,,,—,of  available,9999,9999,No,In Person,,—,—,,,,,—,,
CSB,Research Opportunity Program,CSB399Y1-Y,Timetable instructions,Note:,"Enrolment for the Research Opportunity Program is done by Arts and Science. For more information, please see:",https://www.artsci.utoronto.ca/current/academics/research-opportunities/research-opportunities-program,,,Credit course for supervised participation in faculty research project. Details at . Not eligible for CR/NCR option.,,,,,,,,LEC0101,,—,,,—,"Provart, N.",,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,,,
CSB,Applied Bioinformatics,BCB410H1-F,Timetable instructions,Note:,"For more information about this course, please visit the course website: https://bcb.csb.utoronto.ca/bcb410-applied-bioinformatics/",,,,"Practical introduction to concepts, standards and tools for the implementation of strategies in bioinformatics and computational biology. Student led discussions plus a strong component of hands-on exercises.",BCH311H1/MGY311Y1; (CSC324H1/CSC373H1/CSC375H1) or permission of the course coordinator,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,—,"Silva, H.",,1,36,Yes: 0 student,Online - Synchronous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSB,Computational Systems Biology,BCB420H1-S,Timetable instructions,Note:,"<p>For more information about this course, please visit the course website: https://bcb.csb.utoronto.ca/bcb420-systems-biology/</p>",,,,"Current approaches to using the computer for analyzing and modeling biology as integrated molecular systems. Lectures plus hands-on practical exercises. The course extends and complements an introductory Bioinformatics course, such as BCH441H1.",BCH441H1/CSB472H1 or permission of the course coordinator,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,16:00,18:00,MS 3278,"Isserlin, R.",,1,50,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,
BCH,"Membrane Proteins: Structure, and Function",BCH422H1-F,Timetable instructions,Note:,"Eligible students enroll via ACORN. Students who are not eligible, please send an email with your student ID number to jennifer.haughton@utoronto.ca",,,,"Structural features of membrane proteins, their biogenesis and methods of analysis. Function of membrane proteins as transporters, channels, pumps and receptors. Molecular aspects of disease processes linked to membrane proteins.",BCH210H1/BCH242Y1; BCH311H1/ MGY311Y1/PSL350H1,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,11:00,12:00,MS 4171,"Ernst, O.","Manolson, M.",32,65,Yes: 0 student,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:",Year 4      (Faculty of Arts and Science),,,,,,,,,,,,Thursday,—,11:00,12:00,MS 4171,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494491,https://map.utoronto.ca/?id=1809#!m/494491
BCH,Structural Biology: Principles and Practice,BCH425H1-F,,,,,,,"Theory of modern biophysical techniques as applied to the study of the structure and function of macromolecules; emphasis on X-ray crystallography, electron cryomicroscopy, NMR spectroscopy, and other spectroscopic methods.","BCH210H1/BCH242Y1. This is a problem-solving course and will require use of skills from introductory physics, math, and/or chemistry courses.",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,11:00,HS 100,"Julien, J.","Rubinstein, J.",9,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,Thursday,—,10:00,11:00,HS 100,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494459,https://map.utoronto.ca/?id=1809#!m/494459
