resultDept,pbot15,hiCC,extraTxt,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,headerSect 3,colCode,weekDay,weekDay 2,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 8,alignC,dayInfo 20,dayInfo 21,weekDay href 7,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,colTitle
SOC,Sociology of Professions,SOC305H1-S,,"Becoming a professional (doctor, accountant, lawyer, engineer, nurse, etc) remains a coveted goal for many young adults and their parents. But what is a profession, and what do these disparate groups have in common? This course lays the groundwork for understanding how the “professional projects” define professions, limit entry, create internal inequalities and try to maintain their prestige. The role of policy is key to our understanding of the professions, and we will focus on the role of policies in the creation of professions, in the substance of professional work such as ethics, autonomy and commercialism, and on the role of policies in addressing social concerns of inequality and diversity in the professions.",1.0 SOC credit at the 200+ level,Prerequisite:,SOC322H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Friday,SS 1073,"Dinovitzer, R.",29,100,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,
SOC,Economic Sociology,SOC306H1-S,,"This course offers a sociological account of economic phenomena. It examines the sociological perspectives on production, consumption, exchange and distribution, economic crises, and other economic matters. In addition to exploring economic behavior in the corporate and financial worlds, the course also examines behavior in households, markets for intimacy, and illegal markets.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC386H1F (2016/2017); SOC323H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,RW 110,"Pernell-Gallagher, K.",59,130,Yes: 0 student,In Person,,,,,,,,,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494515,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Population and Society,SOC312H1-F,,"This introductory course examines Canada's population in a global context, covering a broad range of population issues and perspectives. Topics include (a) demographic data and methods, (b) population composition in terms of age, sex, and nuptiality, (c) demographic processes of fertility, mortality, internal and international migration, (d) the relationship between population change and urbanization, and (e) the role of social policy on population change. For all course topics, the instructor will examine historical and cross-national trends and review proposed explanations.",1.0 SOC credit at the 200+ level,Prerequisite:,"SOC312Y1, SOC325H1, SOC356H5",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,RW 110,"Berry, B.",72,130,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494515,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Social Control,SOC313H1-F,,"This course examines how society has gone about controlling specific types of deviants (e.g., gang members, sex and drug offenders) and acts of deviance (e.g., organized crime, the deviance of social control agents). In examining these individuals and acts, attention is also directed to why they are defined as deviant and sanctioned, and why some types of deviance are less likely to be detected and sanctioned than others. Finally, consideration is also given to a range of sanctions that have been used to control deviance and the empirical evidence on their effectiveness.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC326H1,Exclusion:,SOC212H1,Recommended Preparation:,Room,LEC0101,Friday,LM 162,"Bittencourt Otto, N.",0,130,Yes: 0 student,In Person,,,,,,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494502,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Theories of Stratification,SOC318H1-F,,"Why do some people have more resources than others? Who winds up at the top of economic hierarchies, and who winds up at the bottom? These are the primary questions for the study of stratification. In this course, we focus primarily on the most influential contemporary sociological theories of status attainment and gender inequality, with additional but briefer treatments of the central theories on other topics (e.g., poverty and the welfare state, networks, rents, racial inequality). This is a program-only course and is restricted to Sociology Majors and Specialists.","SOC201H1, SOC202H1, SOC204H1 & 1.0 credit from SOC251H1/SOC252H1/SOC254H1",Prerequisite:,SOC361H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,RW 140,"Horowitz, J.",18,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,,,15:00,18:00,https://map.utoronto.ca/?id=1809#!m/494515,,,,,
SOC,Lives in Canada,SOC332H1-S,,"The life course in Canada, in the twentieth century and today, with some comparisons to other first world countries. How lives have changed over the past century; how lives are affected by history and social location; the impact of the life trajectories on health and crime. This is a program-only course and is restricted to sociology majors and specialists.","SOC201H1, SOC202H1, SOC204H1 & 1.0 FCE from SOC251H1/SOC252H1/SOC254H1",Prerequisite:,SOC357H1; SOC257H1,Exclusion:,SOC220H1 or SOC281H1,Recommended Preparation:,Room,LEC0101,Thursday,SS 1088,"Erickson, B.",0,30,Yes: 9 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,,,15:00,18:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Urban Health,SOC335H1-F,,"Cities are home to particular populations (the poor, the homeless, racial and ethnic minorities, immigrants, and the young and old) and have distinct risks and protections relevant to health. Patterns of health in cities, historical developments, and emerging literature and methodology are used to uncover how everyday settings influence health. This is a program-only course and is restricted to sociology majors and specialists.","SOC201H1, SOC202H1, SOC204H1 & 1.0 FCE from SOC251H1/SOC252H1/SOC254H1",Prerequisite:,SOC364H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,TF 201,"Pagaduan, J.",0,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,,,15:00,18:00,https://map.utoronto.ca/?id=1809#!m/494581,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Comparative Political Sociology,SOC340H1-S,,The study of comparative (historical and cross-national) variation in outcomes that are the subject of research by political sociologists. This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 & 1.0 FCE from SOC251H1/SOC252H1/SOC254H1",Prerequisite:,SOC371H1,Exclusion:,SOC260H1,Recommended Preparation:,Room,LEC5101,Thursday,SS 1088,"Parker, S.",0,30,Yes: 4 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,,,18:00,21:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Global Inequality,SOC345H1-S,,"This course examines the social processes that characterize stratification and social inequality across the globe, by looking at whether global inequality is growing, shrinking or stagnant and the impact of globalization on global inequality, with particular emphasis on examining disparities over time in education, income/wealth and health. This is a program-only course and is restricted to sociology majors and specialists.","SOC201H1, SOC202H1, SOC204H1 & 1.0 FCE from SOC251H1/SOC252H1/SOC254H1",Prerequisite:,SOC308H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,SS 2111,"Faruque, M.",0,30,Yes: 16 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,,,09:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Culture and Inequality,SOC348H1-F,,"How location in socioeconomic, ethnic, gender, and generational groups shapes individual cultural repertories; how culture affects individual positions in stratification hierarchies; and the role of culture in group boundaries and struggles. This is a program-only course and is restricted to sociology majors and specialists.","SOC201H1, SOC202H1, SOC204H1 & 1.0 FCE from SOC251H1/SOC252H1/SOC254H1",Prerequisite:,SOC281H1; SOC381H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,BL 205,"Erickson, B.",0,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,,,15:00,18:00,https://map.utoronto.ca/?id=1809#!m/494536,Society and its Institutions (3),Breadth Requirement:,,,
SOC,"Deconstructing 'Muslim American' - Race, Nationalism, and Religion",SOC349H1-S,,"Since the 2016 U.S. presidential election, Muslim Americans have been once again been cast as both threatening “outsiders” as well as examples of what makes the United States a “nation of immigrants.” What do these contestations teach us about how race, nationalism, and globalization shape immigrant identities? This course examines a range of topics, from everyday boundary-making to ongoing global politics pertaining to different Muslim groups in the United States, often drawing comparisons with Muslims in other Western countries. Course materials include theoretical overviews, research articles, survey reports, book chapters, newspapers, films, and T.V. shows. This is a program-only course and is restricted to sociology majors and specialists.","SOC201H1, SOC202H1, SOC204H1 & 1.0 FCE from SOC251H1/SOC252H1/SOC254H1",Prerequisite:,"SOC373H1; SOC394H1 (New Topics in Sociology: Deconstructing ""Muslim American"" - Race, Nationalism and Religion); offered in Winter 2019; SOC352H1 (New Topics in Sociology: Deconstructing ""Muslim American"" - Race, Nationalism and Religion); offered in Winter 2020",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,SS 2111,"Shams, T.",0,30,Yes: 5 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,,,15:00,18:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,New Topics in Sociology,SOC350H1-F,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity for students to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 plus two of the following (1.0 FCE): SOC251H1, SOC252H1, SOC254H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Thursday,FE 139,"Eads, A.",0,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,Subtitle,,09:00,12:00,https://map.utoronto.ca/?id=1809#!m/494550,,,,,Social Policy and Housing
SOC,New Topics in Sociology,SOC351H1-F,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity for students to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 plus two of the following (1.0 FCE): SOC251H1, SOC252H1, SOC254H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,SS 1088,"Yeh, C.",0,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,Subtitle,,12:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,Gender Inequality in the Knowledge Economy
SOC,New Topics in Sociology,SOC351H1-S,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity for students to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 plus two of the following (1.0 FCE): SOC251H1, SOC252H1, SOC254H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,CR 103,"Stewart, L.",0,30,Yes: 19 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,Subtitle,,15:00,18:00,https://map.utoronto.ca/?id=1809#!m/494580,,,,,Material Culture
SOC,New Topics in Sociology,SOC352H1-S,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity for students to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 plus two of the following (1.0 FCE): SOC251H1, SOC252H1, SOC254H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Thursday,CR 403,"Parbst, M.",0,30,Yes: 6 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,Subtitle,,09:00,12:00,https://map.utoronto.ca/?id=1809#!m/494580,,,,,Comparative Social Policy and Generalized Health
SOC,New Topics in Sociology,SOC353H1-F,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity for students to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 plus two of the following (1.0 FCE): SOC251H1, SOC252H1, SOC254H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,SS 1086,"Veugelers, J.",16,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,Subtitle,,15:00,18:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,Debates in Contemporary Theory
SOC,New Topics in Sociology,SOC353H1-S,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity for students to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 plus two of the following (1.0 FCE): SOC251H1, SOC252H1, SOC254H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Thursday,SS 1086,"Dantzler, P.",0,30,Yes: 8 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,Subtitle,,12:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,Urban Policy
SOC,New Topics in Sociology,SOC354H1-S,http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,An opportunity for students to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: . This is a program-only course and is restricted to sociology majors and specialists.,"SOC201H1, SOC202H1, SOC204H1 plus two of the following (1.0 FCE): SOC251H1, SOC252H1, SOC254H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,SS 2111,"Lee, J.",0,30,Yes: 30 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,,,Subtitle,,09:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,Sociology of Gun Violence
SOC,Sociology of Technology,SOC356H1-F,,"This course invites students to critically examine the interplay between technology and society. We will discuss how our interactions with technologies, including computers and the Internet, ICTs, social media, and other digital technologies, have become central for our understanding of contemporary social life. This course provides an overview of the sociology of technology, encompassed by various topics in which technology intersects with other areas of sociological inquiry, such as social stratification, community and networks, criminology and social control, work and labour, health and aging, and many others.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC331H1; SOC356Y1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,SS 2118,"Hou, R.",62,130,Yes: 0 student,In Person,,,,,,,,,,18:00,20:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Social Movements,SOC360H1-F,,"This course examines the sociological study of collective action. Students will explore how movements in a variety of historical and global contexts endeavor to produce social change. In this process, we will examine political and cultural opportunities and obstacles, organizational dynamics, resources, collective action frames, strategies and tactics.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC279H1; SOC329H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,SS 1073,"Parker, S.",20,100,Yes: 0 student,In Person,,,,,,,,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Sociology of Mental Health and Mental Disorders,SOC363H1-S,,"An overview of the link between social inequality and emotional inequality, focusing on differences in mental health across social groups and the role of stress and coping resources in explaining group differences.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC334H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,OI 2212,"Wheaton, B.",0,130,Yes: 10 students,In Person,,,,,,,,,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494563,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Gender Relations,SOC365H1-S,,"This course examines the dynamics of gender in daily life – in sexuality and intimate relations, in parenting and families, and in paid work and workplace organizations, as well as in popular culture. It examines the social construction of gender in individuals and in social organizations, in order to understand gender inequality.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC337H1,Exclusion:,SOC265H1,Recommended Preparation:,Room,LEC0101,Tuesday,LM 158,"Green, A.",15,100,Yes: 0 student,In Person,,,,,,,,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494502,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,"Race, Class, and Gender",SOC367H1-S,,"In this class, we analyze the ways in which race, class, gender and sexuality interact and shape communities, life opportunities, perspectives and politics. We will read contemporary ethnographies concerning work, socialization, and urban life against current sociological theories about inequality and intersectionality, and identity.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC339H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC5101,Monday,SS 2118,"Alegria, S.",0,130,Yes: 3 students,In Person,,,,,,,,,,18:00,20:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Immigration and Employment,SOC370H1-F,,"This course examines the labour market and employment situation of immigrants emphasizing recent Canadian experience in comparative context. Topics include immigrant human capital, declining immigrant earnings, immigrant skill-underutilization, impact of the knowledge economy, racial discrimination, labour market structure and unionization, immigrant entrepreneurship and experiences of the Canadian-born second generation.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC319H1,Exclusion:,SOC317Y1 or SOC336H1 or SOC366H1 or SOC383H1,Recommended Preparation:,Room,LEC0101,Monday,SS 1073,"Kyeremeh, E.",67,100,Yes: 0 student,In Person,,,,,,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,New Topics in Sociology,SOC386H1-S,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 200+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,LM 162,"Lee, J.",61,130,Yes: 0 student,In Person,,,,,,,,Subtitle,,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494502,,,,,Sociology of Hip Hop
SOC,Sociology of Everyday Life,SOC388H1-F,,"This course explores the phenomenological and organizational foundation of everyday experience. It focuses on the structure and social interactions that shape everyday life, and explains the social order that makes everyday life seem smooth and relatively effortless. The course offers experience in qualitative research and writing.",1.0 SOC FCE at the 200+ level,Prerequisite:,SOC344H1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,SS 1073,"Stewart, L.",21,100,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SAS,Special Topics in South Asian Studies,SAS390H1-S,,Course content varies in accordance with the interest of the instructor.,"SAS114H1 and at least 9 FCEs, or permission from the instructor.",Prerequisite:,Humanities,Distribution Requirement:,,,Room,LEC0101,Wednesday,SS 1086,,22,30,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMAJ1333 MA SOUTH ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,ASMIN1333 MI SOUTH ASIAN STUDIES,Subtitle,—,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,Cultural Transfers in Persianate South Asia
SOC,Independent Research,SOC390Y1-Y,http://sociology.utoronto.ca/st-george-campus/courses-3/independent-research-course/,"Independent Research courses allow students to pursue a specific topic of interest. These courses are offered at the 300-level, as full or half courses. Students work independently with a professor in the Department who acts as research supervisor. There are no formal class meetings, lectures, or readings other than what is agreed to with the supervisor. Professors accept supervisory responsibility at their discretion. They are not required to serve as research supervisors. It is recommended that students approach a professor working in the same sub-discipline of sociology. Often students become interested in a topic through a SOC course and approach the instructor of that course for supervision; however, this is not required. Not eligible for CR/NCR option. For further details, please visit our website at:","Students must have completed 10.0 courses towards their degree, plus a SOC course at the 300+ level to be eligible for 300-level Independent Research.",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,LEC0101,—,—,,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,,,
SOC,Independent Research,SOC391H1-F,http://sociology.utoronto.ca/st-george-campus/courses-3/independent-research-course/,"Independent Research courses allow students to pursue a specific topic of interest. These courses are offered at the 300-level, as full or half courses. Students work independently with a professor in the Department who acts as research supervisor. There are no formal class meetings, lectures, or readings other than what is agreed to with the supervisor. Professors accept supervisory responsibility at their discretion. They are not required to serve as research supervisors. It is recommended that students approach a professor working in the same sub-discipline of sociology. Often students become interested in a topic through a SOC course and approach the instructor of that course for supervision; however, this is not required. Not eligible for CR/NCR option. For further details, please visit our website at:","Students must have completed 10.0 courses towards their degree, plus a SOC course at the 300+ level to be eligible for 300-level Independent Research.",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,,—,,9998,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,,,
SOC,Independent Research,SOC392H1-S,http://sociology.utoronto.ca/st-george-campus/courses-3/independent-research-course/,"Independent Research courses allow students to pursue a specific topic of interest. These courses are offered at the 300-level, as full or half courses. Students work independently with a professor in the Department who acts as research supervisor. There are no formal class meetings, lectures, or readings other than what is agreed to with the supervisor. Professors accept supervisory responsibility at their discretion. They are not required to serve as research supervisors. It is recommended that students approach a professor working in the same sub-discipline of sociology. Often students become interested in a topic through a SOC course and approach the instructor of that course for supervision; however, this is not required. Not eligible for CR/NCR option. For further details, please visit our website at:","Students must have completed 10.0 courses towards their degree, plus a SOC course at the 300+ level, to be eligible for 300-level Independent Research.",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,,—,,9999,9999,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,—,,,,,,,,
SOC,New Topics in Sociology,SOC395H1-S,,An opportunity to explore new topics in sociology. Topics vary from year to year based on the instructor. Consult the Departmental website: http://sociology.utoronto.ca/st-george-campus/courses-3/new-topics-in-sociology/,1.0 SOC FCE at the 200+ level,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,SS 1073,"Dantzler, P.",64,100,Yes: 0 student,In Person,,,,,,,,Subtitle,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,Sociology of the City
SOC,Sexuality and Research Design,SOC409H1-F,,"Research designs are much like jigsaw puzzles, but harder:they require scholars to carefully connect a variety of distinct yet intricately linked piecesinto a thematically consistent, practical and defensible whole. Few tasks in the research process are as commonplace and as riddled with difficulty. This semester length course will provide a forum for students to compose a research design on the topic of sexuality using qualitative approaches that include in-depth interview and ethnography. Throughout the course, students will read a variety of works that describe the goals, procedures, and underlying logic of research design. These works will draw from articles and chapters on methodological problems and issues, and also from actual studies that use in-depth interview and ethnography in sexuality studies. Restricted to 4th-year sociology majors and specialists.",1.0 SOC FCE at the 300+ level,Prerequisite:,"SOC485H1 (Topics: Sexuality of Research Design); offered in Fall 2017, Winter 2019, Fall 2019, SOC497H1 (Topics: Sexuality of Research Design); offered in Fall 2016",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Tuesday,FE 41,"Green, A.",6,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 3,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 3,ASSPE1013 SP SOCIOLOGY  - Year 4,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494550,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Medicalization of Deviance,SOC412H1-S,,"This course examines the sociological implications associated with the growing dominance of psychiatry over designating and managing the margins of ‘normality’ and ‘deviance.’ It covers the evolution of the DSM and rise of deinstitutionalization, the importance of stigma and symbolic interactionist understandings of psychiatric diagnoses, and the methods of social control used to mitigate risk and reduce social deviance within the psychiatric and criminal justice systems. Emphasis will be placed on understanding the social implications of mental health labels. Restricted to 4th-year sociology majors and specialists.",1.0 SOC FCE at the 300+ level,Prerequisite:,SOC313H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,FE 41,"Hayle, S.",0,15,Yes: 14 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,,,16:00,18:00,https://map.utoronto.ca/?id=1809#!m/494550,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Sociology & Emotions,SOC448H1-F,,"From social cohesion to intergroup violence, emotional processes influence social outcomes. Moral aspects of experience in particular are linked to emotions such as shame and pride. Students in this course will review major theories of, and a variety of empirical approaches to, the link between social and emotional processes. They will be encouraged to extend ideas and analyses in the published literature to new topics. Restricted to 4th-year sociology majors and specialists.",1.0 SOC FCE at the 300+ level  (preferably selected from the Recommended Preparation list for this course),Prerequisite:,SOC313H1 or SOC355H1 or SOC362H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,FE 41,"Magee, W.",1,15,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY  - Year 4,ASSPE1013 SP SOCIOLOGY  - Year 4,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494550,Society and its Institutions (3),Breadth Requirement:,,,
