resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,headerSect 3,colCode,weekDay,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,extraTxt 13,legendControl 7,extraTxt 16,headerSect 15,alignC,weekDay 55,dayInfo 94,dayInfo 95,dayInfo 96,weekDay href 22
PSY,Introduction to Social Psychology,PSY220H1-S,,,,Course Description:,"Contemporary areas of research in social psychology: social perception, attitudes, inter-personal relations, and group processes.",PSY100H1/PSY100Y5/PSYA02H3/COG250Y1,Prerequisite:,PSY220H5/PSYB10H3/SOC213H1,Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Tuesday,SS 2118,,of  available,0,188,Yes: 27 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASCER1160 CER PSYCH OF ECO & MGMT,ASFOC2270F FOC SOCIAL PSYCHOLOGY,ASMAJ1160 MA PSYCHOLOGY,ASMAJ1446 MA COGNITIVE SCIENCE(SCIENCE),ASMAJ1446A MA COG SCI: SCI - COMPUT COG,,,,,—,SS 2135,—,16:00,19:00,https://map.utoronto.ca/?id=1809#!m/494510
POL,Introduction to Quantitative Reasoning I,POL222H1-F,Timetable instructions,Note:,Delivery Method:,Course Description:,"Introduces the foundations of quantitative empirical research methods - increasingly popular and important part of political science research and public policy debates - to enable you to interpret and evaluate the results of the studies that employ these methods. Topics include scientific study of politics, empirical research designs, and regression analysis.",1.0 POL credit,Prerequisite:,POL242Y5/ECO220Y1/GGR270H1/PSY201H1/SOC202H1/STA220H1,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,KP 108,"Ariga, K.",of  available,7,150,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2015 MA POLITICAL SCIENCE,ASMAJ2660 MA PUBLIC POLICY,ASSPE2015 SP POLITICAL SCIENCE,ASMAJ2015 MA POLITICAL SCIENCE,ASMAJ2660 MA PUBLIC POLICY,"LEC0101, LEC0201, LEC5101",Delivery instructions,Note:,Activity,—,MP 203,—,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494490
POL,Globalization and Development: Issues and Challenges,POL223H1-S,Timetable instructions,Note:,Delivery Method:,Course Description:,"This course examines how globalization creates opportunities and challenges to development in the Global South. Key issues considered include globalization and dynamics of inequality amongst and within nations, human rights and democratic struggles, environmental sustainability and justice, gender and racialized patterns of inequality, trade, foreign aid and poverty alleviation.",4.0 credits/1.0 POL credit,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Tuesday,,"Gnamo, A.",of  available,43,150,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,LEC0101,Delivery instructions,Note:,Activity,—,WI 1016,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494503
POL,Canada in Comparative Perspective,POL224H1-S,Timetable instructions,Note:,Delivery Method:,Course Description:,"This course introduces students to aspects of Canadian political life by comparing them with those that prevail in other advanced democracies. Themes covered will include the Canadian constitution, federalism, parties and elections, political culture and social and economic institutions and policies.",4.0 credits/1.0 POL credit,Prerequisite:,POL111H5/POL214H1/POL214Y1/POL214Y5/POL215H5/POL216H5/POL224Y1/POLB50Y3,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,,"Loewen, P.",of  available,0,150,Yes: 42 students,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2015 MA POLITICAL SCIENCE,ASSPE2015 SP POLITICAL SCIENCE,,,,LEC0101,Delivery instructions,Note:,Activity,—,UC 140,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494517
PSY,Personality and Its Transformations,PSY230H1-F,Delivery instructions,Note:,"This course will be an online, asynchronous course. Lecture videos will be recorded and uploaded to the course website at the beginning of each week. Students will have the opportunity to attend synchronous office hours each week to ask questions and get feedback. There will also be opportunities for synchronous activities with your classmates. These activities may be completed alone for those that cannot attend the synchronous sessions. The synchronous sessions are not mandatory and will not be recorded. All course assessments will be conducted online.",Course Description:,Theory and research in personality structure and dynamics: the interaction of cultural and biological factors in the development and expression of individual differences.,PSY100H1/PSY100Y5/PSYA02H3,Prerequisite:,PSY230H5/PSYB30H3,Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,3.0 hours / week,—,"Sharples, A.",of  available,4,188,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1160 MA PSYCHOLOGY,ASMAJ1446 MA COGNITIVE SCIENCE(SCIENCE),ASMAJ1446A MA COG SCI: SCI - COMPUT COG,ASMAJ1446B MA COG SCI: SCI - COGN & BRAIN,ASMIN1160 MI PSYCHOLOGY,,,,,,,,,,
PSY,Personality and Its Transformations,PSY230H1-S,,,,Course Description:,Theory and research in personality structure and dynamics: the interaction of cultural and biological factors in the development and expression of individual differences.,PSY100H1/PSY100Y5/PSYA02H3,Prerequisite:,PSY230H5/PSYB30H3,Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Friday,,,of  available,0,188,Yes: 48 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1160 MA PSYCHOLOGY,ASMAJ1446 MA COGNITIVE SCIENCE(SCIENCE),ASMAJ1446A MA COG SCI: SCI - COMPUT COG,ASMAJ1446B MA COG SCI: SCI - COGN & BRAIN,ASMIN1160 MI PSYCHOLOGY,,,,,—,SS 2117,—,12:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510
POL,Introduction to Quantitative Reasoning II,POL232H1-S,Timetable instructions,Note:,Delivery Method:,Course Description:,"Building up on POL222H1, students will continue to build theoretical foundations of quantitative empirical research, such as probability theory and statistical inference. They will also learn the basic use of statistical software and have become able to conduct a basic data analysis by themselves by the end of semester.",POL222H1,Prerequisite:,POL242Y5,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,SS 561,"Ariga, K.",of  available,0,49,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ2660 MA PUBLIC POLICY,ASSPE2015 SP POLITICAL SCIENCE,ASMAJ2660 MA PUBLIC POLICY,ASSPE2015 SP POLITICAL SCIENCE,ASMAJ2660 MA PUBLIC POLICY,"LEC0101, LEC0201, LEC5101",Delivery instructions,Note:,Activity,—,SS 561,—,14:00,16:00,https://map.utoronto.ca/?id=1809#!m/494510
RLG,Religion and Film,RLG232H1-S,Delivery instructions,Note:,"This is an online synchronous course. Some or all lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,"The role of film as a mediator of thought and experience concerning religious worldviews. The ways in which movies relate to humanity's quest to understand itself and its place in the universe are considered in this regard, along with the challenge which modernity presents to this task. Of central concern is the capacity of film to address religious issues through visual symbolic forms.",4.0 credits,Prerequisite:,RLG390H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Tuesday,—,"Gallant, S.",of  available,38,100,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,—,13:00,16:00,
RLG,Religion and Popular Culture,RLG233H1-S,Delivery instructions,Note:,"This is an online synchronous course. Lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Tutorials will be held online with synchronous meetings to enable real-time class discussion and contact with the teaching assistant or instructor. Asynchronous tutorial participation will be accessible to students on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,"A course on the interactions, both positive and negative, between religion and popular culture. We look at different media (television, advertising, print) as they represent and engage with different religious traditions, identities, and controversies.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,,Room,LEC9901,Tuesday,—,"Harris, J.",of  available,2,70,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,Activity,—,,—,10:00,12:00,
RLG,"Religion, Gender, and Sexuality",RLG235H1-F,,,,Course Description:,"This course equips students to understand how norms and practices of gender and sexuality are deeply entangled with religious imaginations and traditions. We will examine how ritual, scriptural, and legal traditions enable and constrain embodied and political power. Readings will draw from feminist, womanist, queer, and other perspectives. With a combination of in-class discussions, critical reading exercises, and short essay assignments, students will strengthen their awareness of transnational intersections of religion, gender, and ""religio-racial"" formations. You will develop skills in analyzing the role of popular culture and legal and religious texts in shaping norms and experiences of gender and embodiment.",Completion of 4.0 credits.,Prerequisite:,RLG314H5,Exclusion:,Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,,"Gallant, S.",of  available,33,80,Yes: 0 student,In Person,,,,,,,,,,,,Activity,—,VC 215,—,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494602
RLG,Special Topics,RLG239H1-F,,,,Course Description:,"Some topic of central interest to students of religion, treated on a once-only basis. For details of this years offering, consult the Departments current undergraduate handbook.",Humanities,Distribution Requirement:,,,,,,,Room,LEC0101,Thursday,,"Mittermaier, A.",of  available,36,50,Yes: 0 student,In Person,,,,,,,,,,,,Subtitle,,VC 212,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494602
RLG,Special Topics,RLG239H1-S,,,,Course Description:,"Some topic of central interest to students of religion, treated on a once-only basis. For details of this years offering, consult the Departments current undergraduate handbook.",Humanities,Distribution Requirement:,,,,,,,Room,LEC0101,Monday,,,of  available,14,20,Yes: 0 student,In Person,,,,,,,,,,,,Subtitle,—,UC 53,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494517
PSY,Introduction to Abnormal Psychology,PSY240H1-F,Delivery instructions,Note:,All lectures will be delivered online synchronously at a scheduled time. Some content will also be recorded asynchronously. Students who cannot attend can watch the recorded lectures asynchronously. There will be weekly live office hours held by the professor and course TAs that will be available through an online platform.,Course Description:,"A critical survey of concepts, theories, and the state of research in the area of psychopathology and therapeutic methods.",PSY100H1/PSY100Y5/PSYA02H3,Prerequisite:,PSY240H5/PSYB32H3,Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,Tuesday,—,"Babineau, M.",of  available,0,188,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1160 MA PSYCHOLOGY,ASMAJ1446 MA COGNITIVE SCIENCE(SCIENCE),ASMAJ1446A MA COG SCI: SCI - COMPUT COG,ASMAJ1446B MA COG SCI: SCI - COGN & BRAIN,ASMIN1160 MI PSYCHOLOGY,,,,,,,—,14:00,17:00,
PSY,Introduction to Abnormal Psychology,PSY240H1-S,,,,Course Description:,"A critical survey of concepts, theories, and the state of research in the area of psychopathology and therapeutic methods.",PSY100H1/PSY100Y5/PSYA02H3,Prerequisite:,PSY240H5/PSYB32H3,Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Wednesday,,"Grieder, T.",of  available,0,188,Yes: 57 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1160 MA PSYCHOLOGY,ASMAJ1446 MA COGNITIVE SCIENCE(SCIENCE),ASMAJ1446A MA COG SCI: SCI - COMPUT COG,ASMAJ1446B MA COG SCI: SCI - COGN & BRAIN,ASMIN1160 MI PSYCHOLOGY,,,,,,SS 2117,—,11:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510
RLG,The Earliest Christians,RLG241H1-F,,,,Course Description:,What can the earliest writings of Early Christianity tell us about the movement and its founding figure? We examine these writings critically and historically in order to understand the immense variety of early Christianity as it grew within Judaism and within the Greco-Roman World. No familiarity with Christianity or the New Testament is expected,"RLG241H5, HUMC14H3, RLG241Y1",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC5101,Wednesday,,"Kloppenborg, J.",of  available,28,40,Yes: 0 student,In Person,,,,,,,,,,,,Activity,—,SS 1088,—,17:00,19:00,https://map.utoronto.ca/?id=1809#!m/494510
RLG,Intermediate Modern Hebrew I,MHB255H1-F,,,,Course Description:,Intensive study of written and spoken Hebrew.,MHB156H1/ NML156H1 or permission of instructor,Prerequisite:,Grade 8 Hebrew (or Ulpan level 2 in Israel)/NML255Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,JH 213,"Nizri, Y.",of  available,4,10,Yes: 0 student,In Person,,,,,,,,,,,,,,JH 213,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494560
RLG,Intermediate Modern Hebrew II,MHB256H1-S,,,,Course Description:,Continued intensive study of written and spoken Hebrew.,MHB255H1/NML156H1 or permission of instructor,Prerequisite:,Grade 8 Hebrew (or Ulpan level 2 in Israel)/NML255Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,JH 213,"Nizri, Y.",of  available,5,10,Yes: 0 student,In Person,,,,,,,,,,,,,,JH 213,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494560
PSY,Introduction to Learning and Plasticity,PSY260H1-F,Delivery instructions,Note:,"Lectures will be asynchronous, with live question sessions that are optional.  Students would be expected to watch asynchronous content on their own. There will be weekly live office hours held by the professor and course TAs that will be available through an online platform. There will also be a course discussion board where students can ask questions at any time. All course materials and assignments will be managed via Quercus.",Course Description:,"Concepts, theories, and applications of classical and contemporary learning theories, including classical and operant conditioning. Current theories of the physiological and anatomical basis of learning and memory, including synaptic plasticity, the role of the hippocampus, amygdala, frontal cortex and other brain regions. Theories will be related to a practical understanding and applications such as drug addiction, phobias and other disorders.",PSY100H1/PSY100Y5/PSYA01H3/COG250Y1,Prerequisite:,PSYB38H3,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC9901,3.0 hours / week,—,"Dhamija, P.",of  available,1,188,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1160 MA PSYCHOLOGY,ASMAJ1445 MA COGNITIVE SCIENCE(ARTS),ASMAJ1445A MA COG SCI: ARTS - PERC&ATTEN,ASMAJ1445B MA COG SCI: ARTS - LANG & COG,ASMAJ1445C MA COG SCI: ARTS - THINK&REAS,,,,,,,,,,
PSY,Introduction to Learning and Plasticity,PSY260H1-S,,,,Course Description:,"Concepts, theories, and applications of classical and contemporary learning theories, including classical and operant conditioning. Current theories of the physiological and anatomical basis of learning and memory, including synaptic plasticity, the role of the hippocampus, amygdala, frontal cortex and other brain regions. Theories will be related to a practical understanding and applications such as drug addiction, phobias and other disorders.",PSY100H1/PSY100Y5/PSYA01H3/COG250Y1,Prerequisite:,PSYB38H3,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Thursday,,,of  available,0,188,Yes: 22 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1160 MA PSYCHOLOGY,ASMAJ1445 MA COGNITIVE SCIENCE(ARTS),ASMAJ1445A MA COG SCI: ARTS - PERC&ATTEN,ASMAJ1445B MA COG SCI: ARTS - LANG & COG,ASMAJ1445C MA COG SCI: ARTS - THINK&REAS,,,,,—,SS 2117,—,11:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510
RLG,Introduction to Sanskrit I,RLG260H1-F,Delivery instructions,Note:,"This is an online synchronous course. Some or all lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,"The first semester of an introduction to Classical Sanskrit for beginners. Students build grammar and vocabulary, and begin to read texts in Sanskrit. Complete beginners are welcome. Two sections of the course will be offered: an on-campus class meeting and an online section via live webinar participation. The final exam will require attendance on the St. George campus, or in another authorized exam centre.",RLG260Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC9901,Tuesday,—,"Mills, E.",of  available,2,40,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,—,12:00,14:00,
RLG,Introduction to Tibetan I,RLG261H1-F,Delivery instructions,Note:,"This is an online synchronous course. Some or all lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,"An introduction to Classical Tibetan language for beginners. Development of basic grammar and vocabulary, with readings of simple texts. Two sections of the course may be offered: an on-campus class meeting and an online section. The final exam will require attendance on the St. George campus, or in another authorized exam centre.",RLG261Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC9901,Monday,—,"Lindsay, R.",of  available,13,20,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,—,13:00,15:00,
RLG,Introduction to Tibetan II,RLG262H1-S,,,,Course Description:,"The second semester of an introduction to Classical Tibetan language course for beginners. Continued work on grammar and vocabulary, advancing to reading texts. Two sections of the course may be offered: an on-campus class meeting and an online section. The final exam will require attendance on the St. George campus, or in another authorized exam centre.",RLG261H1,Prerequisite:,RLG261Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Monday,—,"Lindsay, R.",of  available,18,20,Yes: 0 student,Online - Synchronous,,,,,,,,,,,,,,,—,13:00,15:00,
RLG,Introduction to Sanskrit II,RLG263H1-S,Delivery instructions,Note:,"This is an online synchronous course. Some or all lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,"The second semester of an introduction to Classical Sanskrit for beginners. Students continue to build grammar and vocabulary, and use that knowledge to read texts in Sanskrit. Two sections of the course will be offered: an on-campus class meeting and an online section via live webinar participation. The final exam will require attendance on the St. George campus, or in another authorized exam centre.",RLG260H1,Prerequisite:,RLG260Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Tuesday,—,"Mills, E.",of  available,21,40,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,,,,—,12:00,14:00,
RLG,Introductory Pali I,RLG264H1-F,,,,Course Description:,"This course offers an opportunity to students interested in Buddhism to read, analyze, and discuss select simple passages from the scriptures of the Theravada canon in their original language. It will cover philosophical, psychological, and narrative texts and their interpretation, as well as provide a first exposure to the Pali Language.",None,Prerequisite:,None,Corequisite:,None,Exclusion:,None,Recommended Preparation:,Room,LEC9901,Monday,—,"Mills, E.",of  available,13,20,Yes: 0 student,Online - Synchronous,,,,,,,,,Creative and Cultural Representations (1),,,,,,—,16:00,17:00,
RLG,Introductory Pali II,RLG265H1-S,Delivery instructions,Note:,"This is an online synchronous course. Some or all lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,"This course offers an opportunity to students interested in Buddhism and with basic knowledge of Pali to read, analyze, and discuss select simple passages from the scriptures of the Theravada canon in their original language. It will cover philosophical, psychological, and narrative texts and their interpretation.",RLG264H1 or equivalent capacity to read Pali texts in the original,Prerequisite:,None,Corequisite:,None,Exclusion:,None,Recommended Preparation:,Room,LEC9901,Monday,—,"Mills, E.",of  available,17,20,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,Creative and Cultural Representations (1),,,,,,—,16:00,17:00,
PSY,Introduction to Cognitive Psychology,PSY270H1-F,Delivery instructions,Note:,"This is an online, asynchronous course. Lectures will be given as a series of short videos totaling 2-3 hours/ week posted on Quercus. Students will have the opportunity for synchronous online office hours and tutorials to ask questions and clarifications about lecture content. Students are expected to complete online homework and activities via Top Hat each week.",Course Description:,"An introduction to research and theory on the neural and cognitive architecture of attention, memory, language, thinking and reasoning.",PSY100H1/PSY100Y5/PSYA01H3/COG250Y1,Prerequisite:,PSY270H5/PSYB57H3,Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,3.0 hours / week,—,"Burton, C.",of  available,0,188,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASFOC1540G FOC COGNITIVE PSYCHOLOGY,ASFOC2270G FOC COGNITIVE PSYCHOLOGY,ASMAJ1160 MA PSYCHOLOGY,ASMAJ1445 MA COGNITIVE SCIENCE(ARTS),ASMAJ1445A MA COG SCI: ARTS - PERC&ATTEN,,,,,,,,,,
PSY,Introduction to Cognitive Psychology,PSY270H1-S,,,,Course Description:,"An introduction to research and theory on the neural and cognitive architecture of attention, memory, language, thinking and reasoning.",PSY100H1/PSY100Y5/PSYA01H3/COG250Y1,Prerequisite:,PSY270H5/PSYB57H3,Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Tuesday,SS 2135,"Burton, C.",of  available,0,188,Yes: 41 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASFOC1540G FOC COGNITIVE PSYCHOLOGY,ASFOC2270G FOC COGNITIVE PSYCHOLOGY,ASMAJ1160 MA PSYCHOLOGY,ASMAJ1445 MA COGNITIVE SCIENCE(ARTS),ASMAJ1445A MA COG SCI: ARTS - PERC&ATTEN,,,,,,MP 202,—,10:00,13:00,https://map.utoronto.ca/?id=1809#!m/494490
PSY,Introduction to Sensation and Perception,PSY280H1-F,Delivery instructions,Note:,Students are expected to watch asynchronous lecture videos and perform and document practical demonstrations according to online instructions. Learning progress will be assessed after each of five modules.,Course Description:,"An introduction to the physiological and psychological basis of perception across the different sensory modalities in humans and lower animals, with an emphasis on vision. Exploring visual perception such as shape and objects, scenes, colour, space, and motion as well as auditory perception of simple and complex sounds, and location. Further topics may include touch, including perception of temperature, pain and body posture, the chemical senses, and cross-modal influences of the senses on one another. In-class demonstrations may supplement the lectures.",PSY100H1/PSY100Y5/PSYA01H3/COG250Y1,Prerequisite:,PSY280H5/PSYB51H3,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC9901,3.0 hours / week,—,"Bernhardt-Walther, D.",of  available,3,188,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1160 MA PSYCHOLOGY,ASMAJ1445 MA COGNITIVE SCIENCE(ARTS),ASMAJ1445A MA COG SCI: ARTS - PERC&ATTEN,ASMAJ1445B MA COG SCI: ARTS - LANG & COG,ASMAJ1445C MA COG SCI: ARTS - THINK&REAS,,,,,,,,,,
